,,인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
2017,145,20101112,영업,0,서울특별시 종로구 통의동 35-41번지 외 4필지 1층 ,서울특별시 종로구 자하문로4길 6 (통의동외 4필지 1층),스타벅스 경복궁역,편의점
2017,146,20100525,영업,0,서울특별시 종로구 계동 115-1번지 ,서울특별시 종로구 북촌로4길 27 (계동),끽다거,편의점
2017,147,20100401,영업,0,서울특별시 종로구 적선동 80번지 ,서울특별시 종로구 사직로 130 (적선동),소담,편의점
2017,153,20160511,영업,0,서울특별시 종로구 숭인동 200-10번지 1층 ,서울특별시 종로구 난계로29길 28 1층 (숭인동),떼루아,편의점
2017,154,20120920,영업,0,서울특별시 종로구 명륜2가 168-1번지 1층 ,서울특별시 종로구 창경궁로 247 1층 (명륜2가),본죽 성균관대점,편의점
2017,155,20140324,영업,0,서울특별시 종로구 종로2가 84-1번지 ,서울특별시 종로구 종로 74 2.3층 (종로2가),설빙 종각점,편의점
2017,156,20140328,영업,0,서울특별시 종로구 평창동 111번지 ,서울특별시 종로구 평창36길 22 1층 101호 (평창동 성림하우스),(주)프랜즈디자인,편의점
2017,157,20140410,영업,0,서울특별시 종로구 교북동 1-12번지 지상1층 ,서울특별시 종로구 통일로 220 지상1층 (교북동),구떼와플 카페,편의점
2017,158,20131209,영업,0,서울특별시 종로구 혜화동 22-65번지 ,서울특별시 종로구 창경궁로35길 45 지하1층 (혜화동 재능교육혜화문화센터),Cafe gran(카페그랑),편의점
2017,159,20131224,영업,0,서울특별시 종로구 내수동 4번지 1층 ,서울특별시 종로구 새문안로5가길 11 1층 (내수동),플러스 커피앤코,편의점
2017,160,20150512,영업,0,서울특별시 종로구 동숭동 1-80번지 지상1층 ,서울특별시 종로구 대학로8가길 85 지상1층 (동숭동),브루클린커피 대학로점,편의점
2017,161,20150513,영업,0,서울특별시 종로구 청운동 108-21번지 ,서울특별시 종로구 자하문로 100-1 1층 (청운동),(주) 리투스코리아,편의점
2017,162,19740309,영업,0,서울특별시 종로구 종로4가 137-3번지 ,서울특별시 종로구 종로 188 (종로4가),원제커피전문점,편의점
2017,163,20131119,영업,0,서울특별시 종로구 세종로 202-1번지 1~3 ,서울특별시 종로구 세종대로 159 1~3층 (세종로),고디바,편의점
2017,164,20131120,영업,0,서울특별시 종로구 소격동 165번지 국립현대미술관 ,서울특별시 종로구 삼청로 30 2층 (소격동),오설록 티하우스,편의점
2017,165,20130620,영업,0,서울특별시 종로구 창성동 158-7번지 1~2층 ,서울특별시 종로구 자하문로16길 4-2 (창성동),2막,편의점
2017,166,20170425,영업,0,서울특별시 종로구 효제동 65-2번지 포레스트힐시티 1층 102-1 ,서울특별시 종로구 대학로 33 102-1호 (효제동 포레스트힐시티),풀길,편의점
2017,167,20161114,영업,0,서울특별시 종로구 사직동 9번지 1층202동105호 ,서울특별시 종로구 사직로8길 4 1층 202동105호 (사직동),GS25 종로스페이스,편의점
2017,168,20080718,영업,0,서울특별시 종로구 숭인동 1417번지 (지상1층) ,서울특별시 종로구 종로66길 25 (숭인동(지상1층)),GS25 숭인본점,편의점
2017,171,20150121,영업,0,서울특별시 종로구 적선동 80번지 ,서울특별시 종로구 사직로 130 지층 4호 (적선동),모 네,편의점
2017,172,20160427,영업,0,서울특별시 종로구 연지동 136-46번지 1층 ,서울특별시 종로구 대학로 19 1층 (연지동),세븐일레븐 종로기독교회관점,편의점
2017,173,20160428,영업,0,서울특별시 종로구 삼청동 28-19번지 1층 ,서울특별시 종로구 삼청로 124-2 1층 (삼청동),지간테커피 삼청동점,편의점
2017,174,20130710,영업,0,서울특별시 종로구 부암동 254-2번지 ,서울특별시 종로구 창의문로 136 2층 (부암동),부빙,편의점
2017,175,20160429,영업,0,서울특별시 종로구 내수동 74번지 102-2 ,서울특별시 종로구 사직로8길 42 1층 102-2호 (내수동),이마트24 광화문시대점,편의점
2017,176,20160504,영업,0,서울특별시 종로구 창신동 447-3번지 1층 ,서울특별시 종로구 종로44길 17 1층 (창신동),시티박,편의점
2017,177,20150106,영업,0,서울특별시 종로구 연건동 188-3번지 지상1층 ,서울특별시 종로구 율곡로 212 지상1층 (연건동),이화동(同),편의점
2017,178,20150107,영업,0,서울특별시 종로구 숭인동 316-2번지 지상1층 2호 ,서울특별시 종로구 지봉로 18 지상1층 2호 (숭인동),셀렉토커피 동묘역점,편의점
2017,179,20150123,영업,0,서울특별시 종로구 인의동 101-1번지 지상1층 ,서울특별시 종로구 창경궁로 119 지상1층 (인의동),세븐일레븐 창경궁로점,편의점
2017,180,20160331,영업,0,서울특별시 종로구 종로1가 24번지 1층 108-2호 ,서울특별시 종로구 종로 19 1층 108-2호 (종로1가),컴포즈커피 종로구청점,편의점
2017,181,20150826,영업,0,서울특별시 종로구 숭인동 201-26번지 ,서울특별시 종로구 난계로29길 27 1층 (숭인동),세븐일레븐,편의점
2017,182,20050905,영업,0,서울특별시 종로구 연건동 190-19번지 지상1층 ,서울특별시 종로구 대학로 50 (연건동지상1층),테라 스위트(Terra sweet)본점,편의점
2017,183,20050926,영업,0,서울특별시 종로구 효제동 126-2번지 지상1층 ,서울특별시 종로구 김상옥로 55 (효제동지상1층),세븐일레븐 종로효제점,편의점
2017,184,20051017,영업,0,서울특별시 종로구 종로2가 8-4번지 지상1층 ,서울특별시 종로구 종로 65 (종로2가지상1층),델리 & 젤라또,편의점
2017,185,20040827,영업,0,서울특별시 종로구 인사동 75-1번지  (지상1층) ,서울특별시 종로구 삼일대로 405 (인사동 (지상1층)),프로젝트88,편의점
2017,186,20061208,영업,0,서울특별시 종로구 청진동 183-1번지 지상1층 ,서울특별시 종로구 종로3길 32 (청진동지상1층),세븐일레븐종로타운점,편의점
2017,187,20070112,영업,0,서울특별시 종로구 명륜1가 31-1번지 1층 ,서울특별시 종로구 성균관로 90 1층 (명륜1가 유성빌딩),젤로,편의점
2017,188,20070122,영업,0,서울특별시 종로구 평창동 403-5번지 (지상1층) ,서울특별시 종로구 평창6길 81 (평창동(지상1층)),포레,편의점
2017,189,20070213,영업,0,서울특별시 종로구 인의동 14번지  (지상1층) ,서울특별시 종로구 창경궁로 128-1 (인의동 (지상1층)),해피유머리스트,편의점
2017,190,20080311,영업,0,서울특별시 종로구 종로3가 61-68번지 (종로3가역 지하4층) ,,세븐일레븐(S종로3가역점),편의점
2017,191,20080320,영업,0,서울특별시 종로구 연건동 77-2번지 지상1층 ,서울특별시 종로구 대학로 81-1 (연건동지상1층),이디야,편의점
2017,192,20080401,영업,0,서울특별시 종로구 익선동 5번지 지상1층 ,서울특별시 종로구 삼일대로32길 30 (익선동지상1층),마블러스,편의점
2017,193,20161026,영업,0,서울특별시 종로구 혜화동 109-1번지 지층 ,서울특별시 종로구 혜화로 8 지층 (혜화동),온앤온,편의점
2017,194,20161107,영업,0,서울특별시 종로구 관철동 180번지 ,서울특별시 종로구 삼일대로17길 51 1층 (관철동),세븐일레븐 종각점,편의점
2017,195,20080624,영업,0,서울특별시 종로구 견지동 110번지 종로1가 대성스카이렉스 지상1층 104호 ,서울특별시 종로구 삼봉로 95 (견지동종로1가 대성스카이렉스 지상1층 104호),미니스톱(종각중앙점),편의점
2017,196,20171017,영업,0,,서울특별시 종로구 평창문화로 87 1층 (평창동),GS25 평창파크팰리스점,편의점
2017,197,20171017,영업,0,서울특별시 종로구 효제동 248-1번지 ,서울특별시 종로구 대학로 4-1 1층 (효제동),cu종로햇살점,편의점
2017,198,20170801,영업,0,서울특별시 종로구 평창동 345-6번지 ,서울특별시 종로구 평창길 8 1층 (평창동),CU 평창다솜점,편의점
2017,202,20060918,영업,0,서울특별시 종로구 필운동 56-1번지 ,서울특별시 종로구 필운대로1길 19 (필운동),빵나무,편의점
2017,203,20040922,영업,0,서울특별시 종로구 내수동 72번지 경희궁의아침3단지 101102133호 ,서울특별시 종로구 사직로8길 34 (내수동경희궁의아침3단지 101102133호),미니스톱 경희궁점,편의점
