,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,763,서울특별시 강북구 노해로32길 16,서울특별시 강북구 수유3동 688-2,생활방범,1,2013-12
2017,764,서울특별시 강북구 한천로139나길 26,서울특별시 강북구 수유3동 192-73,생활방범,1,2013-12
2017,765,서울특별시 강북구 노해로7가길 2,서울특별시 강북구 수유3동 1-113,생활방범,1,2013-12
2017,766,서울특별시 강북구 수유로17길 19,서울특별시 강북구 수유3동 130-104,생활방범,1,2013-12
2017,767,서울특별시 강북구 인수봉로80길 19-22,서울특별시 강북구 우이동 291-68,생활방범,1,2013-12
2017,768,"서울특별시 강북구 삼양로169길 38,40",서울특별시 강북구 우이동 161-34,생활방범,1,2013-12
2017,769,서울특별시 강북구 삼양로169길 84,서울특별시 강북구 우이동 154-53,생활방범,1,2013-12
2017,770,서울특별시 강북구 삼양로165길 25-7,서울특별시 강북구 우이동 23-45,생활방범,1,2013-12
2017,772,서울특별시 강북구 삼양로 609-28,서울특별시 강북구 우이동 48-1,생활방범,1,2013-12
2017,773,서울특별시 강북구 인수봉로60길 13,서울특별시 강북구 인수동 410-169,생활방범,1,2013-12
2017,774,서울특별시 강북구 삼양로91가길 19,서울특별시 강북구 인수동 405-8,생활방범,1,2013-12
2017,775,서울특별시 강북구 삼양로109길 16,서울특별시 강북구 인수동 348-30,생활방범,1,2013-12
2017,776,서울특별시 강북구 솔매로17길 23,서울특별시 강북구 삼양동 791-1424,생활방범,1,2013-12
2017,778,서울특별시 강북구 인수봉로17길 13,서울특별시 강북구 삼양동 791-1821,생활방범,1,2013-12
2017,781,서울특별시 강북구 인수봉로20가길 16,서울특별시 강북구 삼양동 791-3056,생활방범,1,2013-12
2017,784,서울특별시 강북구 삼양로35길 28,서울특별시 강북구 삼양동 791-2301,생활방범,1,2013-12
2017,785,서울특별시 강북구 삼양로67가길 6-4,서울특별시 강북구 삼양동 791-1058,생활방범,1,2013-12
2017,786,서울특별시 강북구 덕릉로30길 12,서울특별시 강북구 미아동 159-12,생활방범,1,2013-12
2017,787,서울특별시 강북구 도봉로53길 52,서울특별시 강북구 미아동 228-6,생활방범,1,2013-12
2017,789,서울특별시 강북구 솔매로44길 8,서울특별시 강북구 미아동 302-69,생활방범,1,2013-12
2017,790,서울특별시 강북구 오패산로52길 65,서울특별시 강북구 미아동 258-695,생활방범,1,2013-12
2017,791,서울특별시 강북구 도봉로61길 31,서울특별시 강북구 미아동 222-10,생활방범,1,2013-12
2017,792,서울특별시 강북구 오패산로52사길 61,서울특별시 강북구 미아동 258-23,생활방범,1,2013-12
2017,793,서울특별시 강북구 오패산로60길 10,서울특별시 강북구 미아동 258-329,생활방범,1,2013-12
2017,794,서울특별시 강북구 도봉로53길 28,서울특별시 강북구 미아동 214-37,생활방범,1,2013-12
2017,795,서울특별시 강북구 도봉로24길 9,서울특별시 강북구 송중동 136-64,생활방범,1,2013-12
2017,796,서울특별시 강북구 도봉로28길 58-19,서울특별시 강북구 송중동 3-735,생활방범,1,2013-12
2017,797,서울특별시 강북구 오현로6길 89,서울특별시 강북구 송중동 52-37,생활방범,1,2013-12
