인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,경도,위도,상태
20150910,영업,0,서울특별시 관악구 봉천동 10-4,서울특별시 관악구 청림3길 10 1층 (봉천동),토프레소 청림점,편의점,126.9587195,37.48899811,인근좌표
19931101,영업,0,서울특별시 종로구 무악동 47-9번지 ,서울특별시 종로구 통일로 228-1 (무악동),LG25독립문점,편의점,126.959327,37.5729565,인근좌표
20080311,영업,0,서울특별시 종로구 종로3가 61-68번지 (종로3가역 지하4층) ,0,세븐일레븐(S종로3가역점),편의점,126.9946998,37.57045677,인근좌표
20160825,영업,0,서울특별시 종로구 관수동 70-1번지 ,서울특별시 종로구 돈화문로 11-1 1층 (관수동),GS25 서울극장점,편의점,126.9920553,37.56957462,인근좌표
20051109,영업,0,서울특별시 종로구 명륜2가 133-1번지 ,서울특별시 종로구 성균관로 23-1 (명륜2가),나눔,편의점,126.9970692,37.58477734,인근좌표
19930828,영업,0,서울특별시 종로구 평동 53-0번지 ,0,태인로손평동점,편의점,126.9678169,37.56917001,인근좌표
20120716,폐업,20200320,서울특별시 종로구 관철동 44번지 1호선 종각역 지하2층 .A-2호 ,0,C cafe 종각점,편의점,126.9838796,37.56943772,인근좌표
20170502,폐업,20200429,서울특별시 종로구 관수동 20-12번지 ,서울특별시 종로구 수표로 96 12호 (관수동),GS25 국일관점,편의점,126.9895212,37.56968408,인근좌표
20080414,영업,0,서울특별시 중구 남대문로5가 217-0번지 (지상1층) ,서울특별시 중구 세종대로2길 11 (남대문로5가(지상1층)),바이더웨이 중구연세점,편의점,126.9741753,37.55761318,정좌표
20030806,영업,0,서울특별시 중구 을지로1가 89-1번지 (지하철2호선 을지로입구역 202-10호) ,0,바이앤셀,편의점,126.9810243,37.56676733,인근좌표
20071017,영업,0,서울특별시 중구 신당동 294번지 (지하3층)5호선내 ,0,세븐일레븐(S청구역점,편의점,127.0148635,37.55987238,인근좌표
20190612,영업,0,서울특별시 중구 을지로4가 261-4번지 ,서울특별시 중구 을지로 170 1층 124호 (을지로4가),GS25 을지트윈,편의점,126.9961037,37.56660576,인근좌표
