인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20200901,영업,0,서울특별시 서초구 방배동 807-2 부운빌딩,서울특별시 서초구 동광로 88 부운빌딩 1층 (방배동),지에스25 방배서래점,편의점,37.4932800918768,126.992172637812
20200901,영업,0,서울특별시 양천구 신월동 474-16 1층,서울특별시 양천구 중앙로51길 8-9 1층 (신월동),미니스톱 양천가든점,편의점,37.5257305049371,126.849393155982
20190930,영업,0,서울특별시 양천구 신월동 986-9 1층,서울특별시 양천구 지양로3길 10 1층 (신월동),지에스25 신월시영점,편의점,37.518664302442,126.835929727778
20190212,폐업,20200901,서울특별시 중구 을지로6가 18-71 대화빌딩,서울특별시 중구 을지로43길 13 대화빌딩 1층 (을지로6가),씨유 동대문 굿모닝 씨티점,편의점,37.5668931509513,127.006804117748
20171109,폐업,20200901,서울특별시 은평구 대조동 171-1 리모더스위트홈 1층,서울특별시 은평구 역말로9길 7 1층 (대조동 리모더스위트홈),GS25 대조행운,편의점,37.6118653107062,126.921615290386
20060623,영업,0,서울특별시 구로구 구로동 103-11 한솔로이젠트 103호,서울특별시 구로구 가마산로 265 (구로동한솔로이젠트 103호),세븐일레븐(구로구청점),편의점,37.4961288245767,126.889682828926
20190530,폐업,20200902,서울특별시 영등포구 당산동4가 32-83,서울특별시 영등포구 당산로36길 9-2 1층 (당산동4가),지에스25당산삼성점,편의점,37.5281287310278,126.898880869743
20181025,폐업,20200902,서울특별시 성북구 성북동 256-1,서울특별시 성북구 성북로 136 1층 (성북동),CU성북미래,편의점,37.5947704208698,126.994597885522
20150901,폐업,20200902,서울특별시 동대문구 답십리동 493-4,서울특별시 동대문구 천호대로 305 1층 (답십리동),세븐일레븐 답십리역점,편의점,37.565951363604,127.054558007843
20110314,폐업,20200902,서울특별시 강동구 천호동 24-1,서울특별시 강동구 구천면로 402 (천호동),세븐일레븐명일역점,편의점,37.5505719415891,127.143162743036
20200903,영업,0,서울특별시 구로구 오류동 81-271,서울특별시 구로구 경인로15나길 8 306동 지하1층 B02호 (오류동),세븐일레븐 오류양지마을점,편의점,37.495808909465,126.838031070166
20200903,영업,0,서울특별시 강서구 화곡동 862-11 (지상 1층),서울특별시 강서구 곰달래로 205 1층 (화곡동),GS25화곡들판점,편의점,37.5315519762326,126.855829815909
20200903,영업,0,서울특별시 강동구 성내동 550-5 건양빌딩,서울특별시 강동구 성내로 42 건양빌딩 1층 (성내동),이마트24 강동혜민점,편의점,37.5288082855162,127.124748901604
20200903,영업,0,서울특별시 송파구 잠실동 204-10,서울특별시 송파구 올림픽로12길 22 1층 (잠실동),지에스25(GS25)잠실제일점,편의점,37.5096527879669,127.083062346894
20200826,영업,0,서울특별시 강동구 상일동 269-7,서울특별시 강동구 상일로5길 8 1층 (상일동),GS25 강동삼성점,편의점,37.5491408311524,127.172585739342
20200428,영업,0,서울특별시 강동구 길동 147-3,서울특별시 강동구 천호대로 1203 1층 3호 (길동),세븐일레븐 길동제일점,편의점,37.5355862706942,127.144779193402
20200424,영업,0,서울특별시 강동구 성내동 410-4,서울특별시 강동구 양재대로95길 47 1층 (성내동),지에스25 성내하이츠,편의점,37.5306039617892,127.134216601626
20200421,영업,0,서울특별시 강동구 길동 392-5 삼정빌딩,서울특별시 강동구 양재대로116길 30 삼정빌딩 1층 (길동),지에스25(GS25) 길동우성점,편의점,37.5382066244097,127.142053791169
20200327,영업,0,서울특별시 강동구 암사동 510-20,서울특별시 강동구 상암로 10 1층 101호 (암사동),씨유선사현대점,편의점,37.5510889852265,127.124943782071
20200227,영업,0,서울특별시 강동구 천호동 361-2,서울특별시 강동구 천중로12길 23 1층 103104호 (천호동),세븐일레븐 천호로뎀점,편의점,37.5441690661087,127.127289050601
20200217,영업,0,서울특별시 강동구 강일동 717 고덕리엔파크2단지아파트,서울특별시 강동구 고덕로 427 104105호 (강일동 고덕리엔파크2단지아파트),씨유 고덕2단지점,편의점,37.5595969760082,127.173086679368
20190329,영업,0,서울특별시 강북구 수유동 118-1 1층 좌측,서울특별시 강북구 덕릉로 49 1층 (수유동),지에스25(GS25) 수유본점,편의점,37.6345633616015,127.01885165529
20180724,영업,0,서울특별시 강동구 천호동 86-2,서울특별시 강동구 구천면로42길 69 (천호동),세븐일레븐 천호타운점,편의점,37.5445012178424,127.136992465585
20171019,폐업,20200903,서울특별시 동대문구 이문동 86-25,서울특별시 동대문구 외대역동로14길 10 1층 (이문동),지에스25이문센터점,편의점,37.5955494257004,127.065754678379
20170904,폐업,20200903,서울특별시 강서구 화곡동 862-11 (지상 1층),서울특별시 강서구 곰달래로 205 1층 (화곡동 2동),지에스(GS)화곡들판점,편의점,37.5315519762326,126.855829815909
20170224,영업,0,서울특별시 강동구 명일동 337-30,서울특별시 강동구 양재대로134길 25 (명일동),지에스25명일중앙,편의점,37.5477816111585,127.14495984551
20160720,영업,0,서울특별시 강동구 암사동 469-17,서울특별시 강동구 암사길 25 1층 (암사동),세븐일레븐 암사희망점,편의점,37.5518021600075,127.132032217554
20140509,영업,0,서울특별시 구로구 구로동 80-24,서울특별시 구로구 가마산로 218 (구로동),(주)비지에프휴먼넷 고대구로병원2호점,편의점,37.4931375782136,126.884779816788
20131213,영업,0,서울특별시 강동구 성내동 43-11,서울특별시 강동구 천호옛길 88 (성내동),세븐일레븐 성내시네마점,편의점,37.5364819890849,127.125879326147
20131209,영업,0,서울특별시 강동구 천호동 177-8 1층,서울특별시 강동구 성안로27길 34 1층 (천호동),씨유 천호3동점,편의점,37.539755098492,127.13434072144
20130228,영업,0,서울특별시 강동구 천호동 361-38 동해빌딩,서울특별시 강동구 천중로 60 동해빌딩 1층 (천호동),씨유강동천일점,편의점,37.544937417577,127.128472512309
20111121,영업,0,서울특별시 강동구 암사동 501-12,서울특별시 강동구 올림픽로98길 10 (암사동),씨유 암사중앙점,편의점,37.5511389361437,127.128685724773
20100708,폐업,20200903,서울특별시 서초구 반포동 19-3 지하철3호선상가 B306호,서울특별시 서초구 신반포로 176 센트럴시티 지하철3호선상가 B306호 (반포동),이마트24 센트럴시티2호점,편의점,37.5043641148563,127.003620888061
20030426,영업,0,서울특별시 강동구 천호동 416-3 별관1층,서울특별시 강동구 구천면로24길 25 (천호동 별관1층),미니스톱 천호현대점,편의점,37.5395003810771,127.125923662989
