년,관서,주소,구,살인,강도,강간·추행,절도,폭력
2019,중부,서울시 중구 수표로 27,중구,0.0,0.0,1.0,47.0,19.0
2019,종로,서울시 종로구 율곡로 46,종로구,0.0,0.0,2.0,21.0,16.0
2019,남대문,서울시 중구 한강대로 410,중구,0.0,0.0,0.0,14.0,3.0
2019,서대문,서울 서대문구 통일로 113,서대문구,0.0,3.0,9.0,89.0,85.0
2019,혜화,서울시 종로구 창경궁로 112-16,종로구,0.0,0.0,2.0,19.0,17.0
2019,용산,서울시 용산구 원효로89길 24,용산구,0.0,4.0,3.0,21.0,35.0
2019,성북,서울 성북구 보문로 170,성북구,0.0,0.0,9.0,54.0,71.0
2019,동대문,서울시 동대문구 약령시로21길 29,동대문구,0.0,2.0,4.0,112.0,126.0
2019,마포,서울시 마포구 마포대로 183,마포구,0.0,0.0,18.0,127.0,98.0
2019,영등포,서울시 영등포구 국회대로 608,영등포구,0.0,0.0,6.0,144.0,150.0
2019,성동,서울시 성동구 왕십리광장로 9,성동구,0.0,0.0,3.0,42.0,52.0
2019,동작,서울시 동작구 노량진로 148,동작구,0.0,0.0,10.0,72.0,113.0
2019,광진,서울시 광진구 자양로 167,광진구,0.0,0.0,12.0,115.0,191.0
2019,서부,서울시 은평구 진흥로 58,은평구,0.0,0.0,2.0,93.0,43.0
2019,강북,서울시 강북구 오패산로 406,강북구,0.0,0.0,8.0,82.0,147.0
2019,금천,서울시 금천구 시흥대로73길 50,금천구,0.0,0.0,5.0,65.0,76.0
2019,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0.0,5.0,4.0,137.0,155.0
2019,강남,서울시 강남구 테헤란로 114길 11,강남구,0.0,0.0,9.0,66.0,44.0
2019,관악,서울시 관악구 관악로5길 33,관악구,0.0,14.0,15.0,102.0,190.0
2019,강서,서울시 양천구 화곡로 73,양천구,2.0,2.0,11.0,228.0,167.0
2019,강동,서울시 강동구 성내로 57,강동구,0.0,20.0,10.0,177.0,155.0
2019,종암,서울시 성북구 종암로 135,성북구,0.0,0.0,3.0,61.0,80.0
2019,구로,서울시 구로구 가마산로 235,구로구,0.0,0.0,15.0,185.0,148.0
2019,서초,서울시 서초구 반포대로 179,서초구,0.0,0.0,16.0,63.0,80.0
2019,양천,서울시 양천구 목동동로 99,양천구,0.0,1.0,9.0,162.0,128.0
2019,송파,서울시 송파구 중대로 221,송파구,0.0,11.0,27.0,166.0,153.0
2019,노원,서울시 노원구 노원로 283,노원구,0.0,1.0,22.0,112.0,195.0
2019,방배,서울시 서초구 동작대로 204,서초구,0.0,0.0,0.0,19.0,22.0
2019,은평,서울시 은평구 연서로 365,은평구,0.0,0.0,16.0,134.0,110.0
2019,도봉,서울시 도봉구 노해로 403,도봉구,0.0,6.0,11.0,59.0,89.0
2019,수서,서울시 강남구 개포로 617,강남구,0.0,0.0,2.0,73.0,82.0
