년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,영업,어린이집,구립수연어린이집,서울특별시 강남구 삼성동 40-3번지 ,127.045546724557,37.5124008731071,강남구,삼성2동
2020,영업,어린이집,꽃사슴어린이집,서울특별시 양천구 목동 230-25번지 ,126.870437640306,37.5394300655214,양천구,목2동
2020,영업,유치원,서안유치원,서울특별시 중랑구 중화동 282-12번지 ,127.07995587021401,37.604403746812004,중랑구,중화1동
2020,폐업,어린이집,단비어린이집,서울특별시 송파구 문정동 6-7,127.125792661191,37.4900998447767,송파구,문정1동
2020,영업,어린이집,그린어린이집,서울특별시 동대문구 휘경동 29-1번지 12층 ,127.06441709181699,37.589312265153204,동대문구,휘경2동
2020,영업,어린이집,노엘어린이집,서울특별시 도봉구 쌍문동 315-414번지 ,127.02890206145901,37.6483752492503,도봉구,쌍문3동
2020,폐업,유치원,예닮유치원,서울특별시 관악구 신림동 1612-7번지 ,126.92524515041201,37.4825124339651,관악구,신원동
2020,영업,어린이집,예다미 어린이집,서울특별시 강동구 천호동 29-3 예다미 어린이집,127.141365685488,37.5482877437092,강동구,천호1동
2020,영업,어린이집,만나 어린이집,서울특별시 종로구 혜화동 6-32번지 1층 ,127.000488615772,37.5901461597372,종로구,혜화동
2020,영업,어린이집,예쁜 새싹 어린이집,서울특별시 중랑구 면목동 466-9번지 ,127.091622281356,37.5814635103886,중랑구,면목제3.8동
2020,영업,어린이집,개나리동산 어린이집,서울특별시 성동구 성수동1가 211-1번지 지상2층 ,127.048330222864,37.5381272592233,성동구,성수1가1동
2020,영업,어린이집,구립성삼보듬이나눔이어린이집,서울특별시 성동구 성수동2가 289-138번지 지상2층 ,127.05661644308998,37.54872976665779,성동구,성수2가3동
2020,영업,어린이집,마천어린이집,서울특별시 송파구 마천동 183-56번지 지하1지상2층 ,127.151799866376,37.4958132079378,송파구,마천1동
2020,영업,어린이집,구립금삼어린이집,서울특별시 성동구 금호동3가 1265-51번지 지상1층 ,127.01978363601201,37.5495280286717,성동구,금호2.3가동
2020,영업,유치원,선덕유치원,서울특별시 노원구 하계동 273번지 ,127.067838725991,37.6336929365719,노원구,하계2동
