년,정류장명,Y좌표,X좌표,주소,구,행정동
2020,혜화역.서울연극센터(장면총리가옥),37.58402281,127.00132820000002,서울특별시 종로구 혜화동 167-3,종로구,혜화동
2020,혜화역.동성중고(장면총리가옥),37.58456977,127.00171770000001,서울특별시 종로구 혜화동 90-7,종로구,혜화동
2020,종로구민회관.창신동두산아파트,37.57409268,127.01555549999999,서울특별시 종로구 창신동 74-7,종로구,창신1동
2020,동묘역앞,37.57168496,127.0156014,서울특별시 종로구 창신동 322-1,종로구,창신1동
2020,동묘역앞,37.57189848,127.0158879,서울특별시 종로구 숭인동 316-1,종로구,숭인2동
2020,청계2가교차로,37.5684809,126.98787790000002,서울특별시 종로구 관철동 268,종로구,종로1.2.3.4가동
2020,창신3동주민센터,37.578413,127.015178,서울특별시 종로구 창신동 17-36,종로구,창신3동
2020,숭인1동주민센터,37.57877205,127.0155486,서울특별시 종로구 숭인동 52-14,종로구,숭인1동
2020,동묘역.롯데캐슬천지인,37.57418005,127.0158024,서울특별시 종로구 숭인동 76,종로구,숭인1동
2020,신설동로터리,37.57592883,127.02278020000001,서울특별시 종로구 숭인동 1311,종로구,숭인2동
2020,동묘앞,37.57372922,127.01781629999999,서울특별시 종로구 숭인동 140,종로구,숭인1동
2020,구기동현대빌라,37.609682,126.956622,서울특별시 종로구 구기동 127-3,종로구,평창동
2020,광장시장,37.56949631,126.99774380000001,서울특별시 종로구 예지동 167-3,종로구,종로1.2.3.4가동
2020,혜화경찰서,37.57258074,126.9974788,서울특별시 종로구 인의동 112-1,종로구,종로1.2.3.4가동
2020,서울역사박물관.김구집무실(경교장),37.56990034,126.9721318,서울특별시 종로구 신문로1가 226,종로구,사직동
2020,청계3가.관수교,37.56868879,126.9937794,서울특별시 종로구 장사동 208-4,종로구,종로1.2.3.4가동
2020,청계6가.버들다리,37.56993039,127.0080377,서울특별시 종로구 종로6가 289-47,종로구,종로5.6가동
2020,청계7가.맑은내다리,37.56999753,127.0129554,서울특별시 종로구 창신동 436-88,종로구,창신1동
2020,청계8가.영도교,37.57094659,127.0182311,서울특별시 종로구 창신동 399-4,종로구,창신1동
2020,원남동사거리,37.57572287,126.9982147,서울특별시 종로구 원남동 36,종로구,종로1.2.3.4가동
2020,숭인동,37.57427215,127.0204373,서울특별시 종로구 숭인동 200-16,종로구,숭인2동
2020,조계사,37.57280034,126.98316090000002,서울특별시 종로구 견지동 69-2,종로구,종로1.2.3.4가동
2020,세종문화회관,37.57333352,126.97636580000001,서울특별시 종로구 세종로 1-68,종로구,사직동
2020,이화동(이화장),37.576257,127.002955,서울특별시 종로구 이화동 203,종로구,이화동
2020,상명대정문,37.60161972,126.95502069999999,서울특별시 종로구 홍지동 7-1,종로구,부암동
2020,이북오도청,37.61305032,126.9558883,서울특별시 종로구 구기동 158-6,종로구,평창동
2020,상명대입구.세검정교회,37.59944351,126.9597922,서울특별시 종로구 홍지동 99-7,종로구,부암동
2020,상명대입구.석파랑,37.59957181,126.95819409999999,서울특별시 종로구 홍지동 99-7,종로구,부암동
2020,종로중부새마을금고,37.57241749,127.00659109999998,서울특별시 종로구 종로6가 28-8,종로구,종로5.6가동
2020,신설동로터리.신한은행앞.서울풍물시장,37.574386100000005,127.0231183,서울특별시 종로구 숭인동 1385,종로구,숭인2동
2020,청계2가.삼일교,37.56844587,126.98722140000001,서울특별시 종로구 관철동 10-2,종로구,종로1.2.3.4가동
2020,청계8가.황학교,37.57213073,127.02278700000001,서울특별시 종로구 숭인동 1499,종로구,숭인2동
2020,평창동삼성아파트,37.610966999999995,126.97836799999999,서울특별시 종로구 평창동 596,종로구,평창동
2020,안국역.종로경찰서.인사동,37.57633293,126.9855365,서울특별시 종로구 경운동 96-15,종로구,종로1.2.3.4가동
2020,안국역.종로경찰서.인사동,37.57640118,126.9847683,서울특별시 종로구 안국동 155,종로구,삼청동
2020,창덕궁,37.57722809,126.98900309999999,서울특별시 종로구 운니동 98-5,종로구,종로1.2.3.4가동
2020,남인사마당,37.57131917,126.98742859999999,서울특별시 종로구 인사동 63-2,종로구,종로1.2.3.4가동
2020,평창파출소,37.60568122,126.96681670000001,서울특별시 종로구 평창동 309-2,종로구,평창동
2020,삼청공원,37.58822768,126.9816469,서울특별시 종로구 삼청동 1-7,종로구,삼청동
2020,수성동계곡,37.58207916,126.96424679999998,서울특별시 종로구 옥인동 181-10,종로구,청운효자동
2020,명륜3가종점,37.59094838,126.99286370000002,서울특별시 종로구 명륜3가 1-352,종로구,혜화동
2020,명륜새마을금고,37.58765327,126.99670490000001,서울특별시 종로구 명륜1가 14-1,종로구,혜화동
2020,서대문3번출구,37.56641607,126.9662183,서울특별시 종로구 평동 211,종로구,교남동
2020,낙산공원,37.58040372,127.0087216,서울특별시 종로구 창신동 615-279,종로구,이화동
2020,인사미술공간.세탁소,37.58141098,126.98936709999998,서울특별시 종로구 원서동 4-13,종로구,가회동
2020,평화동물병원,37.604801200000004,126.9648837,서울특별시 종로구 평창동 288-1,종로구,평창동
2020,금융연수원,37.5865985,126.98156920000001,서울특별시 종로구 삼청동 122,종로구,삼청동
2020,박노수미술관,37.58099674,126.96660349999999,서울특별시 종로구 누상동 42,종로구,청운효자동
2020,샘미용실,37.59030953,126.99322269999999,서울특별시 종로구 명륜3가 1-1077,종로구,혜화동
