인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20101020,영업,0,서울특별시 중구 서소문동 12-1번지 외 2필지 1층 ,서울특별시 중구 서소문로 141 (서소문동외 2필지 1층),빈스앤베리즈 시청역점,제과제빵,126.97623406757201,37.5642923921623,중구,소공동,중구 소공동
20170517,영업,0,서울특별시 중구 다동 58-1번지 1층 104호 ,서울특별시 중구 다동길 33 (다동 1층 104호),팬덤커피,제과제빵,126.98114702048099,37.5680066438075,중구,명동,중구 명동
20140912,영업,0,서울특별시 중구 명동2가 1-1번지 ,서울특별시 중구 명동길 74 1층 (명동2가),카페 리브레,제과제빵,126.986863999711,37.563004457291,중구,명동,중구 명동
19930827,영업,0,서울특별시 중구 회현동1가 194-7번지 ,서울특별시 중구 퇴계로 68 (회현동1가),부산뉴욕제과,제과제빵,126.979625090769,37.559078147410396,중구,회현동,중구 회현동
19990226,영업,0,서울특별시 중구 을지로6가 18-12번지 두산타워B2 326 ,서울특별시 중구 장충단로 275 (을지로6가두산타워B2 326),두산베이커리,제과제빵,127.00875235399599,37.5688141257209,중구,광희동,중구 광희동
19890320,영업,0,서울특별시 중구 태평로2가 250-0번지 ,서울특별시 중구 세종대로 67 (태평로2가),도나도너츠,제과제빵,126.975451214869,37.5623850027648,중구,소공동,중구 소공동
20100212,영업,0,서울특별시 중구 소공동 25번지 (지상1층) ,서울특별시 중구 남대문로7길 13 (소공동(지상1층)),엠엠티에이치 소공점108호,제과제빵,126.97538034490499,37.563812076290105,중구,소공동,중구 소공동
20120403,영업,0,서울특별시 중구 충무로4가 120-3번지 진양상가 나호10호 ,서울특별시 중구 퇴계로 217 1층 나호 10호 (충무로4가 진양상가),신스커피(Shin's Coffee),제과제빵,126.99593918877899,37.562402711937,중구,광희동,중구 광희동
19870718,영업,0,서울특별시 중구 순화동 7-0번지 ,서울특별시 중구 서소문로 88 (순화동),신라명과,제과제빵,126.971079790677,37.561603749837204,중구,소공동,중구 소공동
20170607,영업,0,서울특별시 중구 을지로2가 149-10번지 대현프리몰 을지스타몰 을특 1-1 ,서울특별시 중구 을지로 지하 88 (을지로2가 대현프리몰 을지스타몰 을특 1-1),바비공방 cafe,제과제빵,126.988010854351,37.566121756032295,중구,명동,중구 명동
20170717,영업,0,서울특별시 중구 회현동1가 203번지 우리은행 본점 지하1층 ,서울특별시 중구 소공로 51 (회현동1가 우리은행 본점 지하1층),우리라운지,제과제빵,126.98150495235001,37.5592363115356,중구,회현동,중구 회현동
20160426,영업,0,서울특별시 중구 황학동 1204번지 1층 ,서울특별시 중구 마장로14길 11 (황학동),쥬스박스,제과제빵,127.021243617596,37.5676626881654,중구,황학동,중구 황학동
20151012,영업,0,서울특별시 중구 주자동 43-1번지 흥국빌딩 지하1층 ,서울특별시 중구 퇴계로 166 (주자동 흥국빌딩 지하1층),(주)씨앤지풀서비스 흥국제선점,제과제빵,126.99015683580299,37.5607958042392,중구,필동,중구 필동
19930820,영업,0,서울특별시 중구 신당동 292-86번지 ,서울특별시 중구 다산로 215-2 (신당동),바게뜨,제과제빵,127.014837414601,37.562537449434295,중구,신당동,중구 신당동
20170623,영업,0,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,서울특별시 중구 소공로 63 (충무로1가 신세계백화점 지하1층),(주)하루식품,제과제빵,126.981138732453,37.5609226495431,중구,회현동,중구 회현동
20100730,영업,0,서울특별시 중구 소공동 1번지 롯데백화점 지하1 ,0,어해원,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20100730,영업,0,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,0,맥랑,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20100225,영업,0,서울특별시 중구 서소문동 41-3번지 지상1층 ,서울특별시 중구 서소문로 117 (서소문동지상1층),탐앤탐스 대한항공서소문점,제과제빵,126.97419095749201,37.563567562164,중구,소공동,중구 소공동
20181022,영업,0,서울특별시 중구 을지로7가 32-3번지 1층 ,서울특별시 중구 을지로 282-1 1층 (을지로7가),감성커피,제과제빵,127.00937482096501,37.5653248813493,중구,광희동,중구 광희동
