인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20191216,영업,0,서울특별시 노원구 상계동 389-371번지 ,서울특별시 노원구 상계로9나길 9 1층 좌측호 (상계동),톨리커피(tolly coffee),카페,127.068053354165,37.6601846166714,노원구,상계2동,노원구 상계2동
20191015,영업,0,서울특별시 노원구 상계동 649번지 12단지 종합상가 ,서울특별시 노원구 동일로 1538 12단지 종합상가 지하층 15호 (상계동),스토리하우스,카페,127.057901495238,37.665997309991,노원구,상계9동,노원구 상계9동
20191015,영업,0,서울특별시 노원구 중계동 506-1번지 건영옴니백화점 ,서울특별시 노원구 섬밭로 258 건영옴니백화점 지하1층 (중계동),프렌즈 스터디카페(중계건영백화점센터),카페,127.064754408777,37.6388267772726,노원구,중계2.3동,노원구 중계2.3동
20191024,영업,0,서울특별시 노원구 공릉동 208-18번지 ,서울특별시 노원구 공릉로 208 1층 2호 (공릉동),메이젠,카페,127.077787284753,37.6282962949983,노원구,공릉2동,노원구 공릉2동
20191118,영업,0,서울특별시 노원구 공릉동 622번지 ,서울특별시 노원구 동일로174길 27 3층 (공릉동),카페 앤 스낵 서울생활사박물관점,카페,127.076778623724,37.6196120721059,노원구,공릉1동,노원구 공릉1동
20191114,영업,0,서울특별시 노원구 중계동 364-19번지 삼부프라자 103호,서울특별시 노원구 한글비석로 242 삼부프라자 103호 (중계동),아헨1995,카페,127.07695750018401,37.6491845473566,노원구,중계본동,노원구 중계본동
20191202,영업,0,서울특별시 노원구 상계동 713번지 롯데백화점 ,서울특별시 노원구 동일로 1414 롯데백화점 지층 (상계동),고메당 롯데노원점,카페,127.06107839121,37.6551441072559,노원구,상계2동,노원구 상계2동
20191028,영업,0,서울특별시 노원구 상계동 1262번지 하이베라스 ,서울특별시 노원구 동일로 1689 1층 103호 (상계동 하이베라스),컴포즈커피 수락산역점,카페,127.054886315115,37.679119447371505,노원구,상계1동,노원구 상계1동
20191022,영업,0,서울특별시 노원구 중계동 84-36번지 중계약국 ,서울특별시 노원구 중계로14길 29 3층 (중계동),노리파크 중계점,카페,127.082006549154,37.6498518373741,노원구,중계본동,노원구 중계본동
20191108,영업,0,서울특별시 노원구 공릉동 81번지 태강아파트 제2층 제상가동 206호,서울특별시 노원구 공릉로34길 38 태강아파트 제상가동 제2층 206호 (공릉동),슬로우핸드,카페,127.083557738377,37.623648935066704,노원구,공릉2동,노원구 공릉2동
20160603,영업,0,서울특별시 은평구 대조동 194-27번지 ,서울특별시 은평구 연서로26길 23 (대조동),유로시안,카페,126.921610437044,37.616057336554796,은평구,대조동,은평구 대조동
20051028,영업,0,서울특별시 노원구 중계동 360-11번지 하나프라자 105호 ,서울특별시 노원구 한글비석로 235 (중계동하나프라자 105호),빽다방중계은행사거리점,카페,127.076338368467,37.6487649112823,노원구,중계1동,노원구 중계1동
20160608,영업,0,서울특별시 노원구 상계동 746-4번지 101호,서울특별시 노원구 동일로 1363 101호 (상계동),킹콩쥬스,카페,127.061265346675,37.6504179059966,노원구,상계6.7동,노원구 상계6.7동
20051107,영업,0,서울특별시 노원구 월계동 469-3번지 금혁빌딩 106호 ,서울특별시 노원구 광운로 15 (월계동금혁빌딩 106호),휘드카페광운대점,카페,127.057603088989,37.61906780196279,노원구,월계1동,노원구 월계1동
20191022,영업,0,서울특별시 은평구 증산동 187-19번지 증산동주민센터 1층 ,서울특별시 은평구 증산서길 89 증산동주민센터 1층 (증산동),시루뫼 북카페,카페,126.90703530083799,37.5843484674389,은평구,증산동,은평구 증산동
20150616,영업,0,서울특별시 은평구 역촌동 40-7번지 1층 ,서울특별시 은평구 진흥로5길 15 (역촌동 1층),생두,카페,126.919374275325,37.6025986556847,은평구,역촌동,은평구 역촌동
20191011,영업,0,서울특별시 은평구 갈현동 452-29번지 1층 ,서울특별시 은평구 연서로29길 21 1층 (갈현동),원플러스원,카페,126.917848571066,37.6193437438276,은평구,갈현2동,은평구 갈현2동
20170411,영업,0,서울특별시 은평구 진관동 92번지 536동 제지하1층 B101호 ,서울특별시 은평구 연서로 455 536동 제지하1층 B101호 (진관동 은평뉴타운제각말 ),ONE SUGAR DAY(원슈가데이),카페,126.916720415447,37.6347634260965,은평구,진관동,은평구 진관동
20180319,영업,0,서울특별시 은평구 신사동 339-2번지 1층 ,서울특별시 은평구 증산로 363 1층 (신사동),마셔봄,카페,126.912825752202,37.588844604205896,은평구,신사2동,은평구 신사2동
20061211,영업,0,서울특별시 은평구 불광동 304-2번지 (지상5층) ,서울특별시 은평구 통일로 830 지상5층 (불광동),윈썸커피 앤 포테이토,카페,126.92274012819901,37.6178235676098,은평구,불광1동,은평구 불광1동
20110718,영업,0,서울특별시 은평구 신사동 7-15번지 1층 ,서울특별시 은평구 갈현로 30 1층 (신사동),CMP Coffee(씨엠피 커피),카페,126.910520409195,37.60056396574621,은평구,신사1동,은평구 신사1동
20191108,영업,0,서울특별시 은평구 갈현동 12-309번지 1층 ,서울특별시 은평구 갈현로47가길 25-1 1층 (갈현동),카페 쥴래,카페,126.91488142832,37.6292070865523,은평구,갈현1동,은평구 갈현1동
20191021,영업,0,서울특별시 은평구 역촌동 9-61번지 파발리안 1층 101호,서울특별시 은평구 역말로 49 1층 101호 (역촌동 파발리안),메가 엠지씨커피 역말사거리점,카페,126.915794027115,37.6060291073374,은평구,역촌동,은평구 역촌동
20191128,영업,0,서울특별시 은평구 응암동 194-15번지 1층 ,서울특별시 은평구 응암로34길 23-38 1층 (응암동),달빛가루,카페,126.924394265415,37.598157211631,은평구,응암1동,은평구 응암1동
20170112,영업,0,서울특별시 은평구 증산동 176-1번지 미라벨 1층 101호호,서울특별시 은평구 증산로3길 8-25 1층 101호 (증산동 미라벨),날쌘카페 상암DMC점,카페,126.90619490358999,37.5818116871906,은평구,증산동,은평구 증산동
20191203,영업,0,서울특별시 은평구 응암동 760번지 백련산 힐스테이트 2차 제지2층 상가1동 제106호,서울특별시 은평구 백련산로 38 제상가1동 제지2층 제106호 (응암동 백련산 힐스테이트 2차),티12 카페(T12 CAFE) 백련산점,카페,126.92354681829599,37.5908269199714,은평구,응암2동,은평구 응암2동
20191120,영업,0,서울특별시 은평구 응암동 764번지 힐스테이트백련산4차아파트 상가동2동 201호,서울특별시 은평구 백련산로 37 상가동2동 201호 (응암동 힐스테이트백련산4차아파트),만랩커피 응암점,카페,126.92139172134199,37.59012056820421,은평구,응암2동,은평구 응암2동
20191007,영업,0,서울특별시 은평구 갈현동 391-1번지 1층 ,서울특별시 은평구 통일로 929 1층 (갈현동),부르다 커피,카페,126.91979899818199,37.6258539968606,은평구,갈현1동,은평구 갈현1동
20191127,영업,0,서울특별시 은평구 갈현동 498-4번지 구산빌딩 1층 11호,서울특별시 은평구 서오릉로 196 구산빌딩 1층 11호 (갈현동),카페 게이트,카페,126.912064534657,37.6138712989098,은평구,갈현2동,은평구 갈현2동
20191023,영업,0,서울특별시 은평구 응암동 111-42번지 4층 ,서울특별시 은평구 은평로 90 4층 (응암동),바니바니,카페,126.917911793564,37.599336422536396,은평구,응암1동,은평구 응암1동
20191031,영업,0,서울특별시 은평구 녹번동 95-18번지 1층 ,서울특별시 은평구 녹번로 47 1층 (녹번동),커피생활,카페,126.92976287418,37.605750651513,은평구,녹번동,은평구 녹번동
20200102,영업,0,서울특별시 은평구 응암동 120-34번지 1층 ,서울특별시 은평구 응암로21가길 29 1층 (응암동),유즈풀,카페,126.91816167604601,37.5962691724579,은평구,응암3동,은평구 응암3동
20160407,영업,0,서울특별시 은평구 불광동 248번지 ,서울특별시 은평구 통일로 780 (불광동),이레카페,카페,126.928309453939,37.6149289640601,은평구,불광1동,은평구 불광1동
20190919,영업,0,서울특별시 은평구 응암동 88-11번지 빛터룩스 빌딩 1층 ,서울특별시 은평구 응암로 337 빛터룩스 빌딩 1층 (응암동),이디야 본서부병원점,카페,126.922142414983,37.601308404049796,은평구,응암1동,은평구 응암1동
20190910,영업,0,서울특별시 은평구 녹번동 7번지 서울혁신파크 상상청 103호,서울특별시 은평구 통일로 684 서울혁신파크 상상청 103호 (녹번동),비건카페 달냥,카페,126.93305917809401,37.608080544191296,은평구,녹번동,은평구 녹번동
20190723,영업,0,서울특별시 은평구 구산동 202-3번지 1층 ,서울특별시 은평구 서오릉로 201 1층 (구산동),메가엠지씨커피 구산사거리점,카페,126.91117146978998,37.6136770977409,은평구,구산동,은평구 구산동
20190906,영업,0,서울특별시 은평구 역촌동 85-41번지 리더스파크 107호,서울특별시 은평구 연서로 1 107호 (역촌동 리더스파크),아마스빈 응암역점,카페,126.915335301904,37.59928973309,은평구,역촌동,은평구 역촌동
20190722,영업,0,서울특별시 은평구 신사동 15-52번지 2층 ,서울특별시 은평구 갈현로1길 8-1 2층 (신사동),이안 블럭카페,카페,126.90924417597401,37.599445312511705,은평구,신사1동,은평구 신사1동
20190916,영업,0,서울특별시 은평구 갈현동 398-10번지 1층 ,서울특별시 은평구 연서로 225 1층 (갈현동),카페 플로리아,카페,126.91998854244301,37.6186419933273,은평구,갈현1동,은평구 갈현1동
20190731,영업,0,서울특별시 은평구 불광동 630-38번지 동강빌딩 지하1층~지상1층 ,서울특별시 은평구 진흥로19길 10 동강빌딩 지하1층~지상1층 (불광동),삐에(PIED),카페,126.941149188366,37.611666648158,은평구,불광1동,은평구 불광1동
20170721,영업,0,서울특별시 은평구 역촌동 27-3번지 1층 2층 ,서울특별시 은평구 진흥로 91-1 1층2층 (역촌동),오가다 역촌점,카페,126.921925734335,37.605146208517496,은평구,역촌동,은평구 역촌동
20170724,영업,0,서울특별시 은평구 신사동 335-36번지 1층 ,서울특별시 은평구 가좌로 275-1 1층 (신사동),모퉁2,카페,126.913167438102,37.59305573201621,은평구,신사2동,은평구 신사2동
20170724,영업,0,서울특별시 은평구 역촌동 51-75 1층,서울특별시 은평구 갈현로12길 4 1층 (역촌동),브로슈어,카페,126.91095247340401,37.6059395991601,은평구,역촌동,은평구 역촌동
20170808,영업,0,서울특별시 은평구 녹번동 118-47번지 1층 ,서울특별시 은평구 진흥로 184 1층 (녹번동),트루비 커피숍,카페,126.929871213,37.608206813550794,은평구,녹번동,은평구 녹번동
20170818,영업,0,서울특별시 은평구 갈현동 392-31번지 104호,서울특별시 은평구 통일로 911 1층 104호 (갈현동),돌스커피,카페,126.91959181908301,37.6244775986042,은평구,갈현1동,은평구 갈현1동
20170821,영업,0,서울특별시 은평구 진관동 64번지 힐데스하임 121호,서울특별시 은평구 진관3로 11 121호 (진관동 힐데스하임),Cafe Mano(카페마노),카페,126.92035787682501,37.64139439237221,은평구,진관동,은평구 진관동
20170823,영업,0,서울특별시 은평구 응암동 89-19번지 메디컬빌딩 1층일부2층 ,서울특별시 은평구 은평로 121 (응암동 메디컬빌딩 1층일부2층),(주)커피빈코리아 응암동점,카페,126.921094128715,37.600448703542206,은평구,응암1동,은평구 응암1동
20170504,영업,0,서울특별시 은평구 응암동 126-22번지 1층 ,서울특별시 은평구 불광천길 466 1층 (응암동),팝콘트리,카페,126.915519710928,37.5947341842734,은평구,응암3동,은평구 응암3동
20190529,영업,0,서울특별시 은평구 응암동 110-57번지 2층 ,서울특별시 은평구 은평로 112 2층 (응암동),에어툰아이앤씨 응암점,카페,126.92029009631099,37.5998287322359,은평구,응암1동,은평구 응암1동
20190517,영업,0,서울특별시 은평구 응암동 74-7번지 101동 102호,서울특별시 은평구 은평로 204-4 101동 102호 (응암동),더스토리(The Story),카페,126.930524400368,37.600596987993995,은평구,응암1동,은평구 응암1동
20190422,영업,0,서울특별시 은평구 녹번동 7번지 서울혁신파크 1층 25동 101호,서울특별시 은평구 통일로 684 서울혁신파크 25동 1층 101호 (녹번동),한평책빵,카페,126.93305917809401,37.608080544191296,은평구,녹번동,은평구 녹번동
20190813,영업,0,서울특별시 은평구 응암동 595-1번지 1층 ,서울특별시 은평구 응암로 169 1층 (응암동),빽다방 응암대림시장점,카페,126.91617576093999,37.5871810958012,은평구,응암3동,은평구 응암3동
20190517,폐업,20200707,서울특별시 은평구 갈현동 485-10 1층 101호,서울특별시 은평구 연서로21길 24-20 1층 101호 (갈현동),온리원데이(only one day),카페,126.915974727139,37.616238160864896,은평구,갈현2동,은평구 갈현2동
20190702,영업,0,서울특별시 은평구 역촌동 56-13번지 1층 우측호,서울특별시 은평구 역말로 12 1층 우측호 (역촌동),산도이치&커피,카페,126.911707538171,37.605436423129,은평구,역촌동,은평구 역촌동
20190805,영업,0,서울특별시 은평구 진관동 1번지 은평뉴타운상림마을 1층 615동 상가106호,서울특별시 은평구 진관4로 107 615동 1층 상가106호 (진관동 은평뉴타운상림마을),고구맘 카페(gogoomam cafe),카페,126.93033057076799,37.6492243049648,은평구,진관동,은평구 진관동
20190805,영업,0,서울특별시 은평구 응암동 427-105번지 1층 ,서울특별시 은평구 응암로22길 7 1층 (응암동),카페에벤 응암점,카페,126.918964745725,37.5938618271728,은평구,응암2동,은평구 응암2동
20170928,영업,0,서울특별시 은평구 응암동 194-24번지 1층 ,서울특별시 은평구 백련산로 143-1 1층 (응암동),온플러스1,카페,126.925012690426,37.59812499029249,은평구,응암1동,은평구 응암1동
20171013,영업,0,서울특별시 은평구 갈현동 12-335번지 1층 ,서울특별시 은평구 갈현로45길 40-1 1층 (갈현동),오혜,카페,126.91524530768,37.6284022272514,은평구,갈현1동,은평구 갈현1동
20171017,영업,0,서울특별시 은평구 수색동 75번지 DMC자이상가 1층 110호 ,서울특별시 은평구 수색로 217 (수색동 DMC자이상가 1층 110호),메가커피 수색자이,카페,126.898649192226,37.5795941415816,은평구,수색동,은평구 수색동
20170922,영업,0,서울특별시 은평구 증산동 209-20번지 ,서울특별시 은평구 증산서길 67 (증산동),카페 테루아,카페,126.90562979907601,37.5827540360795,은평구,증산동,은평구 증산동
20170926,영업,0,서울특별시 은평구 진관동 25번지 제919동 제1층 제상가113호 ,서울특별시 은평구 진관3로 77 제919동 제1층 제상가113호 (진관동),카페 옴니버스,카페,126.920876918142,37.6447082905283,은평구,진관동,은평구 진관동
20170825,영업,0,서울특별시 은평구 역촌동 15-12번지 1층 ,서울특별시 은평구 서오릉로 77 1층 (역촌동),카페 9기압,카페,126.92172514737601,37.6071141974922,은평구,역촌동,은평구 역촌동
20170915,영업,0,서울특별시 은평구 갈현동 432-1번지 101호102호 ,서울특별시 은평구 갈현로 268 (갈현동 101호102호),이디야 갈현점,카페,126.91669193144699,37.620697928062,은평구,갈현1동,은평구 갈현1동
20190403,영업,0,서울특별시 은평구 불광동 177-39번지 다옴빌 1층 ,서울특별시 은평구 불광로18길 8 1층 (불광동 다옴빌),커피디지(직화커피),카페,126.932070090119,37.622204052545904,은평구,불광2동,은평구 불광2동
20190415,영업,0,서울특별시 은평구 구산동 24-68번지 대광빌딩 1층 ,서울특별시 은평구 갈현로 126 대광빌딩 1층 (구산동),씨엘,카페,126.91113152777599,37.6089802129774,은평구,구산동,은평구 구산동
20190930,영업,0,서울특별시 은평구 역촌동 43-2번지 1층 ,서울특별시 은평구 진흥로1길 3 1층 (역촌동),이디야(역촌진흥로점),카페,126.918663398371,37.6007629406961,은평구,역촌동,은평구 역촌동
20190214,영업,0,서울특별시 은평구 갈현동 548번지 2층 202호 ,서울특별시 은평구 갈현로 300 2층 202호 (갈현동),커피에반하다(갈현주민센터점),카페,126.91742328204201,37.623608540665394,은평구,갈현1동,은평구 갈현1동
