년,호선,역명,주소,Y좌표,X좌표,구,행정동
2020,2,서울대입구,서울특별시 관악구 남부순환로 지하1822,37.48115266,126.95264509999998,관악구,청룡동
2020,2,봉천,서울특별시 관악구 남부순환로 지하1721,37.48255622,126.9414953,관악구,은천동
2020,2,신림,서울특별시 관악구 남부순환로 지하1614,37.48421761,126.9298033,관악구,서원동
2020,2,신대방,서울특별시 동작구 대림로 2,37.48757597,126.9131756,동작구,신대방1동
2020,2,구로디지털단지,서울특별시 구로구 도림천로 477,37.48531492,126.90149440000002,구로구,구로3동
2020,2,대림,서울특별시 구로구 도림천로 351,37.49331059,126.8949462,구로구,구로4동
2020,2,신도림,서울특별시 구로구 새말로 117-21,37.50877014,126.89108049999999,구로구,신도림동
2020,2,문래,서울특별시 영등포구 당산로 지하28,37.51792146,126.8947631,영등포구,문래동
2020,2,영등포구청,서울특별시 영등포구 당산로27길 지하121,37.5256889,126.89649070000002,영등포구,당산1동
2020,2,당산,서울특별시 영등포구 당산로 229,37.53495687,126.9027307,영등포구,당산2동
2020,2,합정,서울특별시 마포구 양화로 지하55,37.55011521,126.9146382,마포구,서교동
2020,2,홍대입구,서울특별시 마포구 양화로 지하160,37.55689041,126.9236743,마포구,서교동
2020,2,신촌,서울특별시 마포구 신촌로 지하90,37.55544179,126.93611920000001,서대문구,신촌동
2020,2,이대,서울특별시 마포구 신촌로 지하180,37.55679801,126.9457582,마포구,대흥동
2020,2,아현,서울특별시 마포구 신촌로 지하270,37.55735757,126.9560337,마포구,아현동
2020,2,충정로,서울특별시 서대문구 서소문로 지하17,37.5598378,126.964474,서대문구,충현동
2020,2,도림천,서울특별시 구로구 경인로67길 160,37.51444205,126.88270259999999,구로구,신도림동
2020,2,양천구청,서울특별시 양천구 목동로3길 지하33,37.51269894,126.8660652,양천구,신정7동
2020,2,신정네거리,서울특별시 양천구 중앙로 지하261,37.51979753,126.8529916,양천구,신정3동
2020,2,까치산,서울특별시 강서구 강서로 지하54,37.53195608,126.84661159999999,강서구,화곡8동
2020,3,구파발,서울특별시 은평구 진관2로 지하15-25,37.63684179,126.91874540000002,은평구,진관동
2020,3,연신내,서울특별시 은평구 통일로 지하849,37.618961999999996,126.9211621,은평구,갈현1동
2020,3,불광,서울특별시 은평구 통일로 지하723-1,37.61020726,126.9299858,은평구,대조동
2020,3,녹번,서울특별시 은평구 통일로 지하602-1,37.60074218,126.9360194,은평구,녹번동
2020,3,홍제,서울특별시 서대문구 통일로 지하440-1,37.58871037,126.9442423,서대문구,홍제3동
2020,3,무악재,서울특별시 서대문구 통일로 지하361,37.58238415,126.9503221,서대문구,홍제2동
2020,3,독립문,서울특별시 서대문구 통일로 지하247,37.57441036,126.9577503,서대문구,천연동
2020,3,경복궁,서울특별시 종로구 사직로 지하130,37.57586129999999,126.97306270000001,종로구,사직동
2020,3,안국,서울특별시 종로구 율곡로 지하62,37.57672037,126.985823,종로구,가회동
2020,3,종로3가,서울특별시 종로구 돈화문로 지하30,37.57114028,126.99199440000001,종로구,종로1.2.3.4가동
2020,3,을지로3가,서울특별시 중구 을지로 지하129,37.56627504,126.99265,중구,을지로동
2020,3,동대입구,서울특별시 중구 동호로 지하256,37.55903022,127.0054602,중구,장충동
2020,3,약수,서울특별시 중구 다산로 지하122,37.55455956,127.0108225,중구,약수동
2020,3,금호,서울특별시 성동구 동호로 지하104,37.54811252,127.01589380000001,성동구,금호4가동
2020,3,옥수,서울특별시 성동구 동호로 지하21,37.541698,127.017265,성동구,옥수동
2020,3,압구정,서울특별시 강남구 압구정로 지하172,37.52643082,127.02848090000002,강남구,신사동
2020,3,신사,서울특별시 강남구 도산대로 지하102,37.51643246,127.02032690000001,강남구,논현1동
2020,3,잠원,서울특별시 서초구 잠원로4길 지하46,37.51279911,127.01122020000001,서초구,잠원동
2020,3,고속터미널,서울특별시 서초구 신반포로 지하188,37.50464718,127.00444209999999,서초구,반포4동
2020,3,교대,서울특별시 서초구 서초대로 지하294,37.49357747,127.01415559999998,서초구,서초1동
2020,3,남부터미널,서울특별시 서초구 서초중앙로 지하31,37.48514017,127.0162071,서초구,서초1동
2020,3,양재,서울특별시 서초구 남부순환로 지하2585,37.48393473,127.0345442,서초구,양재1동
2020,3,매봉,서울특별시 강남구 남부순환로 지하2744,37.48696113,127.0466146,강남구,도곡1동
2020,3,도곡,서울특별시 강남구 남부순환로 지하2814,37.49086477,127.05532340000002,강남구,도곡2동
2020,3,대치,서울특별시 강남구 남부순환로 지하2952,37.49456276,127.06343020000001,강남구,대치2동
2020,3,학여울,서울특별시 강남구 남부순환로 지하3104,37.49671719,127.07171899999999,강남구,대치2동
2020,3,대청,서울특별시 강남구 일원로 지하2,37.49372186,127.07949359999999,강남구,일원2동
2020,3,일원,서울특별시 강남구 일원로 지하121,37.48407358,127.0844518,강남구,일원본동
2020,3,수서,"서울특별시 강남구 광평로 지하270
",37.48738899,127.10185919999999,강남구,수서동
2020,3,경찰병원,서울특별시 송파구 중대로 지하149,37.49560314,127.1240678,송파구,가락본동
2020,3,오금,서울특별시 송파구 오금로 지하321,37.50226598,127.12787920000001,송파구,오금동
2020,3,충무로,서울특별시 중구 퇴계로 지하199,37.56117214,126.9941108,중구,필동
2020,3,가락시장,서울특별시 송파구 송파대로 지하257,37.49274403,127.11848570000001,송파구,가락1동
2020,4,당고개,서울특별시 노원구 상계로 305,37.67029264,127.0790112,노원구,상계3.4동
2020,4,상계,서울특별시 노원구 상계로 182,37.66090389,127.0735754,노원구,상계5동
2020,4,노원,서울특별시 노원구 상계로 69-1,37.65626778,127.0630304,노원구,상계2동
2020,4,창동,서울특별시 도봉구 마들로 11길 77,37.65321748,127.047715,도봉구,창5동
2020,4,쌍문,서울특별시 도봉구 도봉로 지하486-1,37.64884986,127.0348807,도봉구,창1동
2020,4,수유,서울특별시 강북구 도봉로 지하338,37.63774523,127.02535690000002,강북구,수유3동
2020,4,미아,서울특별시 강북구 도봉로 지하198,37.62644364,127.0261034,강북구,미아동
2020,4,미아사거리,서울특별시 강북구 도봉로 지하50,37.61328611,127.03009840000001,강북구,송중동
2020,4,길음,서울특별시 성북구 동소문로 지하248,37.60318391,127.02482320000001,성북구,길음1동
2020,4,성신여대입구,서울특별시 성북구 동소문로 지하102,37.59271793,127.01647759999999,성북구,동선동
2020,4,한성대입구,서울특별시 성북구 삼선교로 지하1,37.58839488,127.00595030000001,성북구,성북동
2020,4,혜화,서울특별시 종로구 대학로 지하120,37.58180362,127.0019784,종로구,이화동
2020,4,동대문,서울특별시 종로구 율곡로 지하308,37.57041171,127.00954660000001,종로구,종로5.6가동
2020,4,동대문역사문화공원,서울특별시 중구 장충단로 지하230,37.56507877,127.0075507,중구,광희동
2020,4,충무로,서울특별시 중구 퇴계로 지하199,37.56117214,126.9941108,중구,필동
2020,4,명동,서울특별시 중구 퇴계로 지하126,37.56091008,126.985947,중구,명동
2020,4,회현,서울특별시 중구 퇴계로 지하54,37.55853532,126.97823909999998,중구,회현동
2020,4,서울,서울특별시 용산구 한강대로 지하392,37.55320002,126.97280549999999,용산구,남영동
2020,4,숙대입구,서울특별시 용산구 한강대로 지하306,37.54519398,126.97187240000001,용산구,남영동
2020,4,삼각지,서울특별시 용산구 한강대로 지하180,37.53459371,126.97301100000001,용산구,한강로동
2020,4,신용산,서울특별시 용산구 한강대로 지하112,37.52961556,126.9682159,용산구,한강로동
2020,4,이촌,서울특별시 용산구 서빙고로 지하83,37.52252025,126.9736832,용산구,한강로동
2020,4,동작,서울특별시 동작구 현충로 257,37.50287037,126.98026840000001,동작구,사당2동
2020,4,총신대입구(이수),서울특별시 동작구 동작대로 지하117,37.48755383,126.9821997,동작구,사당2동
2020,4,사당,서울특별시 동작구 동작대로 지하3,37.47686327,126.98159509999999,동작구,사당1동
2020,4,남태령,서울특별시 서초구 과천대로 지하816,37.46485756,126.98865649999999,서초구,방배2동
2020,5,방화,서울특별시 강서구 금낭화로 지하132,37.57700311,126.8126299,강서구,방화3동
2020,5,개화산,서울특별시 강서구 양천로 22,37.57227002,126.8060017,강서구,방화2동
2020,5,김포공항,서울특별시 강서구 하늘길 지하77,37.56214413,126.8015703,강서구,공항동
2020,5,송정,서울특별시 강서구 공항대로 지하33,37.56147755,126.8110554,강서구,공항동
2020,5,마곡,서울특별시 강서구 공항대로 지하163,37.56019845,126.825548,강서구,공항동
2020,5,발산,서울특별시 강서구 공항대로 지하267,37.55902927,126.8373108,강서구,가양1동
2020,5,우장산,서울특별시 강서구 강서로 지하262,37.5490002,126.83640890000001,강서구,우장산동
2020,5,화곡,서울특별시 강서구 화곡로 지하168,37.54143362,126.84049650000001,강서구,화곡1동
2020,5,까치산,서울특별시 강서구 강서로 지하54,37.53195608,126.84661159999999,강서구,화곡8동
2020,5,신정,서울특별시 양천구 오목로 지하179,37.52521079,126.85729040000001,양천구,신정4동
2020,5,목동,서울특별시 양천구 오목로 지하245,37.52619868,126.8647426,양천구,목1동
2020,5,오목교,서울특별시 양천구 오목로 지하342,37.52445007,126.87535459999998,양천구,목1동
2020,5,양평,서울특별시 영등포구 양산로 지하21,37.52551169,126.88686570000002,영등포구,양평1동
2020,5,영등포구청,서울특별시 영등포구 양산로 지하116,37.52422661,126.89528909999999,영등포구,당산1동
2020,5,영등포시장,서울특별시 영등포구 양산로 지하200,37.52273452,126.9049592,영등포구,영등포동
2020,5,신길,서울특별시 영등포구 경인로114가길 지하9,37.517667700000004,126.9143369,영등포구,영등포동
