기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	집단시설가구	집단시설가구	집단시설가구	집단시설가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수
기간	구분	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2017	광진구	155,878	363,934	177,156	186,778	147,846	338,040	163,065	174,975	61	568	311	257	29	5,487	2,751	2,736	7,942	14,382	6,554	7,828
2017	동대문구	153,187	357,380	176,460	180,920	145,294	332,541	163,682	168,859	91	868	454	414	43	5,167	2,438	2,729	7,759	12,624	5,106	7,518
2017	중랑구	161,432	396,892	196,346	200,546	159,035	385,721	188,954	196,767	39	367	212	155	23	1,407	708	699	2,335	4,035	1,855	2,180
2017	성북구	178,276	445,417	215,068	230,349	172,973	421,449	202,703	218,746	113	1,036	449	587	70	8,276	3,128	5,148	5,120	8,296	3,567	4,729
2017	강북구	129,204	313,698	152,464	161,234	127,281	304,565	147,022	157,543	31	274	135	139	37	1,914	557	1,357	1,855	2,930	1,243	1,687
2017	도봉구	126,940	332,586	161,944	170,642	125,974	325,115	157,138	167,977	29	267	102	165	31	1,775	360	1,415	906	1,406	676	730
2017	노원구	204,188	543,499	263,655	279,844	202,955	527,633	253,207	274,426	84	644	345	299	40	6,388	2,821	3,567	1,109	1,795	868	927
2017	은평구	181,588	466,243	225,813	240,430	179,641	453,061	216,979	236,082	34	290	152	138	39	4,132	2,235	1,897	1,874	3,248	1,559	1,689
2017	서대문구	131,721	321,345	151,132	170,213	126,672	296,743	140,603	156,140	60	585	305	280	45	10,859	3,261	7,598	4,944	8,153	2,995	5,158
2017	마포구	157,877	368,841	175,326	193,515	152,814	351,174	165,730	185,444	61	552	288	264	20	3,817	1,847	1,970	4,982	8,221	3,320	4,901
