XÁÂÇ¥,YÁÂÇ¥,ÀÚÄ¡±¸,¹øÂ°,1ÀÎ °¡±¸ Á¡¼ö,2ÀÎ °¡±¸ Á¡¼ö,4ÀÎ °¡±¸ Á¡¼ö
127.117079629872,37.6139790874348,Áß¶û±¸,4549,0.0,0.0,0
127.117085614842,37.613960224046394,Áß¶û±¸,4549,0.0,0.0,0
127.117103789645,37.6138115444151,Áß¶û±¸,4549,0.0,0.0,0
127.11712772928101,37.61361161134009,Áß¶û±¸,4549,0.0,0.0,0
127.11715196585399,37.6133767739632,Áß¶û±¸,4549,0.0,0.0,0
127.117215609986,37.61288173069111,Áß¶û±¸,4549,0.0,0.0,0
127.117243894569,37.6126283020601,Áß¶û±¸,4549,0.0,0.0,0
127.117373536877,37.612245257932,Áß¶û±¸,4549,0.0,0.0,0
127.117416459115,37.611958874993896,Áß¶û±¸,4549,0.0,0.0,0
127.117483058008,37.611771288375394,Áß¶û±¸,4549,0.0,0.0,0
127.117374242808,37.6114445102724,Áß¶û±¸,4549,0.0,0.0,0
127.11728694269199,37.6111805003294,Áß¶û±¸,4549,0.0,0.0,0
127.117212189979,37.611017550087105,Áß¶û±¸,4549,0.0,0.0,0
127.11704573196,37.6108240021729,Áß¶û±¸,4548,0.0,0.0,0
127.11704111198699,37.610817249335604,Áß¶û±¸,4548,0.0,0.0,0
127.116962023272,37.6107061095929,Áß¶û±¸,4548,0.0,0.0,0
127.11688038099199,37.6105547164458,Áß¶û±¸,4548,0.0,0.0,0
127.11682780204399,37.6104263779885,Áß¶û±¸,4548,0.0,0.0,0
127.116807871084,37.610354318952,Áß¶û±¸,4548,0.0,0.0,0
127.116787939717,37.61028197159771,Áß¶û±¸,4548,0.0,0.0,0
127.11676417025998,37.6101296748994,Áß¶û±¸,4548,0.0,0.0,0
127.116770094677,37.609844175136,Áß¶û±¸,4548,0.0,0.0,0
127.11678413030899,37.6097582888886,Áß¶û±¸,4548,0.0,0.0,0
127.116877564967,37.609530699782,Áß¶û±¸,4548,0.0,0.0,0
127.116878233663,37.609509021514,Áß¶û±¸,4548,0.0,0.0,0
127.116711306693,37.6088984812566,Áß¶û±¸,4548,0.0,0.0,0
127.11669777624,37.6088492197792,Áß¶û±¸,4548,0.0,0.0,0
127.116797954205,37.6088601049389,Áß¶û±¸,4548,0.0,0.0,0
127.117262321838,37.608652424691,Áß¶û±¸,4548,0.0,0.0,0
127.117537936632,37.608478994422896,Áß¶û±¸,4548,0.0,0.0,0
127.118032589641,37.608173587916795,Áß¶û±¸,4548,0.0,0.0,0
127.118285659641,37.6078526333797,Áß¶û±¸,4548,0.0,0.0,0
127.11847692877501,37.6076128459205,Áß¶û±¸,4548,0.0,0.0,0
127.11836910910802,37.6073494155457,Áß¶û±¸,4548,0.0,0.0,0
127.11833002555299,37.607254851144,Áß¶û±¸,4548,0.0,0.0,0
127.11816464674,37.606849572874395,Áß¶û±¸,4548,0.0,0.0,0
127.118060903293,37.60659148998629,Áß¶û±¸,4547,0.0,0.0,0
127.118032075224,37.6062536412094,Áß¶û±¸,4547,0.0,0.0,0
127.11799786689699,37.6058859662007,Áß¶û±¸,4547,0.0,0.0,0
127.118083469393,37.6056305073387,Áß¶û±¸,4547,0.0,0.0,0
127.11809363038999,37.6055668699493,Áß¶û±¸,4547,0.0,0.0,0
127.118095567455,37.6054438299226,Áß¶û±¸,4547,0.0,0.0,0
127.118070362721,37.6049384578969,Áß¶û±¸,4547,0.0,0.0,0
127.11804700772,37.6046022974697,Áß¶û±¸,4547,0.0,0.0,0
127.117554694619,37.6041168196943,Áß¶û±¸,4547,0.0,0.0,0
127.11737711783701,37.603937076979896,Áß¶û±¸,4547,0.0,0.0,0
127.117015829583,37.603394868493396,Áß¶û±¸,4547,0.0,0.0,0
127.116944440405,37.6032265717421,Áß¶û±¸,4547,0.0,0.0,0
127.116871808493,37.603052645016795,Áß¶û±¸,4547,0.0,0.0,0
127.116739111068,37.6029514141009,Áß¶û±¸,4547,0.0,0.0,0
127.116574724155,37.6028254369101,Áß¶û±¸,4547,0.0,0.0,0
127.11644752504299,37.6027275699767,Áß¶û±¸,4547,0.0,0.0,0
127.116368512831,37.6026673981844,Áß¶û±¸,4546,0.0,0.0,0
127.116377719543,37.602667389225395,Áß¶û±¸,4546,0.0,0.0,0
127.11572270081699,37.6021085687011,Áß¶û±¸,4546,0.0,0.0,0
127.115706558995,37.601964715411,Áß¶û±¸,4546,0.0,0.0,0
