노선명,구 간,노폭(m),설치년도,조도(lx),경간(m),형태,선로배전방식,등주타입,본수,광원
소공로,롯데캐슬 신축공사 암교체 Y,35,2001,20,30,D,3선로,SE12-25R,2,LED125(W)
소공로,시청 ~ 한국은행,20,2008,22,30,B,3선로,R10-25R,18,LED125(W)
소월로,숭례문~힐튼호텔,25,2016,21,30,B,4선로,SE12-28QY,1,LED120(W)
소월로,숭례문~힐튼호텔,25,2016,21,30,B,4선로,SE10-28QY,2,LED100(W)
소월로,숭례문~힐튼호텔,25,2016,21,30,B,4선로,SE10-28Q,24,LED100(W)
소월로,숭례문~힐튼호텔,25,2016,21,30,B,4선로,R10-25R,4,LED100(W)
소월로,숭례문~힐튼호텔,25,2009,22,30,B,4선로,R10-25R,3,CDM250(W)
소파로,힐튼호텔~서울과학교육원,20,2008,15,30,B,3선로,R10-25R,26,LED100(W)
소파로,힐튼호텔~서울과학교육원,20,2008,15,40,D,3선로,R10-25R,9,LED100(W)
소파로,힐튼호텔~서울과학교육원,20,2008,20,30,B,3선로,R10-25RY,3,LED100(W)
소파로,서울과학교육원~삼일로대한적십자,20,2008,15,30,B,3선로,R10-25R,36,LED150(W)
소파로,서울과학교육원~삼일로대한적십자,20,2008,15,30,B,3선로,R10-25RY,1,LED150(W)
소파로,서울과학교육원~삼일로대한적십자,20,2008,15,30,B,3선로,R10-25RY ⑷,1,LED150(W)
소파로,서울과학교육원~삼일로대한적십자,20,2004,15,30,B,3선로,R10-28R,4,LED150(W)
소파로,서울과학교육원~삼일로대한적십자,20,2004,15,30,B,4선로,E09-15QY,1,LED150(W)
소파로,서울과학교육원~삼일로대한적십자,20,2004,22,30,B,4선로,SR4.5Y,1,MH200(W)
수표로,수표다리~을지로3가,20,2005,22,30,B,4선로,SC09-20R,9,LED75(W)
수표로,수표다리~을지로3가,20,2005,22,30,B,4선로,AR08-20R,4,LED75(W)
수표로,을지로3가~중부경찰서,20,2006,22,30,B,4선로,SR10-25R,33,LED75(W)
수표로,을지로3가~중부경찰서,20,2006,22,30,B,4선로,SR10-25RY,4,CDM250(W)
을지로,시청~을지로3가역,30,2006,22,30,A,4선로,SZ12-28SR,16,LED100(W)
을지로,시청~을지로3가역,30,2006,22,30,A,4선로,SZ12-28SRY,4,LED100(W)
을지로,시청~을지로3가역,30,2006,22,30,A,4선로,SZ12-28SRY,7,CDM250(W)
을지로,시청~을지로3가역,30,2006,22,30,A,4선로,SZ12-28SR,30,CDM250(W)
을지로,시청~을지로3가역,30,2006,22,30,A,4선로,SZ12-12SRY,4,LED120(W)
을지로,시청~을지로3가역,30,2007,22,30,A,4선로,SZ12-25SR,1,CDM250(W)
을지로,을지로3가파출소~훈련원공원,30,2006,22,30,A,4선로,Z12-28R,15,CDM250(W)
을지로,을지로3가파출소~훈련원공원,30,2006,22,30,A,4선로,Z12-28RY,8,CDM250(W)
을지로,을지로3가파출소~훈련원공원,30,2007,22,30,B,3선로,Z12-28SRY,1,CDM250(W)
을지로,을지로3가파출소~훈련원공원,30,2007,22,30,B,3선로,Z12-28SR,35,CDM250(W)
을지로,을지로3가파출소~훈련원공원,30,2007,22,30,B,4선로,Q12,11,LED150(W)
을지로,을지로3가파출소~훈련원공원,30,2005,22,30,B,4선로,SR12-25R,2,LED90(W)
을지로,을지로3가파출소~훈련원공원,30,2005,22,30,B,4선로,SR12-25R,5,LED90(W)
을지로,을지로3가파출소~훈련원공원,30,2005,22,30,B,4선로,SR12-25RY,2,LED90(W)
을지로,을지로3가파출소~훈련원공원,30,2005,22,30,B,4선로,SR12-25RY ⑷,4,CDM250(W)
을지로,훈련원공원~한양공고,30,2017,21,30,B,4선로,R12-15R,43,LED100(W)
을지로,훈련원공원~한양공고,30,2013,21,30,B,4선로,R10-25R,17,CDM150(W)
을지로,훈련원공원~한양공고,30,2013,21,30,B,4선로,R11-25R(통),2,CDM150(W)
을지로,훈련원공원~한양공고,30,2013,21,30,B,4선로,R11-25RY(통),4,CDM150(W)
을지로,훈련원공원~한양공고,30,1997,15,40,D,3선로,SE15-28RY ⑻,1,LED120(W)
장충단로,오간수교 ~ 광희5거리,35,2001,15,40,B,4선로,SE12-25R,2,LED125(W)
