기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2012	영등포구	4	1,779	317,739	13,358	894	1,859,827	1,358,426	619,119	76	32	44	3,761
2012	동작구	3	665	202,995	7,714	655	1,508,087	1,208,784	747,859	34	8	26	2,032
2012	관악구	5	952	280,481	7,052	790	1,297,487	815,408	521,446	63	26	37	3,486
2012	서초구	1	38	58,667	757	8	73,788	73,788	118,005	5	1	4	167
2012	강남구	11	2,092	636,783	30,855	1,559	4,040,243	2,354,071	1,344,040	122	31	91	4,810
2012	송파구	5	1,802	340,594	10,187	1,694	3,392,949	2,513,699	1,177,584	66	17	49	4,129
2012	강동구	7	2,848	651,662	19,545	2,167	3,953,032	3,169,717	1,796,665	107	35	72	5,805
2013	합계	123	41,703	10,693,144	430,180	24,956	64,286,726	47,072,804	22,206,149	1,804	521	1,283	88,070
2013	종로구	4	3,962	1,097,768	37,510	2,692	4,376,024	2,888,460	1,390,403	146	34	112	5,848
2013	중구	5	892	331,840	7,911	366	2,950,219	2,696,529	625,612	71	29	42	4,545
2013	용산구	3	2,694	766,409	31,244	1,835	1,966,930	1,429,152	686,129	88	26	62	2,723
2013	성동구	5	1,617	615,557	21,077	475	3,038,975	2,018,768	833,538	79	20	59	3,206
2013	광진구	3	1,278	233,781	7,499	462	2,070,413	1,847,731	1,221,351	36	11	25	1,967
2013	동대문구	2	879	316,507	18,082	947	1,784,268	2,110,592	804,541	57	20	37	3,414
2013	중랑구	3	990	295,955	14,872	242	2,516,671	1,997,831	634,917	43	9	34	2,241
2013	성북구	5	1,056	382,374	21,467	582	1,045,524	749,867	812,887	66	12	54	2,461
2013	강북구	6	687	311,525	10,713	311	2,980,407	2,043,498	840,148	53	13	40	2,613
2013	도봉구	5	1,440	454,002	24,837	1,065	1,542,972	1,039,045	762,272	74	19	55	3,948
2013	노원구	6	2,757	550,814	21,221	791	5,947,984	2,625,163	1,499,225	112	34	78	5,565
2013	은평구	3	1,477	269,460	19,525	816	2,009,863	1,577,406	545,646	69	30	39	3,398
2013	서대문구	4	951	345,852	13,682	950	2,044,363	1,381,328	1,005,006	52	17	35	2,744
2013	마포구	3	1,428	397,674	22,561	1,212	2,235,125	1,757,974	778,741	82	19	63	2,762
2013	양천구	4	1,937	329,974	13,593	886	1,915,671	1,421,721	694,091	64	22	42	1,575
2013	강서구	8	2,018	417,116	14,278	1,386	2,219,848	1,822,504	1,115,387	86	28	58	4,167
2013	구로구	10	2,410	586,404	18,513	1,239	3,072,658	2,603,413	910,478	82	23	59	4,731
2013	금천구	4	1,455	223,679	15,485	410	1,743,856	1,749,357	465,955	56	14	42	2,295
2013	영등포구	4	1,806	335,476	14,759	940	1,962,707	1,410,025	617,685	56	19	37	3,710
2013	동작구	4	954	233,605	8,598	602	1,439,961	1,128,581	710,065	45	18	27	2,982
2013	관악구	5	1,056	298,635	7,637	996	990,032	604,697	533,877	57	13	44	2,903
2013	서초구	2	404	111,964	2,489	93	1,315,478	1,309,518	379,992	21	4	17	1,217
2013	강남구	12	2,548	698,547	34,210	1,502	4,783,762	2,950,005	1,376,928	130	30	100	5,511
2013	송파구	6	2,199	395,166	9,643	1,897	3,351,332	2,655,026	1,182,040	82	29	53	4,755
2013	강동구	7	2,808	693,060	18,774	2,259	4,981,683	3,254,613	1,779,235	97	28	69	6,791
2014	합계	132	42,194	11,213,319	655,378	24,833	71,043,565	46,143,554	27,006,534	2,082	648	1,434	87,555
2014	종로구	6	3,391	1,117,426	237,441	2,550	4,310,468	2,714,867	1,354,507	175	48	127	4,893
2014	중구	5	892	388,645	14,028	395	5,031,217	613,179	570,413	78	20	58	3,370
2014	용산구	3	2,037	775,265	32,595	1,727	2,372,935	1,644,673	736,022	106	37	69	2,647
2014	성동구	6	1,922	447,186	23,019	537	3,512,440	2,381,845	4,277,361	91	22	69	3,711
2014	광진구	3	1,282	258,492	7,881	455	2,012,529	1,932,324	1,236,446	40	15	25	2,158
2014	동대문구	4	1,098	354,273	20,493	1,077	2,182,204	1,558,840	709,398	90	31	59	4,192
2014	중랑구	3	989	315,370	15,158	272	2,495,889	1,970,918	625,408	51	12	39	2,305
2014	성북구	6	1,138	431,900	22,916	544	1,186,343	889,917	853,209	76	27	49	3,001
2014	강북구	6	811	333,534	13,467	296	3,138,412	1,833,690	916,427	53	20	33	2,180
2014	도봉구	5	1,752	492,920	26,511	868	1,498,224	961,514	749,611	74	25	49	3,636
2014	노원구	6	2,819	583,083	23,560	812	5,873,602	3,046,290	1,594,130	133	42	91	5,116
2014	은평구	3	1,252	281,627	20,394	910	1,860,063	1,413,395	485,928	76	31	45	3,252
2014	서대문구	4	968	369,826	14,039	944	2,214,447	1,525,708	1,178,975	62	22	40	2,333
2014	마포구	3	1,428	406,339	23,747	1,079	2,407,165	1,774,547	798,096	83	31	52	3,174
2014	양천구	5	2,105	358,637	13,780	814	2,023,523	1,476,924	697,669	63	21	42	1,969
2014	강서구	8	2,337	467,056	17,420	1,282	2,304,998	2,018,803	1,199,756	95	30	65	4,018
2014	구로구	10	2,408	605,697	18,924	1,700	3,669,033	1,989,415	1,139,405	98	26	72	5,236
2014	금천구	4	1,363	258,601	15,657	361	2,319,021	2,016,537	525,261	59	20	39	2,133
2014	영등포구	4	1,715	348,209	15,628	924	2,043,314	1,491,526	598,875	75	27	48	4,071
2014	동작구	5	1,019	256,314	9,614	595	1,888,981	1,125,875	830,919	60	20	40	2,562
2014	관악구	5	1,070	323,853	7,907	1,354	1,221,798	761,714	504,407	68	29	39	3,651
2014	서초구	2	400	133,420	3,282	119	1,393,088	1,386,954	456,168	23	7	16	1,401
2014	강남구	12	2,544	735,350	25,346	1,422	5,426,044	3,408,369	1,514,604	143	28	115	5,831
2014	송파구	7	2,278	437,533	11,332	2,068	3,603,183	2,878,281	1,572,977	100	33	67	4,721
2014	강동구	7	3,176	732,763	21,239	1,728	5,054,644	3,327,449	1,880,562	110	24	86	5,995
2015	합계	146	43,227	11,929,816	498,842	24,967	71,050,641	48,719,001	24,411,227	2,192	675	1,517	111,811
2015	종로구	6	2,649	1,106,543	45,339	2,481	4,098,356	2,508,381	1,376,695	163	45	118	9,640
2015	중구	5	852	431,623	26,447	672	2,521,203	553,129	565,933	72	20	52	3,795
2015	용산구	3	2,017	787,103	33,669	1,585	2,154,085	1,485,832	739,503	99	42	57	4,090
2015	성동구	6	1,930	444,687	23,449	537	3,428,032	2,170,331	964,550	95	26	69	3,299
2015	광진구	4	1,346	296,801	8,275	465	2,203,719	2,126,091	1,445,928	46	16	30	2,558
2015	동대문구	4	1,171	385,181	21,055	1,296	3,144,655	1,981,638	821,072	88	36	52	4,504
2015	중랑구	3	1,005	310,589	15,024	275	2,754,715	1,967,046	610,402	53	12	41	2,486
2015	성북구	8	1,289	516,361	25,333	671	1,350,068	971,093	888,843	79	23	56	3,569
2015	강북구	6	1,102	358,945	11,062	280	2,929,436	2,166,687	860,687	66	23	43	2,926
2015	도봉구	7	1,887	524,438	27,163	1,216	1,587,982	1,032,285	718,589	96	28	68	5,037
2015	노원구	6	2,813	619,565	26,252	744	5,125,555	3,037,950	1,509,460	134	42	92	7,425
2015	은평구	6	2,292	362,385	22,913	1,014	2,582,831	1,996,950	773,850	125	42	83	4,955
2015	서대문구	4	968	392,860	14,813	1,140	2,342,673	1,596,517	1,252,561	69	22	47	3,679
2015	마포구	4	1,517	444,273	24,769	939	3,529,719	2,570,443	965,337	101	31	70	6,021
2015	양천구	5	2,091	382,923	18,414	800	2,686,910	2,166,452	946,949	61	11	50	3,386
2015	강서구	9	2,694	509,386	17,700	1,211	2,637,787	2,048,346	1,271,383	110	39	71	6,125
2015	구로구	10	2,383	626,747	19,690	1,503	3,463,006	1,972,058	967,229	96	21	75	4,995
2015	금천구	4	1,381	267,367	15,919	419	2,097,917	1,724,783	446,754	56	19	37	1,837
2015	영등포구	5	1,591	375,841	19,905	785	2,136,290	1,447,893	539,808	77	32	45	4,634
2015	동작구	5	1,079	274,444	9,973	633	1,532,537	1,210,363	830,399	57	21	36	2,826
2015	관악구	5	1,040	347,723	8,214	1,159	1,177,398	759,748	504,116	68	29	39	3,851
2015	서초구	2	495	138,353	4,014	136	1,519,291	1,108,285	490,530	32	8	24	1,525
2015	강남구	12	2,473	742,708	25,728	1,345	5,454,067	3,744,528	1,508,230	131	28	103	5,658
2015	송파구	10	2,358	508,876	13,092	1,533	4,211,397	3,328,781	1,552,169	106	30	76	6,145
2015	강동구	7	2,804	774,094	20,630	2,128	4,381,012	3,043,391	1,860,250	112	29	83	6,846
2016	합계	147	42,926	12,583,120	515,455	24,633	68,247,780	50,698,340	23,033,500	2,281	663	1,618	125,674
2016	종로구	6	2,678	1,133,386	48,556	2,345	4,045,535	2,435,183	1,283,236	158	47	111	10,294
2016	중구	5	834	497,625	20,947	681	1,841,506	1,564,551	560,369	87	17	70	6,454
2016	용산구	3	2,025	811,235	32,874	1,501	2,102,081	1,406,843	580,552	98	34	64	6,730
2016	성동구	6	1,758	461,535	22,872	523	3,148,777	2,788,954	824,017	97	27	70	4,088
2016	광진구	4	1,346	315,354	8,537	467	2,231,116	2,054,007	1,541,369	48	17	31	2,517
2016	동대문구	4	1,156	405,544	22,058	1,303	2,081,213	1,598,529	635,453	89	27	62	4,456
2016	중랑구	3	978	334,230	15,024	331	2,761,196	1,996,336	599,078	49	12	37	2,618
2016	성북구	8	1,280	546,284	25,960	775	1,962,333	1,768,908	770,356	82	23	59	3,136
2016	강북구	6	1,273	375,941	11,153	280	2,759,150	1,921,542	579,653	61	24	37	2,849
2016	도봉구	7	1,925	560,280	27,056	1,113	1,581,417	975,878	743,503	97	33	64	4,593
2016	노원구	6	2,644	650,298	28,355	712	4,215,831	2,670,598	1,490,640	138	34	104	8,089
2016	은평구	6	2,252	405,494	24,478	1,127	2,930,655	2,314,131	895,480	129	45	84	6,319
2016	서대문구	4	964	414,334	15,389	1,083	1,641,299	1,075,726	589,711	76	20	56	4,120
2016	마포구	4	1,606	453,291	27,681	1,084	3,521,345	2,474,788	943,096	110	33	77	6,208
2016	양천구	6	2,223	419,634	20,749	936	3,368,802	2,329,510	1,018,823	77	8	69	4,135
2016	강서구	9	2,908	558,948	18,713	1,021	2,715,999	2,024,546	1,207,917	125	37	88	7,262
2016	구로구	10	2,347	662,333	24,652	1,409	2,772,863	2,219,183	887,798	103	27	76	5,792
2016	금천구	4	1,376	281,786	12,135	380	2,260,050	1,738,754	338,660	53	18	35	2,488
2016	영등포구	5	1,102	393,897	20,314	805	2,124,109	1,419,996	528,419	81	24	57	5,648
2016	동작구	5	1,079	291,265	9,911	668	1,463,687	1,228,510	860,693	58	23	35	3,282
2016	관악구	5	1,043	362,261	8,619	1,157	1,177,850	755,060	568,267	68	30	38	3,422
2016	서초구	2	495	152,824	4,624	154	1,358,597	960,012	474,438	27	8	19	1,615
2016	강남구	11	2,466	743,333	27,853	1,578	5,399,365	3,749,750	1,467,180	130	27	103	6,087
2016	송파구	11	2,435	555,884	14,506	1,463	4,188,791	3,319,148	1,752,568	125	40	85	6,441
2016	강동구	7	2,733	796,124	22,439	1,737	4,594,213	3,907,897	1,892,224	115	28	87	7,029
