인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
19900331,영업,29991231,서울특별시 종로구 구기동 216-2번지 ,사회복지법인 청운양로원 요양원,사회복지시설
19900410,영업,29991231,서울특별시 종로구 신교동 1-4번지 국립서울맹학교 ,서울맹아학교,학교
19921106,영업,29991231,서울특별시 종로구 서린동 154-1번지 ,광화문우체국,공공기관
19930406,영업,29991231,서울특별시 종로구 삼청동 25-23번지 ,감사원,공공기관
20171017,영업,29991231,서울특별시 종로구 세종로 81-3번지 지하1층 ,세종문화회관 구내식당,산업체
20180122,영업,29991231,서울특별시 종로구 평동 108-1번지 강북삼성병원 ,강북삼성병원 직원식당,병원
20180124,영업,29991231,서울특별시 종로구 구기동 139번지 이북5도청 ,이북5도위원회,공공기관
20050707,영업,29991231,서울특별시 종로구 숭인동 59-45번지 ,조은어린이집,어린이집
20060213,영업,29991231,서울특별시 종로구 가회동 11-101번지 지상1층 ,가회어린이집,어린이집
20060523,영업,29991231,서울특별시 종로구 충신동 136-16번지 1층호,이화어린이집,어린이집
20180309,영업,29991231,서울특별시 종로구 청진동 70번지 그랑서울 ,GS건설 꿈과 희망의 어린이집,어린이집
20060614,영업,29991231,서울특별시 종로구 옥인동 184번지 옥인어린이집 ,세종마을 어린이집,어린이집
20060614,영업,29991231,서울특별시 종로구 창신동 138-32번지 창신성결교회 ,창신어린이집,어린이집
20060706,영업,29991231,서울특별시 종로구 세종로 1번지 ,대통령비서실,공공기관
20060706,영업,29991231,서울특별시 종로구 청운동 6-3번지 구립청운어린이집 ,구립청운어린이집,어린이집
20060911,영업,29991231,서울특별시 종로구 옥인동 45-10번지 ,지에스건설(주) 남촌리더십센터,산업체
20070222,영업,29991231,서울특별시 종로구 이화동 25-1번지 ,구립종로노인종합복지관,사회복지시설
20070530,영업,29991231,서울특별시 종로구 숭인동 242-36번지 ,종로산업정보학교,학교
20070809,영업,29991231,서울특별시 종로구 무악동 83번지 무악현대아파트단지내 ,동화속의아이들어린이집,어린이집
20070907,영업,29991231,서울특별시 종로구 옥인동 18번지 2층호,옥인유치원,어린이집
20180316,영업,29991231,서울특별시 종로구 숭인동 746번지 도담도담어린이집 ,도담도담어린이집,어린이집
20180327,영업,29991231,서울특별시 종로구 관훈동 192-18번지 SK건설빌딩 ,SK건설행복날개어린이집,어린이집
20180327,영업,29991231,서울특별시 종로구 서린동 99번지 SK빌딩 ,SK행복어린이집,어린이집
20180329,영업,29991231,서울특별시 종로구 신문로2가 1-124번지 현대해상온마음어린이집 ,현대해상온마음어린이집,어린이집
20180503,영업,29991231,서울특별시 종로구 홍파동 42-13번지 경희궁자이 2단지 ,경희궁솔빛어린이집,어린이집
19990224,영업,29991231,서울특별시 종로구 혜화동 5-119번지 경신중고등학교 ,경신중고등학교,학교
19990303,영업,29991231,서울특별시 종로구 안국동 37-1번지 덕성여자고등학교 ,덕성여자고등학교,학교
19990312,영업,29991231,서울특별시 종로구 창신동 7-40번지 ,서울명신초등학교,학교
19990410,영업,29991231,서울특별시 종로구 혜화동 90-7번지 ,동성중고등학교,학교
19990415,영업,29991231,서울특별시 종로구 청운동 89-3번지 경기상업고등학교 ,경기상업고등학교,학교
19971013,영업,29991231,서울특별시 종로구 공평동 100-0번지 ,(주)한국스탠다드차타드은행,산업체
19980312,영업,29991231,서울특별시 종로구 명륜3가 53번지 ,성균관대학교(교수회관),학교
20180503,영업,29991231,서울특별시 종로구 숭인동 200-26번지 진형빌딩 ,서울숭인병원,병원
19990714,영업,29991231,서울특별시 종로구 연건동 28-2번지 서울대학교의과대학 ,서울대학치과대학구내식당,학교
19990902,영업,29991231,서울특별시 종로구 무악동 32-2번지 ,세란병원,병원
19990903,영업,29991231,서울특별시 종로구 홍지동 7-1번지 ,상명대부속여자중?고등학교,학교
19990907,영업,29991231,서울특별시 종로구 효제동 255-4번지 ,서울효제초등학교,학교
19990927,영업,29991231,서울특별시 종로구 계동 35-0번지 ,대동세무고등학교,학교
19991001,영업,29991231,서울특별시 종로구 연지동 136-74번지 ,서울보증보험(주),산업체
19991006,영업,29991231,서울특별시 종로구 연건동 128-9번지 ,주식회사 케이티(혜화빌딩),산업체
19680405,영업,29991231,서울특별시 종로구 가회동 210-0번지 ,서울재동초등학교,학교
19681102,영업,29991231,서울특별시 종로구 평동 108-1번지 강북삼성병원 ,강북삼성병원 구내식당,병원
19930809,영업,29991231,서울특별시 종로구 내자동 223-0번지 ,김?장 법률사무소 구내식당,산업체
20170816,영업,29991231,서울특별시 종로구 무악동 66-3번지 ,올리비움 산후조리원,산후조리원
20170823,영업,29991231,서울특별시 종로구 신교동 66번지 ,종로장애인복지관,사회복지시설
20131231,영업,29991231,서울특별시 종로구 청진동 92번지 GS그랑서울 지하2층 ,지에스건설(주),산업체
20150127,영업,29991231,서울특별시 종로구 청진동 244번지 kt광화문빌딩 이스트 지하2층 ,주식회사 케이티(광화문빌딩 East),산업체
20050707,영업,29991231,서울특별시 종로구 창신동 611-19번지 ,낙산어린이집,어린이집
20180531,영업,29991231,서울특별시 종로구 평동 43번지 경희궁자이 3단지 ,구립경희궁자이어린이집,어린이집
20070302,폐업,20170309,서울특별시 종로구 운니동 114번지 ,운현유치원,집단급식소
19721201,영업,29991231,서울특별시 종로구 수송동 146-12번지 ,대림산업(주)구내식당,산업체
20161014,영업,29991231,서울특별시 종로구 홍지동 69-18번지 ,종로시니어스타워 요양원,사회복지시설
20170124,영업,29991231,서울특별시 종로구 신문로2가 1-158번지 썬타워빌딩 1층 ,김&장(KIM&CHANG) 어린이집,어린이집
20031021,영업,29991231,서울특별시 종로구 홍지동 7-1번지 5층 미래백년관 ,상명대학교(미래백년관),학교
20040220,영업,29991231,서울특별시 종로구 세종로 178번지 현대해상빌딩17층 ,현대해상화재보험(주),산업체
20040512,영업,29991231,서울특별시 종로구 경운동 90-3번지 ,서울노인복지센터,사회복지시설
