데이터,호선,구,2017년,2018년,2019년
지하철역,9,강동구,0,1,1
지하철역,경의선,종로구,0,0,0
지하철역,경의선,서대문구,2,2,2
지하철역,경의선,중구,0,0,0
지하철역,경의선,광진구,0,0,0
지하철역,경의선,성동구,0,0,0
지하철역,경의선,용산구,1,1,1
지하철역,경의선,동대문구,0,0,0
지하철역,경의선,중랑구,0,0,0
지하철역,경의선,성북구,0,0,0
지하철역,경의선,노원구,0,0,0
지하철역,경의선,강북구,0,0,0
지하철역,경의선,도봉구,0,0,0
지하철역,경의선,관악구,0,0,0
지하철역,경의선,은평구,2,2,2
지하철역,경의선,마포구,3,3,3
지하철역,경의선,양천구,0,0,0
지하철역,경의선,구로구,0,0,0
지하철역,경의선,강서구,0,0,0
지하철역,경의선,강남구,0,0,0
지하철역,경의선,금천구,0,0,0
지하철역,경의선,영등포구,0,0,0
지하철역,경의선,동작구,0,0,0
지하철역,경의선,서초구,0,0,0
지하철역,경의선,송파구,0,0,0
지하철역,경의선,강동구,0,0,0
지하철역,경춘선,종로구,0,0,0
지하철역,경춘선,서대문구,0,0,0
지하철역,경춘선,중구,0,0,0
지하철역,경춘선,광진구,0,0,0
지하철역,경춘선,성동구,0,0,0
지하철역,경춘선,용산구,0,0,0
지하철역,경춘선,동대문구,0,0,0
지하철역,경춘선,중랑구,3,3,3
지하철역,경춘선,성북구,0,0,0
지하철역,경춘선,노원구,1,1,1
지하철역,경춘선,강북구,0,0,0
지하철역,경춘선,도봉구,0,0,0
지하철역,경춘선,관악구,0,0,0
지하철역,경춘선,은평구,0,0,0
지하철역,경춘선,마포구,0,0,0
지하철역,경춘선,양천구,0,0,0
지하철역,경춘선,구로구,0,0,0
지하철역,경춘선,강서구,0,0,0
지하철역,경춘선,강남구,0,0,0
지하철역,경춘선,금천구,0,0,0
지하철역,경춘선,영등포구,0,0,0
지하철역,경춘선,동작구,0,0,0
지하철역,경춘선,서초구,0,0,0
지하철역,경춘선,송파구,0,0,0
지하철역,경춘선,강동구,0,0,0
지하철역,공항철도,종로구,0,0,0
