학교종류,학교명,설립,주소,행정시,행정구,행정동,경도,위도
전문대학(3년제),명지전문대학,사립,서울 서대문구 가좌로 134 명지전문대학 ,서울특별시,서대문구,홍은2동,126.9258148,37.58458239
전문대학(3년제),배화여자대학교,사립,서울 종로구 필운대로 1길 34 배화여자대학교,서울특별시,종로구,청운효자동,126.96526340000001,37.57929545
전공대학,백석예술대학교,사립,서울 서초구 방배로9길 23 백석예술대학교,서울특별시,서초구,방배3동,126.9962913,37.48020197
일반대학,삼육대학교,사립,서울시 노원구 화랑로 815(공릉2동 26-21),서울특별시,노원구,공릉2동,127.10542109999999,37.6450008
일반대학,서울과학기술대학교,국립,서울 노원구 공릉로 232 (공릉동 172),서울특별시,노원구,공릉2동,127.08092309999999,37.63380173
교육대학,서울교육대학교,국립,서울 서초구 서초중앙로 96(서초동 1650),서울특별시,서초구,서초1동,127.0151788,37.48876279
일반대학,서울기독대학교,사립,서울 은평구 갈현로 4길 26-2호,서울특별시,은평구,신사1동,126.9121925,37.60075749
일반대학,서울대학교,국립대법인,서울 관악구 관악로 1 서울대학교,서울특별시,관악구,낙성대동,126.9502884,37.45425061
사이버대학(대학),서울디지털대학교,사립,서울 마포구 도화동 560번지,서울특별시,마포구,도화동,126.94783020000001,37.54295661
사이버대학(대학),서울사이버대학교,사립,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,서울특별시,강북구,미아동,127.0275159,37.62979963
일반대학,성균관대학교,사립,서울특별시 종로구 명륜3가동 성균관로 25-2,서울특별시,종로구,종로1.2.3.4가동,126.9959362,37.58687602
일반대학,성신여자대학교,사립,서울특별시 성북구 돈암동 보문로34다길 2,서울특별시,성북구,동선동,127.0211814,37.59324948
일반대학,세종대학교,사립,서울특별시 광진구 군자동 능동로 209,서울특별시,광진구,군자동,127.075194,37.55146347
일반대학,연세대학교,사립,서울특별시 서대문구 신촌동 연세로 50,서울특별시,서대문구,신촌동,126.93962820000002,37.57083118
방송통신대학,한국방송통신대학교,국립,서울특별시 종로구 이화동 대학로 86,서울특별시,종로구,이화동,127.00266090000002,37.57846638
일반대학,한국성서대학교,사립,서울특별시 노원구 상계6.7동 동일로214길 32,서울특별시,노원구,상계6.7동,127.06375249999999,37.64896418
각종대학(대학),한국예술종합학교,특별법국립,서울특별시 성북구 석관동 화랑로32길,서울특별시,성북구,석관동,127.03594650000001,37.60310264
일반대학,한국체육대학교,국립,서울특별시 송파구 방이동 양재대로 1239,서울특별시,송파구,오륜동,127.13137490000001,37.52067604
일반대학,감리교신학대학교,사립,서울특별시 서대문구 냉천동 31,서울특별시,서대문구,천연동,126.9623049,37.56741796
일반대학,건국대학교,사립,서울특별시 광진구 자양동 능동로 120,서울특별시,광진구,화양동,127.0789125,37.54488231
일반대학,경희대학교,사립,서울특별시 동대문구 회기동 경희대로 26,서울특별시,동대문구,회기동,127.05611280000001,37.59379956
일반대학,고려대학교,사립,서울특별시 성북구 안암동 안암로 145,서울특별시,성북구,안암동,127.03268519999999,37.58791907
일반대학,국민대학교,사립,서울특별시 성북구 정릉로 77,서울특별시,성북구,정릉3동,126.9976191,37.61079306
일반대학,동국대학교,사립,서울특별시 중구 필동로 1길30,서울특별시,중구,필동,126.998003,37.55817644
사이버대학(대학),사이버한국외국어대학교,사립,서울특별시 동대문구 이문동 이문로 107,서울특별시,동대문구,이문1동,127.05698600000001,37.5979456
전문대학(3년제),삼육보건대학교,사립,서울특별시 동대문구 휘경동 망우로 82,서울특별시,동대문구,휘경2동,127.06254240000001,37.58972578
일반대학,상명대학교,사립,서울특별시 종로구 홍지동 홍지문2길 20,서울특별시,종로구,홍지동,126.9546615,37.60333982
일반대학,서강대학교,사립,서울특별시 마포구 대흥동 백범로 35,서울특별시,마포구,대흥동,126.9391434,37.55194459
일반대학,서경대학교,사립,서울특별시 성북구 정릉동 서경로 124,서울특별시,성북구,정릉3동,127.0127841,37.61487212
전문대학(3년제),서울여자간호대학교,사립,서울특별시 서대문구 간호대로 38,서울특별시,서대문구,홍제2동,126.9477574,37.59756961
전문대학(2년제),서일대학교,사립,서울특별시 중랑구 용마산로90길 28,서울특별시,중랑구,면목제3.8동,127.0971986,37.58607474
일반대학,성공회대학교,사립,서울특별시 구로구 연동로 320,서울특별시,구로구,오류2동,126.82566090000002,37.48811923
일반대학,그리스도대학교,사립,서울특별시 강서구 까치산로24길 47,서울특별시,강서구,화곡본동,126.85415800000001,37.54868686
일반대학,동덕여자대학교,사립,서울특별시 성북구 화랑로13길 60,서울특별시,성북구,삼선동,127.0440729,37.60670147
