년,인허가일자,상세영업상태명,폐업일자,업태구분명,사업장명,주소,경도,위도
2017,20031016,영업,0,어린이집,청파어린이집,서울특별시 용산구 청파동2가 36-4번지 (지상1층) ,126.9689867,37.54526837
2017,20031016,영업,0,어린이집,후암어린이집,서울특별시 용산구 후암동 160-1번지 ,126.97582790000001,37.54767416
2017,20031016,영업,0,어린이집,원효어린이집,서울특별시 용산구 원효로3가 1-139번지 ,126.9567362,37.53481367
2017,20031016,영업,0,어린이집,사무엘어린이집,서울특별시 용산구 이태원동 181-8번지 사무엘어린이집 ,126.99014650000001,37.53458205
2017,20031016,영업,0,어린이집,상록어린이집,서울특별시 용산구 효창동 5-217번지 ,126.9582899,37.54095425
2017,20031016,영업,0,어린이집,해방어린이집,서울특별시 용산구 용산동2가 31번지 (지상1층) ,126.98517520000001,37.54437068
2017,20031016,영업,0,어린이집,햇빛어린이집,서울특별시 용산구 청파동1가 89-68번지 (지상3층) ,126.9653321,37.54820232
2017,20031016,영업,0,어린이집,동빙고어린이집,서울특별시 용산구 동빙고동 7-40번지 ,126.99399369999999,37.52356626
2017,20031016,영업,0,어린이집,새랑꾸미랑어린이집,서울특별시 용산구 도원동 23번지 삼성래미안아파트단지내 ,126.95529209999998,37.53828581
2017,20031016,영업,0,어린이집,스타터즈어린이집,서울특별시 용산구 이촌동 418,126.96649920000002,37.52117187
2017,20031016,영업,0,어린이집,보광어린이집,서울특별시 용산구 보광동 9-12번지 ,127.0008868,37.52883266
2017,20031016,영업,0,어린이집,남산중앙어린이집,서울특별시 용산구 후암동 358-86번지 (지상1층) ,126.98357920000001,37.5483123
2017,20031016,영업,0,어린이집,이촌어린이집,서울특별시 용산구 이촌동 206-1번지 ,126.95443999999999,37.52691847
2017,20031017,영업,0,어린이집,후암교회부설 두툼돌어린이집,서울특별시 용산구 후암동 238-1번지 1층 ,126.9772003,37.54792703
2017,20031017,영업,0,어린이집,용산어린이집,서울특별시 용산구 한강로2가 187-3번지 ,126.9673876,37.52857098
2017,20031017,영업,0,어린이집,청운어린이집,서울특별시 용산구 청파동1가 89-77번지 ,126.96477409999999,37.54830273
2017,20031017,영업,0,어린이집,만리현어린이집,서울특별시 용산구 효창동 3-6번지 (지상1층) ,126.9621737,37.54806683
2017,20031017,영업,0,어린이집,서계어린이집,서울특별시 용산구 서계동 226-3번지 (지상1층) ,126.96823899999998,37.55353773
2017,20031020,영업,0,어린이집,도원어린이집,서울특별시 용산구 용문동 38-265번지 (지하층) ,126.9585615,37.53824673
2017,20031021,영업,0,어린이집,소월어린이집,서울특별시 용산구 용산동2가 11-3번지 ,126.98581259999999,37.54610802
2017,20031101,영업,0,어린이집,이촌 꿈밭 어린이집,서울특별시 용산구 이촌동 412번지 이촌@ 단지내 1층 ,126.97791310000001,37.52006455
2017,20040227,폐업,20170310,유치원,한신유치원,서울특별시 서초구 잠원동 70-3번지 2층 ,127.0046713,37.509031799999995
2017,20040303,영업,0,어린이집,서소문 삼성어린이집,서울특별시 중구 을지로1가 50번지 235층 ,126.979941,37.56630455
2017,20040317,영업,0,어린이집,창문어린이집,서울특별시 도봉구 창동 663-37번지 ,127.03612120000001,37.64900654
2017,20040317,영업,0,어린이집,방아골어린이집,서울특별시 도봉구 방학동 396-19번지 방아골종합사회복지관 내 ,127.03261299999998,37.66931125
2017,20040317,영업,0,어린이집,도봉2동어린이집,서울특별시 도봉구 도봉동 624-112번지 ,127.04581029999999,37.67368846
2017,20040317,영업,0,어린이집,창3동어린이집,서울특별시 도봉구 창동 산 194-2번지 ,127.04375990000001,37.63902251
2017,20040317,영업,0,어린이집,도봉도선어린이집,서울특별시 도봉구 도봉동 629-8번지 ,127.04912790000002,37.67724602
2017,20040317,영업,0,어린이집,창2동어린이집,서울특별시 도봉구 창동 632-74번지 ,127.03542490000001,37.64125502
2017,20040317,영업,0,어린이집,쌍문1동어린이집,서울특별시 도봉구 쌍문동 348-10번지 ,127.0259517,37.64829017
2017,20040317,영업,0,어린이집,도봉1동어린이집,서울특별시 도봉구 도봉동 577번지 ,127.04284779999999,37.68298815
2017,20040317,영업,0,어린이집,쌍문2동어린이집,서울특별시 도봉구 쌍문동 8-19번지 ,127.03748780000001,37.66138536
2017,20040317,영업,0,어린이집,도봉구청직장어린이집,서울특별시 도봉구 방학동 720번지 도봉구청내 ,127.0470727,37.66869655
2017,20040317,영업,0,어린이집,방학1동어린이집,서울특별시 도봉구 방학동 649-57번지 ,127.0410958,37.66807996
2017,20040317,영업,0,어린이집,원당어린이집,서울특별시 도봉구 방학동 496번지 ,127.0252297,37.65879828
2017,20040317,영업,0,어린이집,방학2동어린이집,서울특별시 도봉구 방학동 668-7번지 ,127.0320523,37.66247681
2017,20040317,영업,0,유치원,서울국악유치원,서울특별시 금천구 시흥동 산 24-17번지 ,126.9065418,37.44590736
2017,20040317,영업,0,어린이집,창5동어린이집,서울특별시 도봉구 창동 291-7번지 ,127.04304479999999,37.65483508
2017,20040318,영업,0,어린이집,응봉어린이집(구립),서울특별시 성동구 응봉동 193-212번지 (지상1층) ,127.03052379999998,37.54892121
2017,20040319,영업,0,어린이집,서원어린이집,서울특별시 도봉구 도봉동 636-9번지 (1층) ,127.0465236,37.66977146
2017,20040323,영업,0,어린이집,상아어린이집,서울특별시 도봉구 창동 296-15번지 대원빌딩2층 ,127.04136129999999,37.65446131
2017,20040323,영업,0,어린이집,푸른나무어린이집,서울특별시 도봉구 방학동 654-24번지 ,127.0429547,37.66825958
2017,20040323,영업,0,어린이집,다온어린이집,서울특별시 도봉구 창동 366번지 서울가든(아)상가동 ,127.04451409999999,37.64781908
2017,20040323,영업,0,어린이집,해맑은예체능어린이집,서울특별시 도봉구 쌍문동 493-8번지 ,127.0152524,37.65658216
2017,20040325,영업,0,어린이집,엘림어린이집,서울특별시 도봉구 방학동 424번지 ,127.02707340000002,37.66421031
2017,20040325,영업,0,어린이집,꿈마당어린이집,서울특별시 도봉구 도봉동 567-2번지 ,127.0438166,37.68413699
2017,20040329,영업,0,어린이집,신창어린이집,서울특별시 도봉구 창동 448-6번지 ,127.0412758,37.64011792
2017,20040407,영업,0,어린이집,청아어린이집,서울특별시 도봉구 창동 808번지 동아청솔(아) 단지내 ,127.0482769,37.6572411
2017,20040407,영업,0,어린이집,하늘빛어린이집,서울특별시 도봉구 도봉동 596-31번지 ,127.0440277,37.67776016
2017,20040407,영업,0,어린이집,가나어린이집,서울특별시 도봉구 쌍문동 315-180번지 ,127.0304442,37.64889869
2017,20040409,영업,0,어린이집,서초어린이집,서울특별시 서초구 방배동 1027-6번지 (지하1층) ,127.0002358,37.47466539
2017,20040412,영업,0,어린이집,구립서초한별어린이집,서울특별시 서초구 양재동 249-12번지 지하 1 층 ,127.0396216,37.47330173
2017,20040412,영업,0,어린이집,잠원꿈밭어린이집,서울특별시 서초구 잠원동 24-11번지 (지하1층) ,127.0165653,37.51374942
2017,20040413,영업,0,어린이집,까리따스어린이집,서울특별시 서초구 방배동 3274번지 1층 ,126.98418810000001,37.47475294
2017,20040413,영업,0,어린이집,신애어린이집,서울특별시 서초구 우면동 68번지 1층 ,127.02658600000001,37.47187546
2017,20040414,영업,0,어린이집,바로미어린이집,서울특별시 서초구 서초동 1701-1번지 서울법원종합청사 별관 지상1층 ,127.01138610000001,37.49700124
2017,20040416,영업,0,어린이집,반포청사어린이집,서울특별시 서초구 반포동 520-3번지 (지상1층) ,127.0029632,37.49935887
2017,20040420,영업,0,어린이집,반포어린이집,서울특별시 서초구 반포동 107-87번지 지하1층 ,126.9967186,37.49703067
2017,20040420,영업,0,어린이집,국회사무처국회어린이집,서울특별시 영등포구 여의도동 1번지 ,126.9153568,37.53104751
2017,20040421,영업,0,어린이집,남태령어린이집,서울특별시 서초구 방배동 2877번지 지하1층 ,126.98877240000002,37.46587264
2017,20040422,영업,0,유치원,일민유치원,서울특별시 용산구 산천동 193번지 일민유치원 ,126.9505686,37.53499153
2017,20040423,영업,0,유치원,해뜨는유치원,서울특별시 성북구 정릉동 181-22번지 ,127.01571670000001,37.60485595
2017,20040424,영업,0,어린이집,영재어린이집,서울특별시 서초구 양재동 345-4번지 3층 ,127.04369140000001,37.46840192
2017,20040430,영업,0,유치원,원유치원,서울특별시 용산구 이촌동 402-0번지 ,126.9774437,37.51922341
2017,20040430,영업,0,유치원,도원유치원,서울특별시 용산구 도원동 4-3번지 ,126.9578176,37.53883402
2017,20040501,영업,0,유치원,수암유치원,서울특별시 중구 신당동 844번지 남산타운단지 24동 앞 ,127.0092554,37.54900366
2017,20040504,영업,0,어린이집,서초성모어린이집,서울특별시 서초구 반포동 54-9번지 (지하1층) ,127.009497,37.501084000000006
2017,20040506,영업,0,어린이집,구립서초사랑어린이집,서울특별시 서초구 잠원동 49-25번지 (지하1층) ,127.01479350000001,37.52056503
2017,20040507,영업,0,어린이집,상명어린이집,서울특별시 서초구 서초동 1491-12번지 지하1층 ,127.00307420000001,37.48345244
2017,20040507,영업,0,어린이집,행복한어린이집,서울특별시 서초구 방배동 789-22번지 (지상1층) ,126.9858966,37.49202405
2017,20040512,영업,0,유치원,가명유치원,서울특별시 중구 중림동 149-2,126.967223,37.559064500000005
2017,20040512,영업,0,유치원,덕수유치원,서울특별시 성북구 성북동 243-1번지 ,126.9952418,37.59394019
2017,20040513,영업,0,유치원,약수유치원,서울특별시 중구 신당동 842번지 ,127.0146848,37.55475857
2017,20040513,영업,0,어린이집,한티어린이집,서울특별시 강남구 대치동 994-17번지 대치문화복지회관3층 ,127.06693290000001,37.49996566
2017,20040513,영업,0,어린이집,서초구립사랑의어린이집,서울특별시 서초구 잠원동 60-5번지 (지상1층) ,127.0109646,37.50993928
2017,20040524,영업,0,어린이집,구립 샛별어린이집,서울특별시 구로구 구로동 549-8번지 ,126.8850775,37.49993664
2017,20040601,영업,0,어린이집,새길어린이집,서울특별시 영등포구 신길동 428-2번지 ,126.90746229999999,37.49965433
2017,20040601,영업,0,유치원,신일유치원,서울특별시 중구 신당동 369-51번지 ,127.01138490000001,37.55526886
2017,20040604,영업,0,어린이집,구립역촌2동어린이집,서울특별시 은평구 역촌동 66-11,126.91392069999999,37.60264219
2017,20040604,영업,0,어린이집,구립신사어린이집,서울특별시 은평구 신사동 208-9번지 ,126.90743590000001,37.59521604
2017,20040604,영업,0,어린이집,구립역촌어린이집,서울특별시 은평구 역촌동 26-45,126.9209013,37.60477391
2017,20040604,영업,0,어린이집,사회복지법인 녹원어린이집,서울특별시 은평구 대조동 88-371번지 ,126.9243362,37.60987541
2017,20040604,영업,0,어린이집,성아어린이집,서울특별시 은평구 응암동 348-36번지 ,126.9194768,37.59096518
2017,20040609,영업,0,어린이집,구립은아새어린이집,서울특별시 은평구 응암동 123-19번지 ,126.91600220000001,37.59500468
2017,20040609,영업,0,어린이집,구립구산어린이집,서울특별시 은평구 구산동 340-6번지 ,126.9079061,37.61480795
2017,20040609,영업,0,어린이집,성모자애어린이집,서울특별시 은평구 불광동 301-80번지 ,126.92378390000002,37.61772045
2017,20040609,영업,0,어린이집,구립불광어린이집,서울특별시 은평구 불광동 205-2번지 ,126.92939879999999,37.62170459
2017,20040609,영업,0,어린이집,구립개나리어린이집,서울특별시 은평구 불광동 444-5번지 ,126.9265578,37.62534956
2017,20040611,영업,0,어린이집,구립은평어린이집,서울특별시 은평구 증산동 92-143번지 ,126.90621999999999,37.58650892
2017,20040611,영업,0,어린이집,큰나무어린이집,서울특별시 구로구 고척동 296번지 대우(A)단지내 ,126.85545259999998,37.50301311
2017,20040611,영업,0,어린이집,영산어린이집,서울특별시 은평구 불광동 279-2번지 ,126.9316817,37.61290757
2017,20040611,영업,0,어린이집,은현어린이집,서울특별시 은평구 갈현동 9-25번지 ,126.9162929,37.62546678
2017,20040614,영업,0,유치원,신촌유치원,서울특별시 서대문구 창천동 113-10번지 ,126.93155279999999,37.55735925
2017,20040615,영업,0,유치원,한일유치원,서울특별시 중구 신당동 67-81번지 ,127.0199029,37.56310685
2017,20040616,영업,0,유치원,학교법인 충암유치원,서울특별시 서대문구 남가좌동 2-3번지 충암초등학교 내 ,126.9223544,37.5847388
2017,20040619,영업,0,어린이집,연꽃어린이집,서울특별시 구로구 구로동 777-22번지 연꽃어린이집 ,126.89029950000001,37.48741224
2017,20040619,영업,0,어린이집,지암어린이집,서울특별시 구로구 개봉동 354-6번지 (354-21) ,126.8528365,37.48722443
2017,20040619,영업,0,어린이집,고척어린이집,서울특별시 구로구 고척동 141-1번지 ,126.86054569999999,37.50253503
2017,20040619,영업,0,어린이집,항동어린이집,서울특별시 구로구 항동 12-19번지 항동어린이집 ,126.82344109999998,37.48535613
2017,20040619,영업,0,어린이집,구민어린이집,서울특별시 구로구 구로동 90-1번지 ,126.8915828,37.49475215
2017,20040619,영업,0,어린이집,반야어린이집,서울특별시 구로구 신도림동 324-13번지 ,126.88378689999999,37.51348334
2017,20040619,영업,0,어린이집,온수어린이집,서울특별시 구로구 온수동 120-11번지 ,126.8187121,37.49363213
2017,20040619,폐업,20170728,어린이집,밝은어린이집,서울특별시 구로구 가리봉동 2-10번지 ,126.88249240000002,37.48637371
2017,20040619,영업,0,어린이집,능곡어린이집,서울특별시 구로구 고척동 316번지 능곡어린이집 ,126.8544385,37.50318116
2017,20040619,영업,0,어린이집,성은어린이집,서울특별시 구로구 구로동 705-7번지 ,126.8832581,37.49069889
2017,20040619,영업,0,어린이집,만나어린이집,서울특별시 구로구 개봉동 111-7번지 ,126.84622,37.50513106
2017,20040619,영업,0,어린이집,명화어린이집,서울특별시 구로구 개봉동 303-25번지 ,126.85508759999999,37.49345541
2017,20040619,영업,0,어린이집,남산어린이집,서울특별시 구로구 고척동 52-316번지 ,126.8648771,37.5028507
2017,20040619,영업,0,어린이집,다향어린이집,서울특별시 구로구 오류동 213-10번지 ,126.83734009999998,37.48780622
2017,20040619,영업,0,어린이집,햇님어린이집,서울특별시 구로구 구로동 188-5번지 ,126.8972828,37.48470577
2017,20040619,영업,0,어린이집,섬기는어린이집,서울특별시 구로구 가리봉동 111-1번지 ,126.88964250000001,37.48286743
2017,20040619,영업,0,어린이집,덕성어린이집,서울특별시 구로구 고척동 166-3번지 ,126.85416210000001,37.50670215
2017,20040623,영업,0,어린이집,강남구립보람어린이집,서울특별시 강남구 대치동 601-0번지 지상1층 ,127.0613382,37.49435896
2017,20040623,영업,0,어린이집,역삼가애어린이집,서울특별시 강남구 역삼동 783-19번지 ,127.0447325,37.494857399999994
2017,20040623,영업,0,어린이집,태화어린이집,서울특별시 강남구 수서동 741-0번지 지상1층 ,127.0933008,37.4848386
2017,20040624,영업,0,어린이집,준현어린이집,서울특별시 강남구 청담동 19-16번지 지상2층 ,127.0433368,37.52259823
2017,20040624,영업,0,어린이집,동산어린이집,서울특별시 강남구 개포동 1262-9번지 지하1층 ,127.05025479999999,37.47946796
2017,20040624,영업,0,어린이집,구립대치어린이집,서울특별시 강남구 대치동 985-1번지 ,127.065498,37.50181209
2017,20040624,영업,0,어린이집,강남구립대청어린이집,서울특별시 강남구 일원동 675-1번지 지상1층 ,127.0835024,37.490862299999996
2017,20040625,영업,0,어린이집,논현어린이집,서울특별시 강남구 논현동 137-16번지 지하1층 ,127.0268596,37.51103087
2017,20040625,영업,0,어린이집,구립푸른어린이집,서울특별시 강남구 자곡동 440-33번지 지상1층 ,127.0998061,37.47355367
2017,20040625,영업,0,어린이집,해피어린이집,서울특별시 강남구 수서동 746-0번지 까치마을아파트관리동지상1층 ,127.0875946,37.48472513
2017,20040628,영업,0,어린이집,삼성어린이집,서울특별시 강남구 삼성동 89-2번지 지상1층 ,127.0596679,37.51725407
2017,20040628,영업,0,어린이집,예지어린이집,서울특별시 강남구 개포동 1164-15번지 대경빌딩 ,127.0533618,37.47346578
2017,20040628,영업,0,어린이집,구립일원어린이집,서울특별시 강남구 일원동 730-0번지 지상3층 ,127.0779186,37.48408336
2017,20040628,영업,0,어린이집,구립역삼어린이집,서울특별시 강남구 역삼동 743-7번지 지상2층 ,127.0356512,37.4971128
2017,20040628,영업,0,어린이집,구립자양2동어린이집,서울특별시 광진구 자양동 669-2번지 ,127.08448030000001,37.52884285
2017,20040628,영업,0,어린이집,느티나무어린이집,서울특별시 광진구 화양동 478-3번지 ,127.0780673,37.5454067
2017,20040628,영업,0,어린이집,강남구민회관어린이집,서울특별시 강남구 대치동 509-2번지 지상1층 ,127.06412590000001,37.49384073
2017,20040628,영업,0,어린이집,미담어린이집,서울특별시 강남구 일원동 717번지 삼성생명 일원동 빌딩 ,127.0844278,37.48399227
2017,20040628,영업,0,어린이집,청마을어린이집,서울특별시 강남구 일원동 711-0번지 지상1층 ,127.0902596,37.49262533
2017,20040628,영업,0,어린이집,동서울어린이집,서울특별시 광진구 구의동 204-22번지 ,127.0914384,37.54315955
2017,20040629,영업,0,어린이집,다솔어린이집,서울특별시 강남구 개포동 1198-7번지 ,127.04906270000001,37.47534576
