년,설립일자,학교명,소재지지번주소,소재지도로명주소,위도,경도
2020,18850509,경신고등학교,서울특별시 종로구 혜화동 5-119,서울특별시 종로구 혜화로 74,37.5922258,126.999529
2020,18981002,배화여자고등학교,서울특별시 종로구 누하동 149,서울특별시 종로구 필운대로1길 34,37.5784966,126.9668658
2020,19451010,덕성여자고등학교,서울특별시 종로구 안국동 37-1,서울특별시 종로구 율곡로3길 50,37.5777613,126.9835578
2020,19670307,상명대학교사범대학부속여자고등학교,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20,37.6041097,126.9551587
2020,19470901,장충고등학교,서울특별시 중구 신당동 432-460,서울특별시 중구 동호로15길 93,37.5535146,127.0064145
2020,19460909,용산고등학교,서울특별시 용산구 용산동2가 1,서울특별시 용산구 두텁바위로 60,37.54586550000001,126.98032849999998
2020,19070515,오산고등학교,서울특별시 용산구 보광동 168-73,서울특별시 용산구 보광로7길 17,37.5237818,127.0008688
2020,19551231,배문고등학교,서울특별시 용산구 서계동 259-3,서울특별시 용산구 효창원로 258,37.54999779999999,126.96390490000002
2020,19071010,보성여자고등학교,서울특별시 용산구 용산동2가 1-1123,서울특별시 용산구 신흥로3가길 66,37.54308020000001,126.9842996
2020,19530608,신광여자고등학교,서울특별시 용산구 청파동3가 100,서울특별시 용산구 청파로 263,37.5429007,126.9694483
2020,19600401,성심여자고등학교,서울특별시 용산구 원효로4가 1-1,서울특별시 용산구 원효로19길 49,37.53421029999999,126.9545942
2020,19400420,무학여자고등학교,서울특별시 성동구 행당동 322-1,서울특별시 성동구 고산자로 197,37.556768,127.0335995
2020,20090301,성수고등학교,서울특별시 성동구 성수동1가 685-143,서울특별시 성동구 서울숲길 18,37.5473422,127.038253
2020,19860513,광남고등학교,서울특별시 광진구 광장동 554-11,서울특별시 광진구 아차산로70길 17-16,37.5415134,127.1012125
2020,19840514,자양고등학교,서울특별시 광진구 자양동 524-11,서울특별시 광진구 뚝섬로37길 28,37.53607750000001,127.0733399875
2020,19770520,대원고등학교,서울특별시 광진구 중곡동 176-124,서울특별시 광진구 용마산로22길 26,37.5624945,127.089438
2020,19300620,동국대학교사범대학부속여자고등학교,서울특별시 광진구 구의동 238-1,서울특별시 광진구 광나루로36길 47,37.54258400000001,127.0874001
2020,19830520,대원여자고등학교,서울특별시 광진구 중곡동 176-124,서울특별시 광진구 용마산로22길 26,37.56249620000001,127.08940520000002
2020,19800305,건국대학교사범대학부속고등학교,서울특별시 광진구 화양동 528,서울특별시 광진구 능동로 120,37.5391833,127.07470990000002
2020,20120501,휘봉고등학교,서울특별시 동대문구 휘경동 43-138,서울특별시 동대문구 한천로 290,37.5864773,127.0688515
2020,19470624,동국대학교사범대학부속고등학교,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 201,37.5780484,127.0751336
2020,20080301,해성여자고등학교,서울특별시 동대문구 전농동 90-3,서울특별시 동대문구 전농로20길 31,37.5818716,127.056978
2020,19630301,경희여자고등학교,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
2020,19750303,휘경여자고등학교,서울특별시 동대문구 휘경동 43-7,서울특별시 동대문구 한천로 247,37.5839456,127.0674046
2020,19850507,태릉고등학교,서울특별시 중랑구 묵동 6,서울특별시 중랑구 신내로23길 36,37.6191626,127.0855595
2020,20040302,신현고등학교,서울특별시 중랑구 상봉동 482,서울특별시 중랑구 봉화산로 174,37.6052493,127.0929500477
2020,19880302,중화고등학교,서울특별시 중랑구 중화동 21-4,서울특별시 중랑구 봉화산로27길 62,37.604813,127.0836541
2020,19651230,송곡고등학교,서울특별시 중랑구 망우동 239-1,서울특별시 중랑구 양원역로 50,37.605847,127.1064637
2020,19730524,송곡여자고등학교,서울특별시 중랑구 망우동 252-1,서울특별시 중랑구 양원역로 67,37.6066879,127.1051467
2020,19730305,혜원여자고등학교,서울특별시 중랑구 망우동 519,서울특별시 중랑구 봉우재로58길 39,37.5932809,127.0970432
2020,19460902,서울대학교사범대학부설고등학교,서울특별시 성북구 종암동 7-10,서울특별시 성북구 월곡로 6,37.5947238,127.0381187
2020,19821230,석관고등학교,서울특별시 성북구 석관동 77-1,서울특별시 성북구 한천로70길 30,37.60958820000001,127.0667165
2020,19540615,홍익대학교사범대학부속고등학교,서울특별시 성북구 성북동 151,서울특별시 성북구 성북로14가길 23,37.5936667,127.00280359999998
2020,19680311,고려대학교사범대학부속고등학교,서울특별시 성북구 정릉동 660,서울특별시 성북구 정릉로 161,37.6098005,127.001572
2020,19451005,한성여자고등학교,서울특별시 성북구 삼선동2가 392-2,서울특별시 성북구 삼선교로16길 117,37.5830633,127.0117841
2020,19360428,성신여자고등학교,서울특별시 성북구 돈암동 산11-269,서울특별시 성북구 동소문로26가길 80,37.5942881,127.0224064
2020,19660305,혜화여자고등학교,서울특별시 강북구 수유동 468-43,서울특별시 강북구 인수봉로 127,37.6313093,127.0132139
2020,20110301,삼각산고등학교,서울특별시 강북구 미아동 812-4,서울특별시 강북구 삼양로19길 40,37.6162871,127.02013329999998
2020,19750301,창문여자고등학교,서울특별시 강북구 미아동 8-16,서울특별시 강북구 월계로 61,37.6134973,127.0363372
2020,19730302,영훈고등학교,서울특별시 강북구 미아동 471-2,서울특별시 강북구 도봉로13가길 19,37.61468170000001,127.0280938
2020,20030303,누원고등학교,서울특별시 도봉구 도봉동 646,서울특별시 도봉구 마들로 849,37.6855674,127.049933
2020,20060301,효문고등학교,서울특별시 도봉구 쌍문동 468,서울특별시 도봉구 우이천로 432,37.652698,127.0183988
2020,20040301,자운고등학교,서울특별시 도봉구 창동 1,서울특별시 도봉구 노해로69길 150,37.659020700000006,127.0506763
2020,20020301,창동고등학교,서울특별시 도봉구 창동 694-10,서울특별시 도봉구 노해로62길 7,37.6510352,127.0388183
2020,19760305,정의여자고등학교,서울특별시 도봉구 쌍문동 150-1,서울특별시 도봉구 노해로49길 69,37.6533545,127.0324282
2020,19880428,상계고등학교,서울특별시 노원구 상계동 738,서울특별시 노원구 노해로 432,37.652726,127.0554547
2020,20050302,불암고등학교,서울특별시 노원구 중계동 364-10,서울특별시 노원구 중계로 155,37.6491583,127.0803044
2020,19890427,노원고등학교,서울특별시 노원구 상계동 664,서울특별시 노원구 노원로 586,37.6618014,127.0540198
2020,20050301,월계고등학교,서울특별시 노원구 월계동 778,서울특별시 노원구 초안산로5길 66,37.6317325,127.0487142
2020,19890301,청원고등학교,서울특별시 노원구 상계동 641,서울특별시 노원구 한글비석로 506,37.6652533,127.0625319
2020,19560305,서라벌고등학교,서울특별시 노원구 중계동 313,서울특별시 노원구 한글비석로5길 18,37.64525820000001,127.0758403
2020,19851024,대진고등학교,서울특별시 노원구 하계동 55-5,서울특별시 노원구 공릉로62가길 47,37.6378051,127.076091
2020,19780303,재현고등학교,서울특별시 노원구 중계동 175,서울특별시 노원구 덕릉로82길 64,37.66128870000001,127.080798
2020,20010510,청원여자고등학교,서울특별시 노원구 상계동 641,서울특별시 노원구 한글비석로 506,37.6652533,127.0625319
2020,19870508,영신여자고등학교,서울특별시 노원구 중계동 118,서울특별시 노원구 중계로16나길 13,37.6524538,127.0832893
2020,19831010,혜성여자고등학교,서울특별시 노원구 하계동 산16-47,서울특별시 노원구 노원로16길 2,37.6405492,127.0736193
2020,19870422,용화여자고등학교,서울특별시 노원구 상계동 696,서울특별시 노원구 동일로 1461,37.6591325,127.0582791
2020,19880212,대진여자고등학교,서울특별시 노원구 중계동 514-2,서울특별시 노원구 공릉로 438,37.6461736,127.0671978
2020,19491113,한국삼육고등학교,서울특별시 노원구 공릉동 26-38,서울특별시 노원구 화랑로 815,37.6433583,127.1088514
2020,19831002,염광고등학교,서울특별시 노원구 월계동 820,서울특별시 노원구 월계로45가길 9,37.63025820000001,127.0492435
2020,19370517,상명고등학교,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,37.649548,127.068044
2020,20110301,신도고등학교,서울특별시 은평구 진관동 242-38,서울특별시 은평구 통일로 961,37.6291341,126.9187475
2020,20090301,진관고등학교,서울특별시 은평구 진관동 17,서울특별시 은평구 진관4로 26,37.6433374,126.9243837
2020,20090301,은평고등학교,서울특별시 은평구 구산동 164,서울특별시 은평구 갈현로15길 51,37.6091514,126.9058084
2020,19690302,충암고등학교,서울특별시 은평구 응암동 272-113,서울특별시 은평구 가좌로5길 5,37.5846417,126.9218074
2020,18971010,숭실고등학교,서울특별시 은평구 신사동 300-88,서울특별시 은평구 은평터널로7길 6,37.5928732,126.9024048
2020,19210603,동명여자고등학교,서울특별시 은평구 대조동 91-20,서울특별시 은평구 통일로 793,37.6144774,126.9250428
2020,19711227,선일여자고등학교,서울특별시 은평구 갈현동 240-1,서울특별시 은평구 갈현로29길 27,37.6197164,126.9127997
2020,19650926,예일여자고등학교,서울특별시 은평구 구산동 8-3,서울특별시 은평구 연서로 117,37.6096421,126.9160959
2020,19500522,선정고등학교,서울특별시 은평구 갈현동 227-5,서울특별시 은평구 서오릉로20길 19,37.6187044,126.9090313
2020,19531010,인창고등학교,서울특별시 서대문구 충정로2가 70,서울특별시 서대문구 경기대로 65,37.5648835,126.9640244
2020,19280925,한성고등학교,서울특별시 서대문구 북아현동 170-1,서울특별시 서대문구 북아현로1길 24,37.5590958,126.9544615
2020,19401010,중앙여자고등학교,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,37.5631498,126.95320929999998
2020,19480412,명지고등학교,서울특별시 서대문구 홍은동 361-30,서울특별시 서대문구 명지2길 56,37.58491179999999,126.9270922
2020,18940406,광성고등학교,서울특별시 마포구 신수동 91-20,서울특별시 마포구 신수로8길 20,37.5486969,126.9359678
2020,19671023,경성고등학교,서울특별시 마포구 연남동 369-1,서울특별시 마포구 성미산로 111,37.5635098,126.9191674
2020,19680312,홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성산동 산11-60,서울특별시 마포구 성미산로 51,37.5596457,126.9132093
2020,19810503,금옥여자고등학교,서울특별시 양천구 신정동 729,서울특별시 양천구 신정로 213,37.5109638,126.8439724
2020,19870528,신목고등학교,서울특별시 양천구 신정동 330-3,서울특별시 양천구 안양천로 739,37.5129093,126.8736074
2020,20060301,신서고등학교,서울특별시 양천구 신정동 984-1,서울특별시 양천구 은행정로 42,37.5239153,126.86020829999998
2020,19831101,강서고등학교,서울특별시 양천구 목동 735,서울특별시 양천구 목동중앙남로 27,37.5363159,126.86576999370001
2020,19850201,광영고등학교,서울특별시 양천구 신월동 43-3,서울특별시 양천구 남부순환로30길 17,37.537197,126.8232754
2020,19840206,양천고등학교,서울특별시 양천구 신정동 산109-1,서울특별시 양천구 신정로14길 13,37.5083201,126.84520390000002
2020,19060421,진명여자고등학교,서울특별시 양천구 목동 927-6,서울특별시 양천구 목동로 170,37.524048,126.8658553
2020,19900914,목동고등학교,서울특별시 양천구 신정동 325-8,서울특별시 양천구 목동동로2길 68,37.5092145,126.860143
2020,19850306,광영여자고등학교,서울특별시 양천구 신월동 43-3,서울특별시 양천구 남부순환로30길 17,37.537197,126.82324640000002
2020,19841217,백암고등학교,서울특별시 양천구 신정동 733,서울특별시 양천구 신정로13길 16,37.51090170000001,126.8433301
2020,19830412,공항고등학교,서울특별시 강서구 방화동 648-1,서울특별시 강서구 개화동로 495,37.56929279999999,126.8063246
2020,20090504,수명고등학교,서울특별시 강서구 내발산동 758,서울특별시 강서구 수명로2길 15,37.5497628,126.8247667
2020,20060301,세현고등학교,서울특별시 강서구 가양동 1491,서울특별시 강서구 허준로 227,37.5604314,126.8636216
2020,19720926,대일고등학교,서울특별시 강서구 등촌동 산88,서울특별시 강서구 등촌로 105,37.5394883,126.8634018
2020,19530601,마포고등학교,서울특별시 강서구 등촌동 82-1,서울특별시 강서구 화곡로 403,37.5599899,126.8531328
2020,19780130,화곡고등학교,서울특별시 강서구 내발산동 산48-3,서울특별시 강서구 강서로45길 69,37.54793460000001,126.8315381
2020,19841015,명덕고등학교,서울특별시 강서구 내발산동 169-1,서울특별시 강서구 강서로47길 34-10,37.5532299,126.83481709999998
2020,19530519,동양고등학교,서울특별시 강서구 가양동 1464,서울특별시 강서구 허준로 50,37.569021,126.8470796
2020,19750515,영일고등학교,서울특별시 강서구 등촌동 525,서울특별시 강서구 등촌로51가길 26,37.5472858,126.8620613
2020,19940302,경복여자고등학교,서울특별시 강서구 등촌동 131,서울특별시 강서구 화곡로63길 40,37.5578208,126.8505974
2020,19790429,덕원여자고등학교,서울특별시 강서구 내발산동 산59-2,서울특별시 강서구 강서로45길 91-44,37.5486229,126.8290243
2020,19840305,명덕여자고등학교,서울특별시 강서구 내발산동 169-1,서울특별시 강서구 강서로47길 34-10,37.5532299,126.83481709999998
2020,19850311,한서고등학교,서울특별시 강서구 방화동 478-34,서울특별시 강서구 양천로11길 47,37.57479179999999,126.8081443
2020,19870119,한광고등학교,서울특별시 강서구 화곡동 488-2,서울특별시 강서구 등촌로13길 110,37.538844,126.857922
2020,20020516,경인고등학교,서울특별시 구로구 고척동 66-28,서울특별시 구로구 경인로46길 31,37.4959939,126.86543059999998
2020,19810406,구로고등학교,서울특별시 구로구 구로동 105-1,서울특별시 구로구 가마산로27길 45,37.4988415,126.89030929999998
2020,19900302,구일고등학교,서울특별시 구로구 구로동 685-194,서울특별시 구로구 구일로 90-51,37.4935064,126.87461709999998
2020,20090301,신도림고등학교,서울특별시 구로구 신도림동 270-2,서울특별시 구로구 경인로67길 159,37.51406420000001,126.8820842
2020,19991127,오류고등학교,서울특별시 구로구 궁동 110-1,서울특별시 구로구 오리로21길 2,37.500089,126.8273934
2020,20020302,독산고등학교,서울특별시 금천구 독산동 907-34,서울특별시 금천구 문성로 64,37.4762184,126.9109732
2020,19750304,문일고등학교,서울특별시 금천구 시흥동 559-1,서울특별시 금천구 시흥대로47길 45,37.4503313,126.8985127
2020,19730303,동일여자고등학교,서울특별시 금천구 시흥동 산100-4,서울특별시 금천구 탑골로10길 45,37.4516719,126.9168874
2020,19730303,여의도고등학교,서울특별시 영등포구 여의도동 30-1,서울특별시 영등포구 국제금융로7길 37,37.5250501,126.9342187
2020,19530331,영등포여자고등학교,서울특별시 영등포구 신길동 184-3,서울특별시 영등포구 영등포로62길 13,37.5153902,126.9153554
2020,19840301,여의도여자고등학교,서울특별시 영등포구 여의도동 40-2,서울특별시 영등포구 국제금융로7가길 13,37.5228882,126.9350894
2020,19740301,관악고등학교,서울특별시 영등포구 양평동2가 12-1,서울특별시 영등포구 영등포로6길 26,37.521792,126.8829505
2020,19900303,영신고등학교,서울특별시 영등포구 신길동 4656-2,서울특별시 영등포구 대방천로14길 18,37.4981011,126.9097387
2020,20050526,선유고등학교,서울특별시 영등포구 양평동4가 10,서울특별시 영등포구 선유로 227,37.5339019,126.8948515
2020,19590407,영등포고등학교,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 5,37.5090558,126.9347349
2020,19460610,수도여자고등학교,서울특별시 동작구 신대방동 470-13,서울특별시 동작구 여의대방로10길 73,37.49279979999999,126.914906
2020,19920302,동작고등학교,서울특별시 동작구 사당동 236-23,서울특별시 동작구 솔밭로 51,37.482600700000006,126.965086
2020,19380425,성남고등학교,서울특별시 동작구 대방동 375-1,서울특별시 동작구 대방동길 74,37.50528120000001,126.9266132
2020,19031031,숭의여자고등학교,서울특별시 동작구 대방동 20-114,서울특별시 동작구 여의대방로36길 79,37.5073623,126.9292442
2020,20120301,구암고등학교,서울특별시 관악구 봉천동 1712-25,서울특별시 관악구 성현로 57,37.4924413,126.9496259
2020,19890301,신림고등학교,서울특별시 관악구 신림동 1566-42,서울특별시 관악구 문성로 119,37.4792105,126.9169655
2020,19850302,인헌고등학교,서울특별시 관악구 봉천동 174-5,서울특별시 관악구 인헌9길 74,37.472309,126.9704855
2020,19860112,삼성고등학교,서울특별시 관악구 신림동 222,서울특별시 관악구 신림로 41,37.4691385,126.9436438
2020,19730302,남강고등학교,서울특별시 관악구 신림동 627-1,서울특별시 관악구 난곡로34길 80,37.4713732,126.92461609999998
2020,19820304,성보고등학교,서울특별시 관악구 신림동 1690,서울특별시 관악구 남부순환로156길 39,37.4807269,126.9209571
2020,19911107,서울문영여자고등학교,서울특별시 관악구 봉천동 1695,서울특별시 관악구 관악로 85,37.4729044,126.9509187
2020,19720525,서울미술고등학교,서울특별시 관악구 봉천동 1690-133,서울특별시 관악구 남부순환로247길 26,37.4766977,126.9667484
2020,19870302,광신고등학교,서울특별시 관악구 신림동 산87-6,서울특별시 관악구 광신길 141,37.4644759,126.9259388
2020,19590409,영락고등학교,서울특별시 관악구 봉천동 1558-1,서울특별시 관악구 청룡16길 25,37.4764515,126.9444633
2020,19460201,서울고등학교,서울특별시 서초구 서초동 1526-1,서울특별시 서초구 효령로 197,37.4842924,127.0049025
2020,19840301,반포고등학교,서울특별시 서초구 반포동 30-19,서울특별시 서초구 고무래로 71,37.5027044,127.0165603
2020,19901107,양재고등학교,서울특별시 서초구 서초동 1376-4,서울특별시 서초구 남부순환로346길 9,37.4824213,127.0320783
2020,19840418,서초고등학교,서울특별시 서초구 서초동 1504,서울특별시 서초구 반포대로27길 29,37.489612,127.0053778
2020,19860430,언남고등학교,서울특별시 서초구 양재동 309,서울특별시 서초구 동산로13길 35,37.4723301,127.0430034
2020,19730301,상문고등학교,서울특별시 서초구 방배동 1000-2,서울특별시 서초구 명달로 45,37.479755,127.0039164
2020,19730523,서문여자고등학교,서울특별시 서초구 방배동 1514,서울특별시 서초구 동광로12길 84,37.4889191,126.9845452
2020,19100428,동덕여자고등학교,서울특별시 서초구 방배동 산82,서울특별시 서초구 효령로2길 123-5,37.4758367,126.99199579999998
2020,19001001,경기고등학교,서울특별시 강남구 삼성동 74-4,서울특별시 강남구 영동대로 643,37.517566,127.0560739
2020,19080401,경기여자고등학교,서울특별시 강남구 개포동 152,서울특별시 강남구 삼성로 29,37.4869162,127.0654539
2020,19870301,개포고등학교,서울특별시 강남구 개포동 173,서울특별시 강남구 개포로 402,37.4849529,127.0594054
2020,19870506,압구정고등학교,서울특별시 강남구 압구정동 470,서울특별시 강남구 압구정로39길 20,37.531133,127.0327101
2020,19900303,청담고등학교,서울특별시 강남구 압구정동 526,서울특별시 강남구 압구정로 419,37.52800120000001,127.0437006
2020,19730603,영동고등학교,서울특별시 강남구 청담동 23-4,서울특별시 강남구 선릉로 742,37.5213878,127.0437374
2020,19940301,중산고등학교,서울특별시 강남구 일원동 714,서울특별시 강남구 일원로14길 22,37.4857421,127.0814271
2020,19831226,단국대학교사범대학부속고등학교,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21,37.4955055,127.0567133
2020,19060522,숙명여자고등학교,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,37.4914745,127.0526124
2020,19461015,은광여자고등학교,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36,37.4883779,127.0352333
2020,19761228,진선여자고등학교,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,37.5023028,127.0482862
2020,19581228,서울세종고등학교,서울특별시 강남구 수서동 711,서울특별시 강남구 광평로51길 36,37.4903891,127.1027988
2020,19340415,중앙대학교사범대학부속고등학교,서울특별시 강남구 도곡동 산21,서울특별시 강남구 선릉로 207,37.49190720000001,127.0521106
2020,20120506,잠일고등학교,서울특별시 송파구 잠실동 19-2,서울특별시 송파구 백제고분로 21,37.5145195,127.0825533
2020,19830404,잠실고등학교,서울특별시 송파구 신천동 17-1,서울특별시 송파구 올림픽로33길 71,37.5229301,127.1065132
2020,19410402,창덕여자고등학교,서울특별시 송파구 방이동 89-6,서울특별시 송파구 양재대로 1240,37.5162418,127.1402751
2020,20031001,방산고등학교,서울특별시 송파구 방이동 220-5,서울특별시 송파구 오금로27길 18,37.5083132,127.1204675
2020,20080301,문정고등학교,서울특별시 송파구 문정동 90,서울특별시 송파구 송이로34길 62,37.4851797,127.1266941
2020,19890301,가락고등학교,서울특별시 송파구 송파동 172,서울특별시 송파구 송이로 42,37.5010768,127.1164252
2020,19871215,오금고등학교,서울특별시 송파구 오금동 34-3,서울특별시 송파구 중대로 247,37.5045308,127.1289706
2020,19881223,잠신고등학교,서울특별시 송파구 잠실동 22-2,서울특별시 송파구 잠실로 24,37.5147027,127.0882815
2020,20100301,문현고등학교,서울특별시 송파구 장지동 838,서울특별시 송파구 충민로 115,37.4813139,127.1287634
2020,19060905,보성고등학교,서울특별시 송파구 방이동 89-22,서울특별시 송파구 양재대로 1278,37.520089,127.1357303
2020,19341007,배명고등학교,서울특별시 송파구 삼전동 172-1,서울특별시 송파구 삼학사로 11,37.4976895,127.0958111
2020,19830513,잠실여자고등학교,서울특별시 송파구 송파동 99-2,서울특별시 송파구 송파대로38길 8,37.5019724,127.11452659999998
2020,18871020,정신여자고등학교,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16,37.5094544,127.07384779999998
2020,19721229,영파여자고등학교,서울특별시 송파구 풍납동 501,서울특별시 송파구 올림픽로 565,37.5327347,127.1197418
2020,19780306,영동일고등학교,서울특별시 송파구 잠실동 35-1,서울특별시 송파구 석촌호수로 93,37.5100345,127.0898685
2020,19850508,명일여자고등학교,서울특별시 강동구 명일동 40,서울특별시 강동구 명일로 350,37.5497764,127.1495812
2020,19970301,둔촌고등학교,서울특별시 강동구 둔촌동 79-3,서울특별시 강동구 명일로 140,37.531432,127.1438107
2020,20100117,강일고등학교,서울특별시 강동구 강일동 685-1,서울특별시 강동구 아리수로98길 40,37.5638287,127.1779057
2020,20110301,선사고등학교,서울특별시 강동구 암사동 448,서울특별시 강동구 고덕로25길 17,37.55631629999999,127.1357998
2020,19530604,동북고등학교,서울특별시 강동구 둔촌동 180-2,서울특별시 강동구 강동대로 305,37.5197185,127.1412227
2020,19791006,상일여자고등학교,서울특별시 강동구 상일동 189,서울특별시 강동구 천호대로219길 61,37.5479537,127.1702183
2020,19850301,광문고등학교,서울특별시 강동구 고덕동 295,서울특별시 강동구 동남로 968,37.5604614,127.1585483
2020,19850908,강동고등학교,서울특별시 강동구 상일동 267,서울특별시 강동구 구천면로 572,37.54991679999999,127.16066709999998
2020,19330418,한영고등학교,서울특별시 강동구 상일동 166,서울특별시 강동구 동남로 832,37.5491315,127.157773
2020,19381208,동성고등학교,서울특별시 종로구 혜화동 90-7,서울특별시 종로구 대학로 156,37.5849703,127.0030619
2020,19080620,중앙고등학교,서울특별시 종로구 계동 1,서울특별시 종로구 창덕궁길 164,37.5837876,126.9874738
2020,19490824,성동고등학교,서울특별시 중구 신당동 161,서울특별시 중구 퇴계로90길 17,37.5641164,127.0223883
2020,18860531,이화여자고등학교,서울특별시 중구 순화동 1-1,서울특별시 중구 통일로4길 30,37.5655771,126.9696428
2020,19820301,중경고등학교,서울특별시 용산구 이촌동 300-302,서울특별시 용산구 이촌로84길 34,37.5176813,126.9756393
2020,20040301,경일고등학교,서울특별시 성동구 성수동1가 22-27,서울특별시 성동구 성수일로 27,37.5438284,127.0478694
2020,19600515,한양대학교사범대학부속고등학교,서울특별시 성동구 사근동 223,서울특별시 성동구 마조로 42,37.5619189,127.042326
2020,19880420,광양고등학교,서울특별시 광진구 자양동 668,서울특별시 광진구 자양로3가길 31,37.5293805,127.0851808
2020,19820402,청량고등학교,서울특별시 동대문구 청량리동 7,서울특별시 동대문구 왕산로 303,37.5888875,127.0513131
2020,19600415,경희고등학교,서울특별시 동대문구 이문동 1-3,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
2020,19491025,대광고등학교,서울특별시 동대문구 신설동 53-3,서울특별시 동대문구 안암로 6,37.5784086,127.0243533
2020,19821130,면목고등학교,서울특별시 중랑구 면목동 77,서울특별시 중랑구 용마산로72길 36-14,37.5846636,127.097272
