년,상세영업상태명,학교종류,학교명,주소,경도,위도
2020,영업,어린이집,연꽃어린이집,서울특별시 구로구 구로동 777-22번지 연꽃어린이집 ,126.890299481658,37.487412241608
2020,영업,어린이집,성은어린이집,서울특별시 구로구 구로동 705-7번지 ,126.883258060369,37.4906988942278
2020,영업,어린이집,구민어린이집,서울특별시 구로구 구로동 90-1번지 ,126.89158278730801,37.4947521450933
2020,영업,어린이집,섬기는어린이집,서울특별시 구로구 가리봉동 111-1번지 ,126.889642515209,37.4828674348533
2020,영업,어린이집,지암어린이집,서울특별시 구로구 개봉동 354-6번지 (354-21) ,126.85283647402099,37.48722443216009
2020,폐업,어린이집,항동어린이집,서울특별시 구로구 항동 12-19번지 항동어린이집 ,126.82344112367399,37.485356130045
2020,영업,어린이집,남산어린이집,서울특별시 구로구 고척동 52-316번지 ,126.864877108377,37.5028507037735
2020,영업,어린이집,역삼가애어린이집,서울특별시 강남구 역삼동 783-19번지 ,127.044732484357,37.4948574029133
2020,영업,어린이집,강남구립보람어린이집,서울특별시 강남구 대치동 601-0번지 지상1층 ,127.061338245861,37.4943589563788
2020,영업,어린이집,태화어린이집,서울특별시 강남구 수서동 741-0번지 지상1층 ,127.09330077140899,37.4848385998018
2020,영업,어린이집,강남구립대청어린이집,서울특별시 강남구 일원동 675-1번지 지상1층 ,127.083502443243,37.4908623012801
2020,영업,어린이집,준현어린이집,서울특별시 강남구 청담동 19-16번지 지상2층 ,127.043336811681,37.5225982276932
2020,영업,어린이집,동산어린이집,서울특별시 강남구 개포동 1262-9번지 지하1층 ,127.050254812028,37.479467958963
2020,영업,어린이집,구립대치어린이집,서울특별시 강남구 대치동 985-1번지 ,127.065497967903,37.501812086977104
2020,영업,어린이집,해피어린이집,서울특별시 강남구 수서동 746-0번지 까치마을아파트관리동지상1층 ,127.087594588891,37.4847251268029
2020,영업,어린이집,논현어린이집,서울특별시 강남구 논현동 137-16번지 지하1층 ,127.026859612928,37.511030867992396
2020,영업,어린이집,구립푸른어린이집,서울특별시 강남구 자곡동 440-33번지 지상1층 ,127.09980606120001,37.47355367474329
2020,영업,어린이집,청마을어린이집,서울특별시 강남구 일원동 711-0번지 지상1층 ,127.090259593712,37.492625329087794
2020,영업,어린이집,예지어린이집,서울특별시 강남구 개포동 1164-15번지 대경빌딩 ,127.053361845198,37.4734657769789
2020,영업,어린이집,강남구민회관어린이집,서울특별시 강남구 대치동 509-2번지 지상1층 ,127.064125855635,37.493840729484894
2020,영업,어린이집,동서울어린이집,서울특별시 광진구 구의동 204-22번지 ,127.091438442871,37.54315955418609
2020,영업,어린이집,구립자양2동어린이집,서울특별시 광진구 자양동 669-2번지 ,127.08448025452499,37.528842845423796
2020,영업,어린이집,미담어린이집,서울특별시 강남구 일원동 717번지 삼성생명 일원동 빌딩 ,127.08442776256399,37.4839922695395
2020,영업,어린이집,구립역삼어린이집,서울특별시 강남구 역삼동 743-7번지 지상2층 ,127.03565122438101,37.4971127973507
2020,영업,어린이집,구립일원어린이집,서울특별시 강남구 일원동 730-0번지 지상3층 ,127.07791859500401,37.4840833646736
2020,영업,어린이집,느티나무어린이집,서울특별시 광진구 화양동 478-3번지 ,127.07806731081699,37.54540669749321
2020,영업,어린이집,삼성어린이집,서울특별시 강남구 삼성동 89-2번지 지상1층 ,127.05966789896601,37.517254068606704
2020,영업,어린이집,수서서머힐어린이집,서울특별시 강남구 수서동 712-0번지 지상2층 ,127.103552062194,37.4894614012726
2020,영업,어린이집,구립바롬어린이집,서울특별시 강남구 신사동 647-6번지 지하1층 ,127.036337367655,37.52531077048889
2020,영업,어린이집,청수어린이집,서울특별시 강남구 청담동 124-1번지 지상3층 ,127.049220339161,37.5250534902457
2020,영업,어린이집,다솔어린이집,서울특별시 강남구 개포동 1198-7번지 ,127.04906274516,37.47534576392921
2020,영업,어린이집,강남선재어린이집,서울특별시 강남구 대치동 916-23번지 지상1층 ,127.056334129744,37.5014588497954
2020,영업,어린이집,성심어린이집,서울특별시 광진구 중곡동 134-25번지 ,127.084964514818,37.5565888438511
2020,영업,어린이집,선우어린이집,서울특별시 강남구 도곡동 548-1번지 ,127.038492655349,37.490745299913
2020,폐업,어린이집,중곡1동어린이집,서울특별시 광진구 중곡동 258-17번지 ,127.079601914132,37.5609133263992
2020,영업,어린이집,성아어린이집,서울특별시 강남구 도곡동 515-15번지 ,127.043584722488,37.4840801075438
2020,영업,어린이집,민들레어린이집,서울특별시 강남구 수서동 723-0번지 지상1층 ,127.105122149538,37.4873037825343
2020,폐업,어린이집,자양4동어린이집,서울특별시 광진구 자양동 5-7번지 ,127.068372306187,37.539096065442
2020,영업,어린이집,강남어린이집,서울특별시 강남구 개포동 12-0번지 지상1층 ,127.075191406544,37.4941756707605
2020,영업,어린이집,중앙어린이집,서울특별시 광진구 자양동 615-28번지 ,127.078068456812,37.5329554102965
2020,영업,어린이집,신사어린이집,서울특별시 강남구 신사동 543-5번지 지하1층 ,127.02401104729799,37.5199918771792
2020,영업,어린이집,명성어린이집,서울특별시 광진구 구의동 248-5번지 ,127.086316509265,37.5400774791653
2020,영업,어린이집,명화어린이집,서울특별시 강남구 수서동 707-0번지 지상1층 ,127.10015362513599,37.4911237260586
2020,영업,어린이집,솔로몬어린이집,서울특별시 광진구 중곡동 191-36번지 ,127.08065203687,37.5665669158228
2020,영업,어린이집,군자어린이집,서울특별시 광진구 군자동 117-10번지 ,127.072666702977,37.5545832880111
2020,영업,어린이집,수서어린이집,서울특별시 강남구 수서동 450-2번지 ,127.099054643535,37.4861328789609
2020,영업,어린이집,구일어린이집,서울특별시 구로구 구로동 685-219번지 ,126.874364450301,37.4917311381906
2020,영업,어린이집,구립연화어린이집,서울특별시 강남구 논현동 114-24번지 논현문화복지회관3층 ,127.037210824581,37.517283199815104
2020,폐업,어린이집,참사랑어린이집,서울특별시 강남구 역삼동 657-27,127.036727653425,37.5060333184649
2020,영업,어린이집,동성어린이집,서울특별시 광진구 자양동 6-13번지 ,127.06767416617,37.539432095157
2020,영업,어린이집,목련어린이집,서울특별시 강남구 개포동 14-2번지 지상2층 ,127.07768189482401,37.4939862332378
2020,영업,어린이집,양재2동어린이집,서울특별시 서초구 양재동 341-8번지 (지하1층) ,127.044655577584,37.46911794788579
2020,영업,어린이집,즐거운어린이집,서울특별시 강서구 가양동 1481-0번지 (지상 1층) ,126.854574440511,37.563541153268396
2020,영업,어린이집,한솔어린이집,서울특별시 구로구 개봉동 64-10번지 ,126.84502084796699,37.50045496676979
2020,영업,어린이집,샬롬어린이집,서울특별시 성북구 보문동5가 41번지 ,127.01875737648999,37.583674853509706
2020,영업,어린이집,초망어린이집,서울특별시 강남구 삼성동 92-13번지 ,127.061846980701,37.516248461581704
2020,영업,어린이집,미래어린이집,서울특별시 구로구 구로동 751-14번지 ,126.887583802519,37.488095946645004
2020,영업,어린이집,돌곶이어린이집,서울특별시 성북구 석관동 343-61번지 ,127.055597484893,37.609681883391296
2020,영업,어린이집,영광어린이집,서울특별시 성북구 하월곡동 222-7번지 ,127.03828414285101,37.6056624949982
2020,영업,어린이집,국공립 돈암2동 어린이집,서울특별시 성북구 돈암동 609-1 한진A 406동,127.010292769897,37.59479797683621
2020,영업,어린이집,정릉1동어린이집,서울특별시 성북구 정릉동 966-100번지 ,127.016529024425,37.6029030899454
2020,영업,어린이집,웅지어린이집,서울특별시 성북구 길음동 877-255번지 ,127.02121510847799,37.6022577580909
2020,영업,어린이집,북악어린이집,서울특별시 성북구 정릉동 357번지 ,127.007831267103,37.6097876258168
2020,영업,어린이집,목화어린이집,서울특별시 성북구 하월곡동 52-6번지 ,127.039978160725,37.6043910383324
2020,영업,어린이집,성북어린이집,서울특별시 성북구 동소문동1가 1번지 ,127.00581995481701,37.589603249979604
2020,영업,어린이집,큰나무어린이집,서울특별시 성북구 상월곡동 산 8-10번지 ,127.051561583802,37.6033893944443
2020,영업,어린이집,효창어린이집,서울특별시 용산구 효창동 5-410번지 ,126.961358722209,37.5421765053649
2020,영업,어린이집,원광샛별어린이집,서울특별시 서초구 양재동 6-9번지 (지상1층) ,127.041698656779,37.482722035064704
2020,영업,어린이집,구립 사근다솜어린이집,서울특별시 성동구 사근동 223-22번지 ,127.045274961848,37.561393472466506
2020,영업,어린이집,헷세드어린이집,서울특별시 성동구 응봉동 275번지 신동아(아)상가 2층 ,127.02947632308998,37.5502423608696
2020,영업,어린이집,튼튼삐아제어린이집,서울특별시 성동구 행당동 347번지 대림(아) 제2관리사무소2층 ,127.027093261846,37.557892019540894
2020,영업,어린이집,꿈터어린이집,서울특별시 성동구 용답동 19-7번지 지상2층 ,127.055097221573,37.5624220525431
2020,영업,어린이집,우정어린이집,서울특별시 은평구 갈현동 298-10번지 ,126.915004678183,37.62563780079429
2020,영업,어린이집,중림어린이집,서울특별시 중구 만리동1가 62-12번지 ,126.96769109176,37.555664744572
2020,영업,유치원,양재천사유치원,서울특별시 서초구 양재동 154-2번지 지상 2층 ,127.02943401138599,37.4766089319275
2020,영업,어린이집,성동구청 무지개어린이집,서울특별시 성동구 행당동 142-1번지 ,127.03539829607,37.5591785988703
2020,영업,어린이집,구립서초남서울어린이집,서울특별시 서초구 잠원동 76-9번지 10 (지하1층) ,127.000861002945,37.5068687157615
2020,영업,어린이집,서문교회부설어린이집,서울특별시 은평구 응암동 577-57번지 ,126.916690410273,37.59156784414649
2020,영업,어린이집,수성어린이집,서울특별시 은평구 갈현동 275-124번지 ,126.913419655871,37.623570776750604
2020,영업,어린이집,상미어린이집,서울특별시 강동구 천호동 303-18번지 ,127.132287939457,37.546454174924506
2020,영업,어린이집,구립 나래어린이집,서울특별시 구로구 오류동 6-126번지 ,126.838789145385,37.496409513623796
