X좌표(경도),Y좌표(위도),백화점 개수,버스정류장 개수,병원 개수,영화관 개수,제과제빵 개수,지하철 개수,카페 개수,편의점 개수,음식점 개수,어린이집_유치원 개수,초중고등학교 개수,대학교 개수
126.76835,37.48994999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.49405,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.498149999999995,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.50225,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.50635,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.51044999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.51455,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.518649999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.52275,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.526849999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.53094999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.53505,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.53914999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.54325,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.547349999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.55145,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.55555,0,2,0,0,0,0,0,0,8.0,0,0,0
126.76835,37.55964999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.56375,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.56784999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.57195,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.576049999999995,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.580149999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.58425,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.58834999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.59245,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.59654999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.60065,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.604749999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.60885,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.61295,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.61704999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.62115,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.625249999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.62935,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.633449999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.63754999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
