인허가일자,영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20050621,영업/정상,0,서울특별시 중구 황학동 678번지 (지상1층) ,0,화목식당,한식
20030828,영업/정상,0,서울특별시 중구 회현동1가 194-1번지 (지상2층) ,서울특별시 중구 남대문시장8길 9 (회현동1가(지상2층)),기절초풍 물닭갈비,한식
20080707,영업/정상,0,서울특별시 중구 충무로4가 151-1번지 외 8필지 (지상1층) ,0,원마트,분식
20031111,영업/정상,0,서울특별시 중구 남대문로5가 12-6번지 (지상1층) ,서울특별시 중구 세종대로 14-1 (남대문로5가(지상1층)),김밥천국,분식
20050303,영업/정상,0,서울특별시 중구 을지로4가 267-0번지 (지상1층) ,서울특별시 중구 을지로24길 5 (을지로4가(지상1층)),스시애(을지점),한식
20050308,영업/정상,0,서울특별시 중구 순화동 1-51번지 (지상12층) ,0,늘 정통한정식,한식
20031030,영업/정상,0,서울특별시 중구 남대문로5가 711번지 (지상2층) ,0,남산옥,한식
20100624,영업/정상,0,서울특별시 중구 남대문로5가 12-25번지 1층 2층 ,서울특별시 중구 세종대로2가길 5 (남대문로5가1층 2층),족발아 닭발아,한식
19781214,영업/정상,0,서울특별시 중구 회현동2가 12-0번지 ,0,진화장,한식
20101108,영업/정상,0,서울특별시 중구 남대문로5가 12-33번지 1층 ,서울특별시 중구 세종대로2나길 9-4 (남대문로5가1층),다래정,분식
19701130,영업/정상,0,서울특별시 중구 신당동 292-114번지 ,0,유미분식,분식
19760311,영업/정상,0,서울특별시 중구 남대문로5가 12-11번지 ,서울특별시 중구 세종대로2가길 7-1 (남대문로5가),최가네칼국수,분식
19700131,영업/정상,0,서울특별시 중구 산림동 166-0번지 ,0,대림음식점,한식
19760303,영업/정상,0,서울특별시 중구 회현동1가 1-13번지 ,0,태능숯불갈비,한식
20010523,영업/정상,0,서울특별시 중구 남대문로5가 14-3번지 ,서울특별시 중구 세종대로2가길 19 (남대문로5가),원 해물집,한식
19690714,영업/정상,0,서울특별시 중구 광희동1가 154-0번지 ,0,임페리아,한식
19690818,영업/정상,0,서울특별시 중구 삼각동 40-5번지 ,0,반석가든,한식
19861106,영업/정상,0,서울특별시 중구 을지로4가 204-6번지 ,0,대도식품,분식
19861110,영업/정상,0,서울특별시 중구 남산동1가 4-0번지 ,0,나나식당,한식
19770212,영업/정상,0,서울특별시 중구 회현동1가 195-14번지 ,서울특별시 중구 남대문시장10길 12-1 (회현동1가),회현삼계탕,한식
20021128,영업/정상,0,서울특별시 중구 황학동 669-0번지 (1층) ,0,백두산숯불장어,한식
20020615,영업/정상,0,서울특별시 중구 남대문로5가 12-16번지 (1층) ,서울특별시 중구 세종대로2길 7 (남대문로5가(1층)),원당감자탕서울역점,한식
20030327,영업/정상,0,서울특별시 중구 충무로5가 79-2번지 1층 ,서울특별시 중구 서애로 7 1층 (충무로5가),버블트리동국대점,분식
20020524,영업/정상,0,서울특별시 중구 남대문로5가 210224번지 ,0,고기천하,한식
20020813,영업/정상,0,서울특별시 중구 중림동 128-20번지 (1층) ,0,중림식당,한식
20020429,영업/정상,0,서울특별시 중구 황학동 2463번지 1층 ,0,영산강 민물장어,한식
20020618,영업/정상,0,서울특별시 중구 서소문동 58-17번지 (지하1층 115호) ,0,명지분식,분식
20020304,영업/정상,0,서울특별시 중구 순화동 1-105번지 1층 ,0,토속 삼계탕,한식
20020614,영업/정상,0,서울특별시 중구 서소문동 58-17번지 (지하1층) ,0,가야삼계탕,한식
19830614,영업/정상,0,서울특별시 중구 신당동 292-82번지 ,0,숙,한식
20020513,영업/정상,0,서울특별시 중구 회현동1가 35-6번지 (1층) ,0,시골마당집,한식
19841214,영업/정상,0,서울특별시 중구 산림동 205-0번지 ,0,다전식당,분식
19841217,영업/정상,0,서울특별시 중구 북창동 100-0번지 ,0,품앗이,분식
20020902,영업/정상,0,서울특별시 중구 북창동 44-0번지 (지상1층) ,0,한국관,한식
20000329,영업/정상,0,서울특별시 중구 수표동 67-4번지 1층 ,0,청석골,한식
20021007,영업/정상,0,서울특별시 중구 황학동 945-0번지 (4층) ,서울특별시 중구 난계로 175 (황학동(4층)),성동식당,한식
20021004,영업/정상,0,서울특별시 중구 북창동 13-3번지 (1층) ,0,삼다도,분식
20011106,영업/정상,0,서울특별시 중구 무학동 3540번지 양지상 2층 ,0,로시난테,경양식
20000819,영업/정상,0,서울특별시 중구 회현동1가 197-2번지 ,0,퓨전해물,한식
20020504,영업/정상,0,서울특별시 중구 회현동1가 26-2번지 1층 ,0,메사,경양식
20020604,영업/정상,0,서울특별시 중구 남대문로5가 212번지 (12층) ,서울특별시 중구 세종대로2가길 14 (남대문로5가(12층)),새마을식당 남대문점,한식
19960226,영업/정상,0,서울특별시 중구 순화동 3-28번지 ,0,고릴라,한식
19920331,영업/정상,0,서울특별시 중구 신당동 294-70번지 지상1층 ,0,수양,한식
19920406,영업/정상,0,서울특별시 중구 순화동 1-127번지 ,0,풍림대복,한식
19911129,영업/정상,0,서울특별시 중구 순화동 1-66번지 ,0,진양,한식
19871118,영업/정상,0,서울특별시 중구 을지로1가 97-1번지 ,0,궁과전,한식
19871127,영업/정상,0,서울특별시 중구 순화동 34-0번지 ,0,동방칼국수,분식
20000411,영업/정상,0,서울특별시 중구 수하동 29-1번지 ,0,남원추어탕,한식
20001012,영업/정상,0,서울특별시 중구 황학동 678-0번지 ,0,짱호푸,분식
20090629,영업/정상,0,서울특별시 중구 남대문로5가 241번지 (지상1층) ,서울특별시 중구 세종대로2나길 6-1 (남대문로5가(지상1층)),엠엠티에이치047(MMTH047),경양식
19930302,영업/정상,0,서울특별시 중구 회현동2가 1-16번지 ,0,팔도강산,분식
19911129,영업/정상,0,서울특별시 중구 북창동 94-0번지 ,0,미가도시락,한식
20030429,영업/정상,0,서울특별시 중구 황학동 682-0번지 (1층) ,0,전주식당,한식
20000627,영업/정상,0,서울특별시 중구 을지로6가 18-145번지 ,0,명지,분식
20090309,영업/정상,0,서울특별시 중구 저동1가 63번지 (지상1층) ,서울특별시 중구 삼일대로 347 (저동1가(지상1층)),한잔할까?,한식
20000628,영업/정상,0,서울특별시 중구 황학동 162-0번지 삼일(아)17-208 ,0,남원추어탕,분식
20091202,영업/정상,0,서울특별시 중구 충무로5가 79-2번지 지상2층 ,서울특별시 중구 서애로 7 (충무로5가지상2층),솔레미오동국대점,한식
19911001,영업/정상,0,서울특별시 중구 순화동 1-52번지 ,0,한창가든,한식
20000219,영업/정상,0,서울특별시 중구 순화동 1-63번지 ,0,다성우촌,한식
20061219,영업/정상,0,서울특별시 중구 회현동2가 10-14번지 (지상12층) ,0,시골돈찌,한식
20000609,영업/정상,0,서울특별시 중구 광희동1가 281-0번지 ,0,삼거리뼈해장국,한식
19871204,영업/정상,0,서울특별시 중구 신당동 299-4번지 ,0,한성,한식
19890508,영업/정상,0,서울특별시 중구 장교동 1-807번지 ,0,수옥,분식
19950516,영업/정상,0,서울특별시 중구 회현동1가 28-13번지 ,0,포인트,경양식
20081209,영업/정상,0,서울특별시 중구 신당동 366-100번지 (지상1층) ,서울특별시 중구 다산로 66-1 (신당동(지상1층)),바른길,한식
19950109,영업/정상,0,서울특별시 중구 을지로6가 20-8번지 ,0,문,경양식
19950214,영업/정상,0,서울특별시 중구 회현동1가 4-1번지 ,0,한일호프,경양식
19950828,영업/정상,0,서울특별시 중구 순화동 1-97번지 ,0,다희,한식
19921017,영업/정상,0,서울특별시 중구 저동1가 90-4번지 ,0,성심옥,한식
19850221,영업/정상,0,서울특별시 중구 서소문동 75-22번지 ,0,쿠로야,일식
19880425,영업/정상,0,서울특별시 중구 신당동 44-8번지 ,0,오가네,한식
19910930,영업/정상,0,서울특별시 중구 을지로6가 18-44번지 ,0,유진참치회전문점,일식
19950509,영업/정상,0,서울특별시 중구 남대문로5가 12-27번지 1~2층 ,서울특별시 중구 세종대로2나길 9 1~2층 (남대문로5가),계절집,한식
19980317,영업/정상,0,서울특별시 중구 신당동 45-95번지 ,0,고개,한식
19830527,영업/정상,0,서울특별시 중구 을지로5가 79-3번지 ,0,아람돈까스,경양식
19841029,영업/정상,0,서울특별시 중구 초동 57-0번지 ,0,황소곱창,한식
20000904,영업/정상,0,서울특별시 중구 다동 191-0번지 1층 ,0,목포집,경양식
19911226,영업/정상,0,서울특별시 중구 을지로6가 18-45번지 ,0,헤븐,경양식
20000923,영업/정상,0,서울특별시 중구 을지로7가 108-0번지 ,0,우리식당,한식
19920725,영업/정상,0,서울특별시 중구 황학동 2463-0번지 ,0,대영,한식
19890504,영업/정상,0,서울특별시 중구 순화동 139-1번지 ,서울특별시 중구 통일로 56-12 (순화동),신라삼계탕,한식
19921209,영업/정상,0,서울특별시 중구 회현동2가 11-0번지 ,0,24시서울깍두기설렁탕,한식
19911211,영업/정상,0,서울특별시 중구 예관동 206-26번지 ,0,호남식당,한식
19890603,영업/정상,0,서울특별시 중구 을지로4가 0-0번지 ,0,대도식품,분식
