공원명,개원일,공원주소,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
양재시민의숲,1986.11.30,서울특별시 서초구 매헌로 99 (양재동),203226.694,441171.435,127.03504199999999,37.471225
관악산도시자연공원,1968.1.15,서울특별시 관악구 관악로 1(관악산공원),196801.46399999998,438408.982,126.96413000000001,37.445208
효창근린공원,1940.3.12,서울특별시 용산구 효창원로 177-18,196484.925,449520.541,126.95993,37.545234
감로천생태공원(관악산),2002.7.15,서울특별시 금천구 독산4동 371?375 373일대,191868.836,440976.325,126.9079509,37.469625
개운산근린공원,1995.5.3,서울특별시 성북구 북악산로 949-73(돈암동 6-1),202301.921,455244.032,127.0252858,37.596583700000004
개웅산근린공원,1971.8.6,서울특별시 구로구 오류동 산13-1,186361.51100000003,443134.51700000005,126.84857340000002,37.4888943
경희궁,2002,서울특별시 종로구 새문안로 55(신문로2가 2-1),197240.742,452357.669,126.9685341,37.570772999999996
국립현충원,1955.7.15,서울특별시 동작구 사당2동 산41-2,197554.306,444488.109,126.97368490000001,37.4998621
계남근린공원,1971.8.6,서울특별시 양천구 신정동 산44-2일대,186587.03,445953.76200000005,126.84796429999999,37.513835799999995
고척근린공원,1988.12,서울특별시 구로구 고척로45길 39(고척공원),186938.035,445175.775,126.85214950000001,37.5042944
파리근린공원,1987.6.30  ,서울특별시 양천구 목동동로 363 ,189117.77800000002,448369.561,126.87639320000001,37.5349739
허준공원,1993.10.31 ,서울특별시 강서구 허준로5길 42,187079.658,452015.939,126.8526745,37.5679874
궁동근린공원,1940.3.12,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,193388.45,452419.784,126.9229851,37.5690506
궁산근린공원,1996.12.19 ,서울특별시 강서구 가양동 산4-7,185910.698,452700.726,126.838952,37.5735645
까치산근린공원,1971.8.6 ,서울특별시 동작구 사당동 산32,196769.945,442784.44299999997,126.96407350000001,37.4845836
꿩고개근린공원,1977.7.14 ,서울특별시 강서구 방화동 산110,183898.23100000003,453383.899,126.8157075,37.5801585
노량진공원,1993.4.17 ,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),193634.425,445290.39,126.928607,37.510234000000004
답십리근린공원,1998,서울특별시 동대문구 답십리로 209(답십리공원) ,205641.232,452702.95700000005,127.0626512,37.5750896
대모산도시자연공원,1989.11.23 ,서울특별시 강남구 광평로10길 30-71(대모산공원) ,206597.962,442256.152,127.0809639,37.4796489
탑골근린공원,1971.8.6 ,서울특별시 종로구 종로 99,198967.31699999998,452419.346,126.98828529999999,37.5710052
갈산근린공원,1971.8.6 ,서울특별시 양천구 신정동 162-56,188397.99899999998,445234.771,126.8689146,37.5082119
천마근린공원,2002.10.30 ,서울특별시 송파구 마천동 산 1-1,213925.08,444496.729,127.1586644,37.5005173
도곡근린공원,1977.7.9,서울특별시 강남구 도곡동 산31-1,203985.777,443426.71,127.0450338,37.490312700000004
도산근린공원,1997.8.6 ,서울특별시 강남구 도산대로45길 20(도산공원),203095.83800000002,447239.07700000005,127.03502959999999,37.524675200000004
청량공원,1940.3.12 ,서울특별시 성북구 화랑로18가길 50,204528.53699999998,456092.99,127.0511145,37.6020055
초안산근린공원,1971.8.6 ,서울특별시 도봉구 창동 산157,203623.34699999998,461020.286,127.0455446,37.648315999999994
동명근린공원,1989.4.29 ,서울특별시 강동구 고덕2동 229,214814.24399999998,451141.586,127.1676703,37.5598341
마로니에공원,1982.4.29 ,서울특별시 종로구 대학로8길 1,200216.931,453456.81,127.00278859999999,37.5802295
자매근린공원,1977.5.1 ,서울특별시 영등포구 의사당대로 166 (우) 07324,193868.629,446473.984,126.9302895,37.5177329
장지근린공원,2003.6.4 ,서울특별시 송파구 장지동 산 11번지,211450.664,442556.95399999997,127.1387,37.4957083
명일근린공원,1971.8.6 ,서울특별시 강동구 상일동 135,214163.875,450353.875,127.16136409999999,37.553714299999996
방화근린공원,1996.12.10,서울특별시 강서구 금낭화로 176(방화공원),183530.797,453596.414,126.8132285,37.5819812
아시아근린공원,1986.4.30,서울특별시 송파구 올림픽로 44 (잠실동),206765.91600000003,445654.01399999997,127.0762885,37.5102779
배봉산근린공원,1992,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,205798.8,453616.894,127.06416229999999,37.5812324
안산도시자연공원,1977.7.9,서울특별시 서대문구 홍제동 산33-98,194575.09699999998,453339.773,126.9390273,37.5798246
염창근린공원,1977.7.9,서울특별시 강서구 염창동 산24-1,188333.58899999998,451001.141,126.8689817,37.55797020000001
백련근린공원,1966. 2. 5,서울특별시 서대문구 통일로 507-22(백련공원) ,193717.22600000002,454793.495,126.92861599999999,37.587966200000004
오금근린공원,1990.10.30,서울특별시 송파구 오금로 363 오금근린공원 ,211638.552,444566.65,127.13239569999999,37.5038715
오동근린공원,1987.4.27,서울특별시 강북구 번동 산20-1,202722.755,459142.96,127.03172690000001,37.6327957
봉산도시자연공원,1977.7.14 ,서울특별시 은평구 구산동 산61,192210.05899999998,456538.055,126.90201529999999,37.604071000000005
온수도시자연공원,1971.8.6,서울특별시 구로구 개봉동 산2-60,185881.953,444742.911,126.83695,37.5002598
봉은공원,1971.8.6,서울특별시 강남구 삼성동 75,205055.25699999998,446107.56899999996,127.05549609999998,37.5139026
올림픽공원,1988,서울특별시 송파구 올림픽로 424 (방이동),210704.492,446848.357,127.12295900000001,37.520934000000004
와룡근린공원,1984.4.1,서울특별시 종로구 와룡공원길 192 (우) 03063,199375.724,454648.216,126.9901672,37.59079439999999
봉화산근린공원,1977.7.9,서울특별시 중랑구 묵동 산46-1,207704.38,456624.859,127.0923625,37.6106404
북악산도시자연공원,1963.12.21,서울특별시 종로구 부암동 산2-6,197674.65399999998,454875.70200000005,126.97372949999999,37.5929992
북한산국립공원,1983.4.2,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,197794.63199999998,459148.38399999996,127.00093799999999,37.624549
외국인묘지공원,1965.5.6,서울특별시 마포구 양화진길 46(외국인묘지공원),192167.931,449671.831,126.911414,37.546797
불광근린공원,1977.7.14 ,서울특별시 은평구 불광동 산33-1,193822.483,457501.131,126.9298962,37.6188016
불암산도시자연공원,1977.7.9,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,208214.172,462688.18,127.09527140000002,37.6636719
용마폭포공원,1958.2.15,서울특별시 중랑구 면목동 산1-4 ,207876.919,452652.907,127.0905888,37.5731968
사육신공원,1978.5.19,서울특별시 동작구 노량진로 191,195483.866,446027.256,126.94863600000001,37.5137049
용왕산근린공원,1971.8.6,서울특별시 양천구 목동 199-51,189177.75600000002,449262.403,126.8783125,37.5429593
사직근린공원,1940.3.12,서울특별시 종로구 사직로9길 5,197219.855,452943.80799999996,126.96740179999999,37.5759864
우장산근린공원,1988.12.30,서울특별시 강서구 내발산동 산4-5,186055.82,450217.146,126.844932,37.5541932
삼일근린공원,1990.12.21,서울특별시 동작구 사당동 산24-17,197729.062,442960.391,126.9743686,37.4860183
삼청근린공원,1940.3.12,서울특별시 종로구 북촌로 134-1 (우) 03050,198430.819,454679.963,126.9842875,37.5895821
인왕산도시자연공원,1940.3.12,서울특별시 종로구 옥인동 산 3-1 ,196822.47699999998,453849.5,126.9578438,37.5849001
