,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도
162,서울영문초등학교,2005-03-01,서울특별시 영등포구 문래동6가 13,서울특별시 영등포구 문래로 56,37.5198071,126.88759089999999
163,서울선유초등학교,2007-03-02,서울특별시 영등포구 양평동3가 91,서울특별시 영등포구 선유로43가길 14,37.53288010000001,126.8927757
164,서울당중초등학교,1949-10-28,서울특별시 영등포구 양평동3가 42,서울특별시 영등포구 선유로 131,37.5262889,126.8894139
165,서울도신초등학교,1973-09-10,서울특별시 영등포구 대림동 741-3,서울특별시 영등포구 도림로53길 32-9,37.499268799999996,126.90071280000001
166,서울신영초등학교,1982-07-07,서울특별시 영등포구 대림동 781,서울특별시 영등포구 도신로4길 32,37.501005600000006,126.89609640000002
167,서울신대림초등학교,1995-03-01,서울특별시 영등포구 대림동 970-1,서울특별시 영등포구 대림로8길 25,37.492155,126.9058543
168,서울영림초등학교,1982-10-04,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14,37.4873446,126.90253929999999
169,서울문래초등학교,1985-07-10,서울특별시 영등포구 문래동3가 77-7,서울특별시 영등포구 문래로 104,37.5191388,126.8936053
170,서울영신초등학교,1967-11-27,서울특별시 영등포구 신길동 121,서울특별시 영등포구 도신로60길 23,37.5101735,126.91819170000001
171,서울대영초등학교,1988-04-22,서울특별시 영등포구 신길동 341-1,서울특별시 영등포구 신길로23길 43,37.5026792,126.9063358
172,서울우신초등학교,1915-03-05,서울특별시 영등포구 신길동 210,서울특별시 영등포구 신길로 190,37.50986629999999,126.91186450000001
173,서울대방초등학교,1955-04-27,서울특별시 영등포구 신길동 1444,서울특별시 영등포구 여의대방로35길 14,37.5030997,126.9194861
174,서울대길초등학교,1983-09-14,서울특별시 영등포구 신길동 4482,서울특별시 영등포구 대방천로 206,37.498112400000004,126.91317190000001
175,서울당산초등학교,1945-08-15,서울특별시 영등포구 양평동4가 323,서울특별시 영등포구 선유로55길 32,37.5401200198,126.8962413
176,서울윤중초등학교,1980-04-04,서울특별시 영등포구 여의도동 38,서울특별시 영등포구 여의나루로2길 14,37.5196406,126.9225902
177,서울초당초등학교,1993-10-28,서울특별시 도봉구 방학동 514-2,서울특별시 도봉구 해등로32길 11,37.658629499999996,127.02195420000001
178,서울신학초등학교,1988-05-04,서울특별시 도봉구 방학동 460-5,서울특별시 도봉구 방학로 247-21,37.6612199,127.0257222
179,서울창경초등학교,1945-11-01,서울특별시 도봉구 쌍문동 72,서울특별시 도봉구 도봉로129길 54,37.656601,127.0346009
180,서울창림초등학교,2000-11-01,서울특별시 도봉구 창동 411-8,서울특별시 도봉구 덕릉로63길 46,37.6432354,127.0416061
181,서울누원초등학교,1993-11-11,서울특별시 도봉구 도봉동 22-19,서울특별시 도봉구 마들로 859-44,37.6872327,127.0492675
182,서울오봉초등학교,2000-03-01,서울특별시 도봉구 도봉동 608-22,서울특별시 도봉구 시루봉로 285,37.671758000000004,127.04025729999998
