상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 4관,20200402174012,2020-04-04 02:40:00.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 3관,20171122143930,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 2관,20171122142840,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 1관,20171122141111,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동6,20180530171708,2018-08-31 23:59:59.0,영화관,19990604
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동4,20180523092815,2018-08-31 23:59:59.0,영화관,19951115
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동3,20180523093121,2018-08-31 23:59:59.0,영화관,19951115
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동2,20180523093022,2018-08-31 23:59:59.0,영화관,19951115
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 컴포트1관,20200623140804,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 MX관,20200623141135,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 3관,20200623141157,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 4관,20200623141215,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 9관,20200623141316,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 6관,20200623141240,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 7관,20200623141251,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 8관,20200623141304,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰내 1층,메가박스중앙(주) 상암월드컵경기장지점 5관,20200623141226,2019-12-05 22:05:00.0,0.0,0
13,영업중,0,서울특별시 강남구 삼성동 159,코엑스 Dolby Cinema,20200717101740,2019-12-06 23:09:00.0,0.0,0
13,영업중,0,서울특별시 마포구 서교동 490 메세나폴리스 2층,롯데시네마 합정 제4관,20200805104930,2019-12-08 00:07:00.0,0.0,0
13,영업중,0,서울특별시 마포구 서교동 367-5,시네마 상상마당,20200805112800,2019-12-08 00:07:00.0,0.0,0
13,영업중,0,서울특별시 구로구 구로동 102번지,구로문화원,20200820165810,2019-12-07 22:02:00.0,0.0,0
13,영업중,0,서울특별시 구로구 개봉동 339-9번지,샘물,20200820165701,2019-12-07 22:02:00.0,0.0,0
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (3관),20180118144704,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20150821,서울특별시 영등포구 여의도동 60-0번지 ,63아이맥스영화관,20150821155203,2018-08-31 23:59:59.0,영화관,19830730
33,지정취소,20150513,서울특별시 강남구 역삼동 814-6번지 ,동아극장 1관,20150513132011,2018-08-31 23:59:59.0,영화관,19830604
33,지정취소,20150513,서울특별시 강남구 역삼동 814-6번지 ,동아극장 3관,20150513132219,2018-08-31 23:59:59.0,영화관,19941223
03,폐업,20151201,서울특별시 종로구 소격동 144-2번지 (지하1층) ,씨네코드 선재,20151202165040,2018-08-31 23:59:59.0,영화관,20081111
35,직권말소,20171115,서울특별시 종로구 신문로2가 1-153번지 가든플레이스 2층 ,미로스페이스,20171115170733,2018-08-31 23:59:59.0,영화관,20120525
03,폐업,20170113,서울특별시 중구 태평로1가 61-21번지 1층 ,스폰지하우스,20170115170503,2018-08-31 23:59:59.0,영화관,20071218
03,폐업,20180824,서울특별시 중구 예장동 8-145번지 ,서울애니시네마,20180903140502,2018-09-03 23:59:59.0,영화관,20050823
03,폐업,20170525,서울특별시 용산구 한강로3가 40-999번지 ,씨지브이용산11제4관,20170526154717,2018-08-31 23:59:59.0,영화관,20041007
34,영업장폐쇄,20150201,서울특별시 광진구 군자동 476-10번지 ,쇼앤톡카페시네마,20170227133747,2018-08-31 23:59:59.0,영화관,20130924
03,폐업,20180705,서울특별시 성북구 안암동5가 1-2번지 고려대학교 미디어관 4층 ,KU시네마트랩,20181008093121,2018-10-10 02:36:12.0,영화관,20120210
03,폐업,20190429,서울특별시 성북구 동선동1가 1-2번지 ,CGV 성신여대입구 제5관,20190509105744,2019-05-11 02:40:00.0,영화관,20080911
03,폐업,20190429,서울특별시 성북구 동선동1가 1-2번지 12층 ,CGV 성신여대입구 제4관,20190509105710,2019-05-11 02:40:00.0,영화관,20080911
03,폐업,20190429,서울특별시 성북구 동선동1가 1-2번지 ,CGV성신여대입구 제1관,20190509105624,2019-05-11 02:40:00.0,영화관,20080911
03,폐업,20180716,서울특별시 마포구 성산동 515번지 월드컵쇼핑몰 1층 ,메가박스중앙(주) 상암월드컵경기장지점 10관,20180718084131,2018-08-31 23:59:59.0,영화관,20030519
03,폐업,20170331,서울특별시 마포구 상암동 1605번지 4층 ,롯데시네마 누리꿈 제2관,20170405161755,2018-08-31 23:59:59.0,영화관,20120910
03,폐업,20170331,서울특별시 마포구 상암동 1605번지 누리꿈스퀘어 디지털파빌리온 4층 ,롯데시네마 누리꿈관 제1관,20170405161727,2018-08-31 23:59:59.0,영화관,20100426
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (9관),20180118145522,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (7관),20180118145338,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (6관),20180118145249,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (5관),20180118145201,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (4관),20180118145042,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (2관),20180118144546,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV 김포공항9 (1관),20180118144613,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20180118,서울특별시 강서구 방화동 886번지 ,CGV김포공항9 (8관),20180118145427,2018-08-31 23:59:59.0,영화관,20030122
03,폐업,20170426,서울특별시 강남구 역삼동 679-1번지 ,LG아트센터,20170426165458,2018-08-31 23:59:59.0,영화관,19991206
03,폐업,20150908,서울특별시 서초구 반포동 19-3번지 센트럴시티 지하1층 ,메가박스센트럴 5관,20150908163024,2018-08-31 23:59:59.0,영화관,20000728
03,폐업,20200916,서울특별시 중구 황학동 2545,롯데시네마 황학(제2관),20200917091457,2019-12-08 23:09:00.0,영화관,0
03,폐업,20200916,서울특별시 중구 황학동 2545,롯데시네마 황학(제1관),20200917091427,2019-12-08 23:09:00.0,영화관,0
