상세영업상태명,폐업일자,사업장명,공연장형태구분명,설립일자,지번주소,도로명주소,경도,위도
영업중,0,롯데시네마 강동,영화관,20040715,서울특별시 강동구 성내동 44-1,서울특별시 강동구 천호옛길 85,127.12533619999999,37.53663467
영업중,0,CGV 용산아이파크몰,영화관,20041007,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강로3가 한강대로23길 55,126.96474140000001,37.52977194
폐업,20170525,CGV 용산아이파크몰,영화관,20041007,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강로3가 한강대로23길 55,126.96474140000001,37.52977194
영업중,0,롯데시네마 독산,영화관,20041013,서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 399,126.8970028,37.46936008
영업중,0,CGV 피카디리1958,영화관,20041112,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1,126.9912292,37.57102545
영업중,0,메가박스 강남,영화관,20041222,서울특별시 서초구 서초동 1317-20,서울특별시 서초구 서초대로77길 3,127.02650179999999,37.49805666
영업중,0,롯데시네마 에비뉴엘,영화관,20050322,서울특별시 중구 남대문로2가 130,서울특별시 중구 남대문로2가 남대문로 75-1,126.9819621,37.56393779
영업중,0,롯데시네마 영등포,영화관,20050426,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,126.90766599999999,37.51566823
영업중,0,롯데시네마 장안,영화관,20050604,서울특별시 동대문구 장안동 368-1,서울특별시 동대문구 답십리로 288,127.0723876,37.57192418
영업중,0,CGV 불광제,영화관,20050623,서울특별시 은평구 대조동 240,서울특별시 은평구 불광로 20,126.92893829999998,37.60973592
영업중,0,대한극장,영화관,20050623,서울특별시 중구 필동2가 19-1,서울특별시 중구 필동2가 퇴계로 212,126.9953433,37.56107538
폐업,20180824,서울애니시네마,영화관,20050823,서울특별시 중구 예장동 8-145,서울특별시 중구 소파로 126,126.98792549999999,37.55839681
영업중,0,롯데시네마 노원,영화관,20051115,서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414,127.0616337,37.65505387
영업중,0,메가박스 목동,영화관,20060427,서울특별시 양천구 목동 917-6,서울특별시 양천구 목동동로 309,126.86743020000002,37.53979897
영업중,0,CGV 압구정,영화관,20060704,서울특별시 강남구 신사동 602,서울특별시 강남구 압구정로30길 45,127.0294033,37.52435075
영업중,0,메가박스 신촌,영화관,20060915,서울특별시 서대문구 신촌동 74-12,서울특별시 서대문구 신촌역로 30,126.94238689999999,37.55982421
영업중,0,아산엠단성사,영화관,20060925,서울특별시 종로구 묘동 56,서울특별시 종로구 돈화문로 26,126.9925259,37.57101868
영업중,0,롯데시네마 서울대입구,영화관,20060928,서울특별시 관악구 봉천동 862-1,서울특별시 관악구 남부순환로 1820,126.9520842,37.48094824
영업중,0,메가박스 은평,영화관,20061228,서울특별시 은평구 불광동 304-2,서울특별시 은평구 통일로 830,126.9227265,37.61782008
영업중,0,롯데시네마 건대입구,영화관,20070126,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 262,127.0717587,37.53737426
영업중,0,CGV 미아점,영화관,20070330,서울특별시 강북구 미아동 35-4,서울특별시 강북구 도봉로 34,127.0307213,37.61206837
영업중,0,메가박스 이수,영화관,20070514,서울특별시 동작구 사당1동 147-53,서울특별시 동작구 사당로 308,126.9815814,37.48491213
영업중,0,롯데시네마 브로드웨이,영화관,20071102,서울특별시 강남구 논현동 3-6,서울특별시 강남구 도산대로 116,127.0215167,37.51660679
영업중,0,씨네Q 신도림,영화관,20071115,서울특별시 구로구 구로동 3-25,서울특별시 구로구 새말로 97,126.89022720000001,37.50704369
폐업,20170113,스폰지하우스,영화관,20071218,서울특별시 중구 태평로1가 61-21,서울특별시 중구 태평로1가 세종대로21길 40,126.9758563,37.56826434
영업중,0,롯데시네마 홍대입구,영화관,20080102,서울특별시 마포구 동교동 166-6,서울특별시 마포구 양화로 178-8,126.92544779999999,37.5574423
영업중,0,필름포럼,영화관,20080718,서울특별시 서대문구 대신동 85,서울특별시 서대문구 신촌동 성산로 527,126.9440906,37.56377563
영업중,0,아트하우스 모모,영화관,20080731,서울특별시 서대문구 대현동 11-1,서울특별시 서대문구 대현동 이화여대길 52,126.948329,37.56712824
영업중,0,메가박스 동대문,영화관,20080910,서울특별시 중구 을지로6가 18-21,서울특별시 중구 을지로6가 장충단로 247,127.0073585,37.56680227
영업중,0,씨네Q 성신여대입구,영화관,20080911,서울특별시 성북구 동선동1가 1-2,서울특별시 성북구 동선동1가 동소문로 106,127.01708810000001,37.59257375
폐업,20190429,CGV 성신여대입구,영화관,20080911,서울특별시 성북구 동선동1가 1-2,서울특별시 성북구 동선동1가 동소문로 106,127.01708810000001,37.59257375
영업중,0,CGV 왕십리,영화관,20081224,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.03839450000001,37.56144191
영업중,0,롯데시네마 신림,영화관,20090225,서울특별시 관악구 신림동 1641-2,서울특별시 관악구 신림로 330,126.9302351,37.48385209
영업중,0,CGV 송파,영화관,20090428,서울특별시 송파구 문정동 516,서울특별시 송파구 문정동 충민로 66,127.12496159999999,37.47761474
영업중,0,메가박스 군자,영화관,20090723,서울특별시 광진구 군자동 477-12,서울특별시 광진구 능동로 289,127.0783445,37.55579007
영업중,0,CGV 영등포,영화관,20090914,서울특별시 영등포구 영등포동4가 442,서울특별시 영등포구 영등포동4가 영중로 15,126.9043784,37.51687186
영업중,0,메가박스 상봉,영화관,20090925,서울특별시 중랑구 상봉2동 130-3,서울특별시 중랑구 망우로30길 3,127.07475149999999,37.59308167
폐업,20170331,롯데시네마 누리꿈관,영화관,20100426,서울특별시 마포구 상암동 1605,서울특별시 마포구 월드컵북로 396,126.89032320000001,37.57944252
영업중,0,롯데시네마 청량리,영화관,20100818,서울특별시 동대문구 전농동 591-53,서울특별시 동대문구 왕산로 220,127.04722530000001,37.58134859
영업중,0,KU시네마테크,영화관,20101223,서울특별시 광진구 화양동 1,서울특별시 광진구 화양동 능동로 120,127.0789125,37.54488231
영업중,0,롯데시네마 김포공항,영화관,20111206,서울특별시 강서구 방화동 886,서울특별시 강서구 개화동로 523,126.8061466,37.56584416
폐업,20180705,KU시네마트랩,영화관,20120210,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 안암동5가 안암로 145,127.03268519999999,37.58791907
영업중,0,CGV 수유,영화관,20120224,서울특별시 강북구 수유동 168-12,서울특별시 강북구 도봉로 399,127.02980579999999,37.64240723
직권말소,20171115,미로스페이스,영화관,20120525,서울특별시 종로구 신문로2가 1-153,서울특별시 종로구 신문로2가 경희궁1길 1,126.97139779999999,37.57063303
영업중,0,CGV 여의도,영화관,20120827,서울특별시 영등포구 여의도동 23,서울특별시 영등포구 국제금융로 10,126.92487630000001,37.52517692
영업중,0,청춘극장,영화관,20130227,서울특별시 중구 충정로1가 68,서울특별시 중구 충정로1가 새문안로 22,126.96864550000001,37.56713012
영업중,0,롯데시네마 가산디지털,영화관,20130321,서울특별시 금천구 가산동 60-8,서울특별시 금천구 디지털로10길 9,126.8890555,37.47761959
영업중,0,CGV 중계,영화관,20130419,서울특별시 노원구 중계동 509-2,서울특별시 노원구 동일로204가길 12,127.0686683,37.63985729
영업중,0,CGV 신촌아트레온,영화관,20130618,서울특별시 서대문구 창천동 20-25,서울특별시 서대문구 신촌로 129,126.9403287,37.55656511
영업중,0,롯데시네마 신도림,영화관,20130911,서울특별시 구로구 신도림동 692,서울특별시 구로구 경인로 662,126.88821370000001,37.50812391
영업중,0,이봄씨어터,영화관,20140929,서울특별시 강남구 신사동 532-1,서울특별시 강남구 압구정로10길 9,127.0220227,37.52298593
영업중,0,롯데시네마 월드타워,영화관,20141014,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 300,127.1027187,37.51250803
영업중,0,메가박스 화곡,영화관,20150526,서울특별시 강서구 화곡동 1073-10,서울특별시 강서구 화곡로 142,126.8375821,37.54056738
영업중,0,CGV 천호,영화관,20150706,서울특별시 강동구 천호동 42,서울특별시 강동구 양재대로 1571,127.1422557,37.54571422
영업중,0,롯데시네마 가양,영화관,20151016,서울특별시 강서구 등촌동 73-1,서울특별시 강서구 양천로 476,126.85327240000002,37.56160051
영업중,0,롯데시네마 수락산,영화관,20151112,서울특별시 노원구 상계동 1132-35,서울특별시 노원구 동일로 1660,127.0556683,37.67658921
영업중,0,CGV 송파,영화관,20160126,서울특별시 송파구 문정동 634,서울특별시 송파구 충민로 66,127.12496159999999,37.47761474
영업중,0,CGV 상봉,영화관,20160223,서울특별시 중랑구 상봉2동 501,서울특별시 중랑구 상봉로 131,127.09217790000001,37.59740654
영업중,0,에무 시네마,영화관,20160309,서울특별시 종로구 신문로2가 1-181,서울특별시 종로구 신문로2가 경희궁1가길 7,126.9690166,37.57207802
영업중,0,롯데시네마 은평,영화관,20161130,서울특별시 은평구 진관동 69-18,서울특별시 은평구 진관동 통일로 1050,126.9179001,37.63753669
영업중,0,메가박스 송파파크하비오,영화관,20161221,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로 111,127.12400490000002,37.4814909
영업중,0,메가박스 창동,영화관,20170122,서울특별시 도봉구 창동 715-14,서울특별시 도봉구 도봉로 558,127.03873390000001,37.65460493
영업중,0,메가박스 창동,영화관,20170122,서울특별시 도봉구 창동 715-41,서울특별시 도봉구 도봉로 568-19,127.03978020000001,37.6556771
영업중,0,롯데시네마 수유,영화관,20170424,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308,127.0238357,37.635664899999995
영업중,0,CGV 용산아이파크몰,영화관,20170714,서울특별시 용산구 한강로3가 40-961,서울특별시 용산구 한강로2가 청파로20길 43-8,126.96563619999999,37.53165297
영업중,0,더숲 아트시네마,영화관,20170810,서울특별시 노원구 상계동 727-1,서울특별시 노원구 노해로 480,127.0614348,37.65417883
영업중,0,메가박스 마곡,영화관,20170922,서울특별시 강서구 마곡동 797-1,서울특별시 강서구 공항대로 247,126.8352395,37.55931352
영업중,0,CGV 동대문,영화관,20171219,서울특별시 중구 을지로6가 17-2,서울특별시 중구 을지로6가 장충단로13길 20,127.00766709999999,37.56873587
영업중,0,CGV 건대입구,영화관,20180126,서울특별시 광진구 자양동 9-4,서울특별시 광진구 아차산로30길 26,127.06688829999999,37.53976077
영업중,0,CGV 등촌,영화관,20190125,서울특별시 강서구 등촌동 639-23,서울특별시 강서구 공항대로45길 63,126.8560014,37.55786927
영업중,0,메가박스 홍대,영화관,20190923,서울특별시 마포구 동교동 160-4,서울특별시 마포구 양화로 147,126.92205349999999,37.55604785
영업중,0,메가박스 성수,영화관,20191106,서울특별시 성동구 성수동1가 656-335,서울특별시 성동구 성수동1가 왕십리로 50,127.0449108,37.54188761
