유형,전체 기관명,도로명 주소,행정 구,행정 동,위도,경도
동,서울특별시 노원구 중계4동주민센터,서울특별시 노원구 덕릉로82길 50 (중계동),노원구,중계4동,37.658757100835295,127.077971176495
동,서울특별시 노원구 중계본동주민센터,서울특별시 노원구 중계로 143 (중계동),노원구,중계본동,37.6477948999009,127.080281247351
동,서울특별시 노원구 하계1동주민센터,서울특별시 노원구 노원로 261 (하계동),노원구,하계1동,37.6405609822622,127.07256122282101
동,서울특별시 노원구 하계2동주민센터,서울특별시 노원구 공릉로55길 88 (하계동),노원구,하계2동,37.6320389653936,127.067949181401
동,서울특별시 도봉구 도봉1동주민센터,서울특별시 도봉구 도봉로169나길 22 (도봉동),도봉구,도봉1동,37.6786909108075,127.043412985467
동,서울특별시 도봉구 도봉2동주민센터,서울특별시 도봉구 마들로 668 (도봉동),도봉구,도봉2동,37.669673938595,127.046533330546
동,서울특별시 도봉구 방학1동주민센터,서울특별시 도봉구 방학로2길 27 (방학동),도봉구,방학1동,37.6642228223978,127.040655716637
동,서울특별시 도봉구 방학2동주민센터,서울특별시 도봉구 시루봉로 226 (방학동),도봉구,방학2동,37.6682141436848,127.035051686766
동,서울특별시 도봉구 방학3동주민센터,서울특별시 도봉구 시루봉로 94 (방학동),도봉구,방학3동,37.6591728351341,127.02800937436001
동,서울특별시 도봉구 쌍문1동주민센터,서울특별시 도봉구 노해로 147 (쌍문동),도봉구,쌍문1동,37.6480368262752,127.02605074686599
동,서울특별시 도봉구 쌍문2동주민센터,서울특별시 도봉구 방학로3길 117 (쌍문동),도봉구,쌍문2동,37.657940247346794,127.038830140753
동,서울특별시 도봉구 쌍문3동주민센터,서울특별시 도봉구 노해로44길 9 (쌍문동),도봉구,쌍문3동,37.648983973151296,127.027922255945
동,서울특별시 도봉구 쌍문4동주민센터,서울특별시 도봉구 시루봉로 62-7 ( 쌍문동),도봉구,쌍문4동,37.6564523582806,127.028397885875
동,서울특별시 도봉구 창1동주민센터,서울특별시 도봉구 해등로 46 (창동),도봉구,창1동,37.6482445790021,127.043301872943
동,서울특별시 도봉구 창2동주민센터,서울특별시 도봉구 덕릉로59길 73-3 (창동),도봉구,창2동,37.6414062720864,127.035648110726
동,서울특별시 도봉구 창3동주민센터,서울특별시 도봉구 덕릉로62길 89 (창동),도봉구,창3동,37.6380907137249,127.042921995399
동,서울특별시 도봉구 창4동주민센터,서울특별시 도봉구 노해로 390 (창동),도봉구,창4동,37.652234210622396,127.05153674873699
동,서울특별시 도봉구 창5동주민센터,서울특별시 도봉구 도봉로136나길 20 (창동),도봉구,창5동,37.656334000725,127.043586772179
동,서울특별시 동대문구 답십리1동주민센터,서울특별시 동대문구 고미술로 12 (답십리동 혜민빌딩23층),동대문구,답십리1동,37.56976708473329,127.050102372793
동,서울특별시 동대문구 답십리2동주민센터,서울특별시 동대문구 한천로11길 18 (답십리동),동대문구,답십리2동,37.5673992264236,127.061283073834
동,서울특별시 동대문구 용신동주민센터,서울특별시 동대문구 천호대로27길 35 (용두동),동대문구,용신동,37.57579709132271,127.03727396280199
동,서울특별시 동대문구 이문1동주민센터,서울특별시 동대문구 외대역동로 114-1 (이문동),동대문구,이문1동,37.5978115231196,127.065482214268
동,서울특별시 동대문구 이문2동주민센터,서울특별시 동대문구 신이문로 27-5 (이문동),동대문구,이문2동,37.6033737629806,127.06510219794599
동,서울특별시 동대문구 장안1동주민센터,서울특별시 동대문구 한천로18길 52 (장안동),동대문구,장안1동,37.567817020778605,127.066411664364
동,서울특별시 동대문구 장안2동주민센터,서울특별시 동대문구 사가정로 230-1 (장안동),동대문구,장안2동,37.5784727158176,127.070589766821
동,서울특별시 동대문구 전농1동주민센터,서울특별시 동대문구 서울시립대로9길 21 (전농동),동대문구,전농1동,37.5779738048204,127.047729207004
동,서울특별시 강서구 방화3동주민센터,서울특별시 강서구 금낭화로24길 5 (방화동),강서구,방화3동,37.5787197095332,126.81365815145399
동,서울특별시 강서구 염창동주민센터,서울특별시 강서구 양천로67가길 63 (염창동),강서구,염창동,37.5537743879821,126.87096746745199
동,서울특별시 강서구 우장산동주민센터,서울특별시 강서구 우현로 34 (화곡동),강서구,우장산동,37.5482875675821,126.841835456818
동,서울특별시 강서구 화곡1동주민센터,서울특별시 강서구 곰달래로 79 (화곡동),강서구,화곡1동,37.530507173277,126.841591347547
동,서울특별시 강서구 화곡2동주민센터,서울특별시 강서구 곰달래로37길 13 (화곡동),강서구,화곡2동,37.5318233007597,126.854485956399
동,서울특별시 강서구 화곡3동주민센터,서울특별시 강서구 강서로33가길 17 (화곡동),강서구,화곡3동,37.5425257976402,126.838413076612
동,서울특별시 강서구 화곡4동주민센터,서울특별시 강서구 곰달래로57가길 26 (화곡동),강서구,화곡4동,37.534685721366294,126.860801783145
동,서울특별시 강서구 화곡6동주민센터,서울특별시 강서구 화곡로 312 (화곡동),강서구,화곡6동,37.5518146505108,126.850075223377
동,서울특별시 강서구 화곡8동주민센터,서울특별시 강서구 곰달래로25길 45 (화곡동),강서구,화곡8동,37.5326987798227,126.84833189542
동,서울특별시 강서구 화곡본동주민센터,서울특별시 강서구 초록마을로5길 29 (화곡동),강서구,화곡본동,37.544047534012996,126.84766288859699
동,서울특별시 관악구 낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5,관악구,낙성대동,37.4762947369538,126.95838664022499
동,서울특별시 관악구 난곡동주민센터,서울특별시 관악구 난곡로30길 40,관악구,난곡동,37.4710245853117,126.92164362314101
동,서울특별시 관악구 난향동주민센터,서울특별시 관악구 난곡로 67,관악구,난향동,37.4615215593046,126.918798080575
동,서울특별시 관악구 남현동주민센터,서울특별시 관악구 남현1가길 29,관악구,남현동,37.4746845621973,126.977873292594
동,서울특별시 관악구 대학동주민센터,서울특별시 관악구 신림로 111,관악구,대학동,37.47059712752471,126.936958476104
동,서울특별시 관악구 미성동주민센터,서울특별시 관악구 난곡로 249,관악구,미성동,37.4761796889604,126.91555461039499
동,서울특별시 관악구 보라매동주민센터,서울특별시 관악구 봉천로 279-8,관악구,보라매동,37.4881795905222,126.93278052554399
동,서울특별시 관악구 삼성동주민센터,서울특별시 관악구 호암로 589,관악구,삼성동,37.470108229615605,126.932962343407
