인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20181226,영업,0,서울특별시 용산구 한강로3가 65-228번지 엘지유플러스 2층 ,서울특별시 용산구 한강대로 32 엘지유플러스 2층 (한강로3가),위드유용산카페,카페,126.963479357833,37.5237723664812
20170109,영업,0,서울특별시 용산구 갈월동 59-14번지 지상1층 ,서울특별시 용산구 두텁바위로 9-1 지상1층 (갈월동),스몰커피(SMALL COFFEE),카페,126.973233205614,37.5454617087747
20160713,영업,0,서울특별시 용산구 갈월동 98-38번지 ,서울특별시 용산구 한강대로 257 1층 (갈월동),이마트24용산청룡점,카페,126.972409959615,37.5412162800887
20160718,영업,0,서울특별시 용산구 한남동 36-7번지 ,서울특별시 용산구 독서당로 94 지상1층2층 (한남동),스타벅스한남동R점,카페,127.010928286207,37.5347937840781
20141215,영업,0,서울특별시 용산구 이촌동 209-8번지 지상1층 ,서울특별시 용산구 이촌로 46 지상1층 (이촌동),카페라끄리마,카페,126.954809067415,37.5275459176598
20181220,폐업,20200831,서울특별시 용산구 청파동3가 24-37 1층,서울특별시 용산구 청파로43가길 28 1층 (청파동3가),미소콩,카페,126.968662203303,37.5443194686423
20140826,영업,0,서울특별시 용산구 청파동2가 53-12번지 ,서울특별시 용산구 청파로47길 지하 100 지하1층 (청파동2가 순헌관(본관및교수회관)),삼성웰스토리(주)숙명여대커피&(순헌관B1F),카페,126.964933409158,37.5461389791183
20170119,영업,0,서울특별시 용산구 용산동5가 24번지 비45동 ,서울특별시 용산구 서빙고로 67 지하1층 (용산동5가),스타벅스 용산파크타워점,카페,126.970684689419,37.5242745211479
20140416,영업,0,서울특별시 용산구 청파동2가 90-6번지 1층 ,서울특별시 용산구 청파로49길 7 1층 (청파동2가),낭만청파,카페,126.970000506011,37.5451655842199
20180131,영업,0,서울특별시 용산구 한강로2가 181번지 아모레퍼시픽 지하1층 B102호 ,서울특별시 용산구 한강대로 100 아모레퍼시픽 지하1층 B102호 (한강로2가),고디바아모레타워,카페,126.968215931799,37.5296155628471
