시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
과천시,도미노피자 과천점,20140613,영업,,N,,,패스트푸드,"경기도 과천시 새술막길 14, 1층 (중앙동, 농협)",경기도 과천시 중앙동 40-2번지 농협,13807,37.4288580,126.9904766
과천시,버거킹 과천중앙점,20130123,영업,,N,,,패스트푸드,"경기도 과천시 중앙로 129, 고려빌딩 1층 102호 (중앙동)",경기도 과천시 중앙동 40-10번지 고려빌딩 ,13807,37.4282454,126.9908608
과천시,서울대공원 KFC,20050728,영업,,N,,,패스트푸드,"경기도 과천시 광명로 80 (막계동, 서울대공원주차장휴게소일부)",경기도 과천시 막계동 273-1번지 서울대공원주차장휴게소일부,13829,37.4352737,127.0082829
과천시,한국맥도날드 과천이마트점,20010414,영업,,N,,,패스트푸드,"경기도 과천시 별양상가3로 11 (별양동,뉴코아백화점1층 일부)",경기도 과천시 별양동 1-19번지 뉴코아백화점1층 일부 ,13837,37.4262182774,126.9918102161
과천시,베스킨라빈스과천점,20031224,영업,,N,,,패스트푸드,"경기도 과천시 별양상가1로 35 (별양동,상아빌딩 104,105호)","경기도 과천시 별양동 1-4번지 상아빌딩 104,105호",13837,37.4284709,126.9935045
과천시,스타벅스 과천점,20001123,영업,,N,,,패스트푸드,"경기도 과천시 중앙로 129 (중앙동, 고려빌딩101호)",경기도 과천시 중앙동 40-10번지 고려빌딩101호 ,13807,37.4282454,126.9908608
과천시,(주)마이알레,20140307,영업,,N,,,패스트푸드,"경기도 과천시 삼부골3로 17, 1층 (주암동)",경기도 과천시 주암동 434-6번지 ,13820,37.4465255098,127.0240482534
과천시,(주)두산버거킹경마공원1호점,20020522,폐업,20040630,N,,,패스트푸드,"경기도 과천시 경마공원대로 107 1층 북쪽 (주암동,마사회신관람대)",경기도 과천시 주암동 685-2번지 마사회 신관람대1층 북쪽,13822,37.4469683,127.0139454
과천시,생날스낵,20111027,폐업,20140717,N,,,패스트푸드,경기도 과천시 문원청계길 9-5 (문원동),경기도 과천시 문원동 115-91번지,13827,37.4244436,127.0084741
과천시,브라운그릴,20090701,폐업,20140801,N,,,패스트푸드,"경기도 과천시 경마공원대로 107 (주암동, 가족공원)",경기도 과천시 주암동 685번지 한국마사회내1층,13822,37.4477970,127.0167256
과천시,레드망고 과천점,20070330,폐업,20171231,N,,,패스트푸드,"경기도 과천시 별양상가3로 11 (별양동, 과천뉴코아6층 일부)",경기도 과천시 별양동 1-19번지 과천뉴코아6층 일부,13837,37.4262182,126.9918102
과천시,뉴욕델리,20150227,폐업,20150701,N,,,패스트푸드,"경기도 과천시 별양로 28, 30호 (원문동, 래미안슈르 B동)",경기도 과천시 원문동 4-30번지 래미안슈르 B동,13835,37.4205780,126.9922516
과천시,멕시칸치킨호프,19870603,폐업,20030930,N,,,패스트푸드,경기도 과천시 문원청계길 22 (문원동),경기도 과천시 문원동 115-154번지,13827,37.4242724,127.0093666
과천시,뉴욕핫도그앤커피,20130516,폐업,20131227,N,,,패스트푸드,"경기도 과천시 경마공원대로 107 (주암동, 경마공원구관1층일부)",경기도 과천시 주암동 685번지 경마공원구관1층일부,13822,37.4477970,127.0167256
과천시,애드존 국가공무원인재개발원점,20131112,폐업,20181010,N,,,패스트푸드,경기도 과천시 교육원로 118 (중앙동),경기도 과천시 중앙동 2-1번지 국가공무원인재개발원 보람관 지하 1층,13811,37.4227733,126.9735883
과천시,레드핀피자,20020509,폐업,20090903,N,,,패스트푸드,경기도 과천시 공원마을2길 36 B101호 (문원동),경기도 과천시 문원동 15-80번지 B 101호,13828,37.4296336,127.0032547
과천시,(주)두산버거킹경마공원2점,20020522,폐업,20040630,N,,,패스트푸드,"경기도 과천시 경마공원대로 107 5층 북쪽 (주암동,마사회신관람대)",경기도 과천시 주암동 685-2번지 마사회 신관람대5층북쪽,13822,37.4469683,127.0139454
과천시,(주)이랜드파크 과천피자몰,20110616,폐업,20141118,N,,,패스트푸드,"경기도 과천시 별양상가3로 11 (별양동, 뉴코아 아울렛 지하1층 일부)",경기도 과천시 별양동 1-19번지 뉴코아 아울렛 지하1층 일부,13837,37.4262182,126.9918102
과천시,푸드모닝,20090506,폐업,20160405,N,,,패스트푸드,"경기도 과천시 대공원대로 지하 50 (과천동, 대공원역)",경기도 과천시 과천동 727-1번지 대공원역,13829,37.4356612,127.0054694
과천시,(주)해마로파파이스과천,19950921,폐업,20110729,N,,,패스트푸드,경기도 과천시 별양상가3로 11 뉴코아백화점 지하 1 (별양동),경기도 과천시 별양동 1-19번지 뉴코아백화점 지하 1,13837,37.4262182,126.9918102
과천시,Cafe Flower,20110615,폐업,20140123,N,,,패스트푸드,"경기도 과천시 별양로 110 (별양동, 종합상가 나동127호)",경기도 과천시 별양동 52번지 종합상가 나동127호,13833,37.4282189,126.9986113
과천시,베스킨라빈스원문점,20080827,폐업,20150925,N,,,패스트푸드,"경기도 과천시 별양로 28 (원문동, 래미안슈르상가 1008,1009호)","경기도 과천시 원문동 4번지 래미안슈르상가 1008,1009호",13835,37.4205780,126.9922516
과천시,베스킨라빈스,20000605,폐업,20070118,N,,,패스트푸드,"경기도 과천시 중앙로 137 105호 (중앙동,가보자빌딩)",경기도 과천시 중앙동 가보자빌딩 105호,13807,37.4287140,126.9916629
과천시,보그,20110615,폐업,20150206,N,,,패스트푸드,"경기도 과천시 별양로 28 (원문동, 래미안슈르 B상가1072호)",경기도 과천시 원문동 4번지 래미안슈르 B상가1072호,13835,37.4205780,126.9922516
과천시,대공원역구이점,20090506,폐업,20110405,N,,,패스트푸드,경기도 과천시 대공원대로 지하 50 일부 대공원역 구내 (과천동),경기도 과천시 과천동 727-1번지 일부 대공원역 구내,13829,37.4356612,127.0054694
과천시,더카페,20100203,폐업,20130308,N,,,패스트푸드,"경기도 과천시 별양상가3로 11 (별양동, 뉴코아4층 일부)",경기도 과천시 별양동 1-19번지 뉴코아4층 일부,13837,37.4262182,126.9918102
과천시,과천금거래소,20140317,폐업,20140714,N,,,패스트푸드,"경기도 과천시 별양로 28, 103호 (원문동, 래미안슈르 C상가)",경기도 과천시 원문동 4번지 래미안슈르 C상가 103호,13835,37.4205780,126.9922516
과천시,오씨엘킴스점,20040514,폐업,20080303,N,,,패스트푸드,경기도 과천시 별양상가3로 11 뉴코아 지하 킴스클럽내 (별양동),경기도 과천시 별양동 1-19번지 뉴코아 지하 킴스클럽내,13837,37.4262182,126.9918102
과천시,CRUCIE(크루시에),20020524,폐업,20100728,N,,,패스트푸드,"경기도 과천시 별양상가2로 14 1층 113,114호 (별양동,제일쇼핑)","경기도 과천시 별양동 1-13번지 제일쇼핑 1층 113,114호",13837,37.4272455,126.9929511
과천시,브링웰피자과천원문점,20090731,폐업,20130222,N,,,패스트푸드,"경기도 과천시 별양로 28 (원문동, 래미안슈르B동1048호)",경기도 과천시 원문동 4번지 래미안슈르B동1048호,13835,37.4205780,126.9922516
