X谅钎,Y谅钎,磊摹备,锅掳,1牢 啊备 痢荐,2牢 啊备 痢荐,4牢 啊备 痢荐
127.01767252391399,37.67119562182409,碍合备,3288,0.0,0.0,0
127.01778902868999,37.671066091027896,碍合备,3288,0.0,0.0,0
127.017834892954,37.671031460323,碍合备,3288,0.0,0.0,0
127.017837725722,37.6710272343704,碍合备,3288,0.0,0.0,0
127.01786584795201,37.6708751913748,碍合备,3288,0.0,0.0,0
127.017894010409,37.6708551948902,碍合备,3288,0.0,0.0,0
127.017951372365,37.670789307807,碍合备,3288,0.0,0.0,0
127.01824835361099,37.670687618352495,碍合备,3288,0.0,0.0,0
127.018693995073,37.6708595860053,碍合备,3288,0.0,0.0,0
127.018698416271,37.670862396395705,碍合备,3288,0.0,0.0,0
127.018707097,37.6708550792348,碍合备,3288,0.0,0.0,0
127.018744922373,37.6705174883324,碍合备,3288,0.0,0.0,0
127.01873144785101,37.6704789196651,碍合备,3288,0.0,0.0,0
127.018724540152,37.6704578018766,碍合备,3288,0.0,0.0,0
127.01856598956499,37.6702551060687,碍合备,3288,0.0,0.0,0
127.018538528999,37.67021991804489,碍合备,3288,0.0,0.0,0
127.01852382365601,37.67020105379971,碍合备,3288,0.0,0.0,0
127.018499900628,37.6701706494209,碍合备,3288,0.0,0.0,0
127.018494581283,37.6701557300805,碍合备,3288,0.0,0.0,0
127.018537307924,37.669538278373,碍合备,3288,0.0,0.0,0
127.01852631492201,37.6694952044545,碍合备,3288,0.0,0.0,0
127.018520823932,37.6694729602303,碍合备,3288,0.0,0.0,0
127.018458810408,37.669363158598706,碍合备,3288,0.0,0.0,0
127.018365615229,37.6692004382512,碍合备,3288,0.0,0.0,0
127.018363662451,37.66918607702471,碍合备,3288,0.0,0.0,0
127.018405929231,37.6688879030595,碍合备,3288,0.0,0.0,0
127.01823730182,37.6687651695332,碍合备,3288,0.0,0.0,0
127.01783061554899,37.6684741041243,碍合备,3288,0.0,0.0,0
127.017580506903,37.6682970342042,碍合备,3287,0.0,0.0,0
127.017526996016,37.6681849874802,碍合备,3287,0.0,0.0,0
127.017512651553,37.66815458159071,碍合备,3287,0.0,0.0,0
127.017506802554,37.66815232995121,碍合备,3287,0.0,0.0,0
127.017455258656,37.668121082175,碍合备,3287,0.0,0.0,0
127.017177559904,37.6680845218388,碍合备,3287,0.0,0.0,0
127.017116816495,37.6680712945931,碍合备,3287,0.0,0.0,0
127.016630824409,37.6679083358028,碍合备,3287,0.0,0.0,0
127.01660035275101,37.6678832836446,碍合备,3287,0.0,0.0,0
127.016410827234,37.6676890399318,碍合备,3287,0.0,0.0,0
127.016378585965,37.6676558161139,碍合备,3287,0.0,0.0,0
127.01636122962799,37.6676377988392,碍合备,3287,0.0,0.0,0
127.016223411203,37.667496471454704,碍合备,3287,0.0,0.0,0
127.01622039947,37.667455090140294,碍合备,3287,0.0,0.0,0
127.016373746023,37.6673703254122,碍合备,3287,0.0,0.0,0
127.01634558914301,37.667356805348895,碍合备,3287,0.0,0.0,0
127.016212038736,37.6673024843734,碍合备,3287,0.0,0.0,0
127.01617998211701,37.6672847482023,碍合备,3287,0.0,0.0,0
127.016150589272,37.66726814691809,碍合备,3287,0.0,0.0,0
127.01578766865101,37.667033650063296,碍合备,3287,0.0,0.0,0
127.01577154555001,37.6670026855678,碍合备,3287,0.0,0.0,0
127.015764460085,37.6669942352961,碍合备,3287,0.0,0.0,0
127.015743896484,37.6668574069954,碍合备,3287,0.0,0.0,0
127.015741212015,37.6667476057275,碍合备,3287,0.0,0.0,0
127.01574860856,37.666545165184495,碍合备,3287,0.0,0.0,0
127.015729296677,37.6664930732449,碍合备,3287,0.0,0.0,0
127.01572097327801,37.6664711175315,碍合备,3287,0.0,0.0,0
127.015499716582,37.6661467936134,碍合备,3287,0.0,0.0,0
127.01547775255199,37.666093296425096,碍合备,3287,0.0,0.0,0
127.01547013292802,37.6660764040786,碍合备,3287,0.0,0.0,0
127.01536627043998,37.6656014412371,碍合备,3287,0.0,0.0,0
127.015374229466,37.6655544185068,碍合备,3287,0.0,0.0,0
127.015763559485,37.66506869346279,碍合备,3287,0.0,0.0,0
127.015786559384,37.664968457395894,碍合备,3287,0.0,0.0,0
127.015792584034,37.6649425536824,碍合备,3287,0.0,0.0,0
127.015735530975,37.664772222539895,碍合备,3287,0.0,0.0,0
127.015648527806,37.664507851347,碍合备,3287,0.0,0.0,0
127.015612564869,37.6644433819876,碍合备,3287,0.0,0.0,0
127.015587057565,37.6644098778285,碍合备,3287,0.0,0.0,0
127.01545933994,37.664241798365204,碍合备,3287,0.0,0.0,0
127.015332155892,37.664075421536296,碍合备,3286,21.0,21.0,18
127.015322764957,37.6640396629962,碍合备,3286,21.0,21.0,18
127.015321528697,37.6640348789714,碍合备,3286,21.0,21.0,18
127.015339009026,37.6637493764274,碍合备,3286,21.0,21.0,18
127.015366444783,37.6636719525514,碍合备,3286,21.0,21.0,18
127.01551165074899,37.6636677098542,碍合备,3286,21.0,21.0,18
127.01553483776699,37.6635987195545,碍合备,3286,21.0,21.0,18
127.01556527225901,37.6634376759131,碍合备,3286,21.0,21.0,18
127.015951289914,37.66329290593311,碍合备,3286,21.0,21.0,18
127.01599165725,37.663219417578,碍合备,3286,21.0,21.0,18
127.015970881903,37.6629809414041,碍合备,3286,21.0,21.0,18
127.015979873459,37.662768085264794,碍合备,3286,21.0,21.0,18
127.016176215561,37.662538871338,碍合备,3286,21.0,21.0,18
127.016652517097,37.6622071447394,碍合备,3286,21.0,21.0,18
127.016766204173,37.6622141667082,碍合备,3286,21.0,21.0,18
127.01694311112401,37.6622307036129,碍合备,3286,21.0,21.0,18
127.016898829968,37.6621688215025,碍合备,3286,21.0,21.0,18
127.016787602483,37.6620519886539,碍合备,3286,21.0,21.0,18
127.01674897944599,37.6620024400848,碍合备,3286,21.0,21.0,18
127.016509143835,37.661673056735395,碍合备,3286,21.0,21.0,18
127.016499576282,37.661662075078894,碍合备,3286,21.0,21.0,18
127.01624773115299,37.6614554413912,碍合备,3286,21.0,21.0,18
127.01623781344699,37.661450099853504,碍合备,3286,21.0,21.0,18
127.01620379839899,37.661430958396004,碍合备,3286,21.0,21.0,18
127.01602670307301,37.661367632827,碍合备,3286,21.0,21.0,18
127.015945948281,37.6613417397281,碍合备,3286,21.0,21.0,18
127.015880789568,37.6613231605848,碍合备,3286,21.0,21.0,18
127.015537958591,37.6613296798189,碍合备,3286,21.0,21.0,18
127.015335732045,37.6613556066738,碍合备,3286,21.0,21.0,18
127.01530562206699,37.6613696834087,碍合备,3286,21.0,21.0,18
127.015238874508,37.66140009905921,碍合备,3286,21.0,21.0,18
127.015195496031,37.6614296740596,碍合备,3286,21.0,21.0,18
127.015138471125,37.6614533312212,碍合备,3286,21.0,21.0,18
127.01489519796101,37.661623129564795,碍合备,3286,21.0,21.0,18
127.014828093472,37.6616878991564,碍合备,3286,21.0,21.0,18
127.014666273407,37.661866706553795,碍合备,3286,21.0,21.0,18
127.014553311726,37.66198553050821,碍合备,3286,21.0,21.0,18
127.01452143613501,37.6620156625903,碍合备,3286,21.0,21.0,18
127.014527994245,37.6619931375215,碍合备,3286,21.0,21.0,18
127.01465912232,37.66148237891829,碍合备,3286,21.0,21.0,18
127.014604565714,37.6614291734615,碍合备,3286,21.0,21.0,18
127.014607924096,37.661385809213705,碍合备,3286,21.0,21.0,18
127.01460986917401,37.66136159982821,碍合备,3286,21.0,21.0,18
127.014613900402,37.6611484649823,碍合备,3286,21.0,21.0,18
127.01461336472299,37.6611312924779,碍合备,3286,21.0,21.0,18
127.014602183001,37.6609615141803,碍合备,3286,21.0,21.0,18
127.014595616737,37.660872264423105,碍合备,3286,21.0,21.0,18
